Definition: ,Percentage of women with a live birth in the two years preceding the survey who received antenatal care for the most recent birth with blood sample taken,,,,,,
836,4,3,0.75,,,,
837,2,2,1,,,,
838,3,5,1.666666667,,,,
839,5,4,0.8,,,,
840,3,6,2,,,,
841,1,5,5,,,,
842,4,4,1,,,,
843,7,6,0.857142857,,,,
844,3,2,0.666666667,,,,
845,3,2,0.666666667,,,,
846,6,4,0.666666667,,,,
847,4,1,0.25,,,,
848,4,6,1.5,,,,
849,2,2,1,,,,
850,6,6,1,,,,
851,6,4,0.666666667,,,,
852,7,5,0.714285714,,,,
853,10,7,0.7,,,,
854,2,3,1.5,,,,
855,6,3,0.5,,,,
856,7,4,0.571428571,,,,
857,2,1,0.5,,,,
858,7,5,0.714285714,,,,
859,9,8,0.888888889,,,,
860,3,5,1.666666667,,,,
861,2,2,1,,,,
862,3,3,1,,,,
863,4,3,0.75,,,,
864,3,5,1.666666667,,,,
865,7,6,0.857142857,,,,
866,4,2,0.5,,,,
867,4,4,1,,,,
868,11,6,0.545454545,,,,
869,9,4,0.444444444,,,,
870,8,4,0.5,,,,
871,5,4,0.8,,,,
872,6,3,0.5,,,,
873,7,3,0.428571429,,,,
874,9,4,0.444444444,,,,
875,7,4,0.571428571,,,,
876,5,4,0.8,,,,
877,12,8,0.666666667,,,,
878,9,6,0.666666667,,,,
879,7,6,0.857142857,,,,
880,5,6,1.2,,,,
881,6,5,0.833333333,,,,
882,5,6,1.2,,,,
883,9,5,0.555555556,,,,
884,5,4,0.8,,,,
885,2,4,2,,,,
886,7,5,0.714285714,,,,
887,9,3,0.333333333,,,,
888,5,7,1.4,,,,
889,6,5,0.833333333,,,,
890,11,8,0.727272727,,,,
891,8,5,0.625,,,,
892,12,5,0.416666667,,,,
893,5,3,0.6,,,,
894,11,6,0.545454545,,,,
895,5,4,0.8,,,,
896,8,7,0.875,,,,
897,7,4,0.571428571,,,,
898,3,5,1.666666667,,,,
899,10,7,0.7,,,,
900,8,7,0.875,,,,
901,7,8,1.142857143,,,,
902,9,7,0.777777778,,,,
903,8,7,0.875,,,,
904,10,7,0.7,,,,
905,8,6,0.75,,,,
906,3,4,1.333333333,,,,
907,5,6,1.2,,,,
908,5,5,1,,,,
909,1,5,5,,,,
910,7,6,0.857142857,,,,
911,5,7,1.4,,,,
912,9,8,0.888888889,,,,
913,2,1,0.5,,,,
914,7,3,0.428571429,,,,
915,7,8,1.142857143,,,,
916,5,4,0.8,,,,
917,7,6,0.857142857,,,,
918,8,6,0.75,,,,
919,11,8,0.727272727,,,,
920,9,3,0.333333333,,,,
921,5,5,1,,,,
922,8,5,0.625,,,,
923,7,8,1.142857143,,,,
924,10,7,0.7,,,,
925,8,3,0.375,,,,
926,9,6,0.666666667,,,,
927,7,6,0.857142857,,,,
928,4,6,1.5,,,,
929,5,5,1,,,,
930,7,6,0.857142857,,,,
931,10,5,0.5,,,,
932,3,4,1.333333333,,,,
933,8,4,0.5,,,,
934,5,2,0.4,,,,
935,6,5,0.833333333,,,,
936,5,5,1,,,,
937,11,8,0.727272727,,,,
938,6,3,0.5,,,,
939,6,3,0.5,,,,
940,3,3,1,,,,
941,2,1,0.5,,,,
942,5,5,1,,,,
943,4,4,1,,,,
944,4,3,0.75,,,,
945,5,6,1.2,,,,
946,7,7,1,,,,
947,3,3,1,,,,
948,6,7,1.166666667,,,,
949,4,4,1,,,,
950,6,4,0.666666667,,,,
951,1,3,3,,,,
952,6,5,0.833333333,,,,
953,5,6,1.2,,,,
954,5,3,0.6,,,,
955,7,5,0.714285714,,,,
956,6,6,1,,,,
957,5,6,1.2,,,,
958,2,5,2.5,,,,
959,3,5,1.666666667,,,,
960,4,5,1.25,,,,
961,2,3,1.5,,,,
962,10,8,0.8,,,,
963,8,5,0.625,,,,
964,4,1,0.25,,,,
965,3,3,1,,,,
966,4,2,0.5,,,,
967,6,6,1,,,,
968,3,5,1.666666667,,,,
969,3,3,1,,,,
970,7,7,1,,,,
971,5,5,1,,,,
972,6,1,0.166666667,,,,
973,6,5,0.833333333,,,,
974,4,4,1,,,,
975,10,5,0.5,,,,
976,3,1,0.333333333,,,,
977,7,3,0.428571429,,,,
978,1,3,3,,,,
979,3,4,1.333333333,,,,
980,4,3,0.75,,,,
981,2,4,2,,,,
982,4,6,1.5,,,,
983,0,3,.,,,,
984,8,6,0.75,,,,
985,3,5,1.666666667,,,,
986,9,8,0.888888889,,,,
987,2,4,2,,,,
988,2,2,1,,,,
989,4,4,1,,,,
990,6,5,0.833333333,,,,
991,4,6,1.5,,,,
992,3,4,1.333333333,,,,
993,6,4,0.666666667,,,,
994,3,3,1,,,,
995,3,3,1,,,,
996,4,4,1,,,,
997,4,4,1,,,,
998,6,3,0.5,,,,
999,2,5,2.5,,,,
1000,7,6,0.857142857,,,,
1001,2,2,1,,,,
1002,9,8,0.888888889,,,,
1003,5,5,1,,,,
1004,3,5,1.666666667,,,,
1005,3,3,1,,,,
1006,6,4,0.666666667,,,,
1007,0,1,.,,,,
1008,2,3,1.5,,,,
1009,5,4,0.8,,,,
1010,8,2,0.25,,,,
1011,6,5,0.833333333,,,,
1012,10,7,0.7,,,,
1013,12,9,0.75,,,,
1014,10,3,0.3,,,,
1015,5,2,0.4,,,,
1016,3,1,0.333333333,,,,
1017,8,1,0.125,,,,
1018,3,5,1.666666667,,,,
1019,5,5,1,,,,
1020,10,6,0.6,,,,
1021,1,3,3,,,,
1022,6,5,0.833333333,,,,
1023,9,3,0.333333333,,,,
1024,7,6,0.857142857,,,,
1025,8,4,0.5,,,,
1026,4,1,0.25,,,,
1027,9,7,0.777777778,,,,
1028,5,2,0.4,,,,
1029,7,5,0.714285714,,,,
1030,7,2,0.285714286,,,,
1031,3,5,1.666666667,,,,
1032,11,4,0.363636364,,,,
1034,10,5,0.5,,,,
1035,10,3,0.3,,,,
1036,3,0,0,,,,
1037,11,8,0.727272727,,,,
1038,6,4,0.666666667,,,,
1039,5,6,1.2,,,,
1040,5,2,0.4,,,,
1041,8,4,0.5,,,,
1042,4,1,0.25,,,,
1043,5,7,1.4,,,,
1044,11,9,0.818181818,,,,
1045,2,3,1.5,,,,
1046,6,4,0.666666667,,,,
1047,4,5,1.25,,,,
1048,6,6,1,,,,
1049,9,7,0.777777778,,,,
1050,8,6,0.75,,,,
1051,13,7,0.538461538,,,,
1052,9,8,0.888888889,,,,
1053,8,3,0.375,,,,
1054,8,4,0.5,,,,
1055,8,6,0.75,,,,
1056,9,3,0.333333333,,,,
1058,11,7,0.636363636,,,,
1059,13,9,0.692307692,,,,
1060,11,8,0.727272727,,,,
1061,4,2,0.5,,,,
1062,14,4,0.285714286,,,,
1063,8,5,0.625,,,,
1064,9,2,0.222222222,,,,
1065,10,5,0.5,,,,
1067,7,4,0.571428571,,,,
1068,10,3,0.3,,,,
1069,4,2,0.5,,,,
1070,7,1,0.142857143,,,,
1071,7,4,0.571428571,,,,
1072,6,0,0,,,,
1073,8,5,0.625,,,,
1074,3,3,1,,,,
1075,3,3,1,,,,
1076,9,7,0.777777778,,,,
1077,8,7,0.875,,,,
1078,10,5,0.5,,,,
1079,7,4,0.571428571,,,,
1080,7,3,0.428571429,,,,
1081,13,4,0.307692308,,,,
1082,12,3,0.25,,,,
1083,10,7,0.7,,,,
1084,13,5,0.384615385,,,,
1085,8,6,0.75,,,,
1086,13,5,0.384615385,,,,
1087,8,4,0.5,,,,
1088,7,3,0.428571429,,,,
1089,5,5,1,,,,
1090,5,5,1,,,,
1091,6,1,0.166666667,,,,
1092,4,2,0.5,,,,
1093,9,1,0.111111111,,,,
1094,8,3,0.375,,,,
1095,8,6,0.75,,,,
1096,3,5,1.666666667,,,,
1097,8,8,1,,,,
1098,2,1,0.5,,,,
1099,12,9,0.75,,,,
1100,9,5,0.555555556,,,,
1101,4,5,1.25,,,,
1103,11,1,0.090909091,,,,
1104,5,2,0.4,,,,
1105,3,3,1,,,,
1106,7,7,1,,,,
1107,6,6,1,,,,
1108,7,6,0.857142857,,,,
1109,4,3,0.75,,,,
1110,4,2,0.5,,,,
1111,1,2,2,,,,
1112,2,3,1.5,,,,
1113,2,3,1.5,,,,
1114,4,1,0.25,,,,
1115,3,4,1.333333333,,,,
1116,4,2,0.5,,,,
1117,4,3,0.75,,,,
1118,6,6,1,,,,
1119,3,4,1.333333333,,,,
1120,6,5,0.833333333,,,,
1121,5,5,1,,,,
1122,7,3,0.428571429,,,,
1123,5,3,0.6,,,,
1124,6,4,0.666666667,,,,
1125,6,5,0.833333333,,,,
1126,8,3,0.375,,,,
1127,6,4,0.666666667,,,,
1128,6,5,0.833333333,,,,
1129,8,4,0.5,,,,
1130,5,4,0.8,,,,
1131,5,3,0.6,,,,
1132,9,6,0.666666667,,,,
1133,7,3,0.428571429,,,,
1134,9,4,0.444444444,,,,
1135,8,4,0.5,,,,
1136,7,2,0.285714286,,,,
1137,10,8,0.8,,,,
1138,5,3,0.6,,,,
1139,5,6,1.2,,,,
1140,1,0,0,,,,
1141,5,2,0.4,,,,
1142,6,8,1.333333333,,,,
1143,5,5,1,,,,
1144,5,4,0.8,,,,
1145,1,2,2,,,,
1146,4,5,1.25,,,,
1147,6,3,0.5,,,,
1148,5,5,1,,,,
1149,9,5,0.555555556,,,,
1150,4,3,0.75,,,,
1151,11,7,0.636363636,,,,
1152,2,1,0.5,,,,
1153,10,4,0.4,,,,
1154,6,4,0.666666667,,,,
1155,14,4,0.285714286,,,,
1156,4,1,0.25,,,,
1157,11,5,0.454545455,,,,
1158,4,3,0.75,,,,
1159,10,4,0.4,,,,
1160,6,1,0.166666667,,,,
1161,4,2,0.5,,,,
1162,4,5,1.25,,,,
1163,4,4,1,,,,
1164,4,3,0.75,,,,
1165,1,2,2,,,,
1166,7,7,1,,,,
1167,10,7,0.7,,,,
1168,5,4,0.8,,,,
1169,7,5,0.714285714,,,,
1170,4,2,0.5,,,,
1171,9,7,0.777777778,,,,
1172,6,5,0.833333333,,,,
1173,4,1,0.25,,,,
1174,6,5,0.833333333,,,,
1175,6,6,1,,,,
1176,5,7,1.4,,,,
1177,6,6,1,,,,
1178,4,3,0.75,,,,
1179,7,6,0.857142857,,,,
1180,2,4,2,,,,
1181,3,4,1.333333333,,,,
1182,6,6,1,,,,
1183,4,4,1,,,,
1184,4,1,0.25,,,,
1185,4,3,0.75,,,,
1186,1,3,3,,,,
1187,5,4,0.8,,,,
1188,4,8,2,,,,
1189,7,4,0.571428571,,,,
1190,5,4,0.8,,,,
1191,2,3,1.5,,,,
1192,2,3,1.5,,,,
1193,2,3,1.5,,,,
1194,5,4,0.8,,,,
1195,9,9,1,,,,
1196,8,4,0.5,,,,
1197,6,5,0.833333333,,,,
1198,5,5,1,,,,
1199,7,2,0.285714286,,,,
1200,5,5,1,,,,
1201,5,3,0.6,,,,
1202,1,2,2,,,,
1203,4,6,1.5,,,,
1204,4,4,1,,,,
1205,4,5,1.25,,,,
1206,6,4,0.666666667,,,,
1207,1,1,1,,,,
1208,7,7,1,,,,
1209,4,3,0.75,,,,
1210,5,2,0.4,,,,
1212,8,6,0.75,,,,
1213,11,10,0.909090909,,,,
1214,7,3,0.428571429,,,,
1215,6,6,1,,,,
1216,3,3,1,,,,
1217,3,6,2,,,,
1218,5,4,0.8,,,,
1219,4,2,0.5,,,,
1220,4,4,1,,,,
1221,5,5,1,,,,
1222,7,5,0.714285714,,,,
1223,5,2,0.4,,,,
1224,4,4,1,,,,
1225,3,3,1,,,,
1226,4,5,1.25,,,,
1227,4,5,1.25,,,,
1228,2,3,1.5,,,,
1229,11,6,0.545454545,,,,
1230,4,3,0.75,,,,
1231,8,6,0.75,,,,
1232,5,4,0.8,,,,
1233,7,7,1,,,,
1234,5,5,1,,,,
1235,7,5,0.714285714,,,,
1236,2,1,0.5,,,,
1237,8,3,0.375,,,,
1238,6,6,1,,,,
1239,7,9,1.285714286,,,,
1240,5,3,0.6,,,,
1241,7,4,0.571428571,,,,
1242,9,4,0.444444444,,,,
1243,6,3,0.5,,,,
1244,1,0,0,,,,
1245,8,5,0.625,,,,
1246,7,7,1,,,,
1247,2,3,1.5,,,,
1248,7,8,1.142857143,,,,
1249,4,3,0.75,,,,
1250,5,5,1,,,,
1251,4,4,1,,,,
1252,3,5,1.666666667,,,,
1253,6,3,0.5,,,,
1254,9,5,0.555555556,,,,
1255,5,2,0.4,,,,
1256,4,6,1.5,,,,
1257,1,1,1,,,,
1258,4,4,1,,,,
1259,10,9,0.9,,,,
1260,4,6,1.5,,,,
1261,7,10,1.428571429,,,,
1262,5,4,0.8,,,,
1263,8,9,1.125,,,,
1264,3,2,0.666666667,,,,
1265,7,4,0.571428571,,,,
1266,5,6,1.2,,,,
1267,4,3,0.75,,,,
1268,9,7,0.777777778,,,,
1269,10,10,1,,,,
1270,7,8,1.142857143,,,,
1272,8,3,0.375,,,,
1273,3,5,1.666666667,,,,
1274,3,5,1.666666667,,,,
1275,3,5,1.666666667,,,,
1276,5,4,0.8,,,,
1277,4,4,1,,,,
1278,3,4,1.333333333,,,,
1279,3,1,0.333333333,,,,
1280,12,8,0.666666667,,,,
1281,3,3,1,,,,
1282,2,4,2,,,,
1283,5,6,1.2,,,,
1284,6,4,0.666666667,,,,
1285,6,2,0.333333333,,,,
1286,4,5,1.25,,,,
1287,2,1,0.5,,,,
1288,0,1,.,,,,
1289,2,1,0.5,,,,
1290,3,6,2,,,,
1291,4,3,0.75,,,,
1292,15,8,0.533333333,,,,
1293,3,3,1,,,,
1294,4,3,0.75,,,,
1295,4,4,1,,,,
1296,6,5,0.833333333,,,,
1297,12,5,0.416666667,,,,
1298,4,4,1,,,,
1299,3,1,0.333333333,,,,
1300,6,8,1.333333333,,,,
1301,5,6,1.2,,,,
1302,7,5,0.714285714,,,,
1303,4,3,0.75,,,,
1304,4,3,0.75,,,,
1305,3,3,1,,,,
1306,2,5,2.5,,,,
1307,5,6,1.2,,,,
1308,3,4,1.333333333,,,,
1309,5,6,1.2,,,,
1310,4,2,0.5,,,,
1311,3,4,1.333333333,,,,
1312,1,2,2,,,,
1313,5,6,1.2,,,,
1314,5,3,0.6,,,,
1315,7,6,0.857142857,,,,
1316,3,3,1,,,,
1317,6,2,0.333333333,,,,
1318,2,1,0.5,,,,
1319,5,1,0.2,,,,
1320,3,4,1.333333333,,,,
1321,3,7,2.333333333,,,,
1322,3,1,0.333333333,,,,
1323,4,6,1.5,,,,
1324,12,8,0.666666667,,,,
1325,4,7,1.75,,,,
1326,1,3,3,,,,
1327,2,1,0.5,,,,
1328,1,0,0,,,,
1329,5,3,0.6,,,,
1330,7,4,0.571428571,,,,
1331,7,3,0.428571429,,,,
1332,9,5,0.555555556,,,,
1333,8,7,0.875,,,,
1334,8,8,1,,,,
1335,8,3,0.375,,,,
1336,5,5,1,,,,
1337,6,6,1,,,,
1338,3,3,1,,,,
1339,11,6,0.545454545,,,,
1340,7,10,1.428571429,,,,
1341,9,6,0.666666667,,,,
1342,4,3,0.75,,,,
1343,2,6,3,,,,
1344,1,4,4,,,,
1345,5,4,0.8,,,,
1346,5,2,0.4,,,,
1347,3,4,1.333333333,,,,
1348,13,8,0.615384615,,,,
1349,9,4,0.444444444,,,,
1350,7,7,1,,,,
1351,3,1,0.333333333,,,,
1352,10,6,0.6,,,,
1353,12,2,0.166666667,,,,
1354,7,6,0.857142857,,,,
1355,8,6,0.75,,,,
1356,9,3,0.333333333,,,,
1357,8,6,0.75,,,,
1358,5,5,1,,,,
1359,4,4,1,,,,
1360,13,7,0.538461538,,,,
1361,10,4,0.4,,,,
1362,12,7,0.583333333,,,,
1363,9,4,0.444444444,,,,
1364,11,7,0.636363636,,,,
1365,9,8,0.888888889,,,,
1366,11,7,0.636363636,,,,
1367,5,4,0.8,,,,
1368,1,2,2,,,,
1369,5,6,1.2,,,,
1370,7,6,0.857142857,,,,
1371,9,3,0.333333333,,,,
1372,13,4,0.307692308,,,,
1373,7,5,0.714285714,,,,
1374,14,4,0.285714286,,,,
1375,9,10,1.111111111,,,,
1376,8,7,0.875,,,,
1377,8,6,0.75,,,,
1378,12,9,0.75,,,,
1379,3,1,0.333333333,,,,
1380,2,3,1.5,,,,
1381,6,7,1.166666667,,,,
1382,14,10,0.714285714,,,,
1383,13,6,0.461538462,,,,
1384,9,5,0.555555556,,,,
1385,1,2,2,,,,
1386,8,2,0.25,,,,
1387,8,5,0.625,,,,
1388,12,5,0.416666667,,,,
1389,3,4,1.333333333,,,,
1390,2,4,2,,,,
1391,4,4,1,,,,
1392,4,5,1.25,,,,
1393,2,4,2,,,,
1394,10,8,0.8,,,,
1395,11,4,0.363636364,,,,
1396,6,5,0.833333333,,,,
1397,1,2,2,,,,
1398,3,2,0.666666667,,,,
1399,4,4,1,,,,
1400,5,5,1,,,,
1401,3,4,1.333333333,,,,
1402,8,5,0.625,,,,
1403,3,4,1.333333333,,,,
1404,4,1,0.25,,,,
1405,2,0,0,,,,
1406,2,2,1,,,,
1407,5,7,1.4,,,,
1408,5,6,1.2,,,,
1409,4,7,1.75,,,,
1410,4,5,1.25,,,,
1411,7,5,0.714285714,,,,
1412,5,5,1,,,,
1413,3,2,0.666666667,,,,
1414,5,3,0.6,,,,
1415,7,7,1,,,,
1416,3,2,0.666666667,,,,
1417,3,7,2.333333333,,,,
1418,3,4,1.333333333,,,,
1419,5,3,0.6,,,,
1420,4,2,0.5,,,,
1421,6,6,1,,,,
1422,4,6,1.5,,,,
1423,7,5,0.714285714,,,,
1424,4,5,1.25,,,,
1425,8,8,1,,,,
1426,1,3,3,,,,
1427,9,8,0.888888889,,,,
1428,7,5,0.714285714,,,,
1429,4,6,1.5,,,,
1430,7,6,0.857142857,,,,
1431,7,4,0.571428571,,,,
1432,3,3,1,,,,
1433,12,8,0.666666667,,,,
1434,4,2,0.5,,,,
1435,4,6,1.5,,,,
1436,3,7,2.333333333,,,,
1437,3,4,1.333333333,,,,
1438,10,8,0.8,,,,
1439,4,2,0.5,,,,
1440,9,6,0.666666667,,,,
1441,2,4,2,,,,
1442,6,4,0.666666667,,,,
1443,7,4,0.571428571,,,,
1444,3,3,1,,,,
1445,7,8,1.142857143,,,,
1446,1,1,1,,,,
1447,7,7,1,,,,
1448,7,5,0.714285714,,,,
1449,4,3,0.75,,,,
1450,7,6,0.857142857,,,,
1451,1,1,1,,,,
1452,1,4,4,,,,
1453,5,4,0.8,,,,
1454,5,3,0.6,,,,
1455,6,8,1.333333333,,,,
1456,13,8,0.615384615,,,,
1457,5,5,1,,,,
1458,5,5,1,,,,
1459,4,3,0.75,,,,
1460,3,3,1,,,,
1461,12,8,0.666666667,,,,
1462,3,4,1.333333333,,,,
1463,5,4,0.8,,,,
1464,5,3,0.6,,,,
1465,9,7,0.777777778,,,,
1466,10,8,0.8,,,,
1467,6,4,0.666666667,,,,
1468,12,6,0.5,,,,
1469,9,6,0.666666667,,,,
1470,7,5,0.714285714,,,,
1471,3,5,1.666666667,,,,
1472,8,8,1,,,,
1473,7,6,0.857142857,,,,
1474,5,4,0.8,,,,
1475,5,3,0.6,,,,
1476,3,3,1,,,,
1477,5,6,1.2,,,,
1478,3,0,0,,,,
1479,6,7,1.166666667,,,,
1480,5,4,0.8,,,,
1481,3,3,1,,,,
1482,1,4,4,,,,
1483,4,4,1,,,,
1484,6,5,0.833333333,,,,
1485,9,7,0.777777778,,,,
1486,4,4,1,,,,
1487,3,3,1,,,,
1488,8,3,0.375,,,,
1489,3,4,1.333333333,,,,
1490,6,4,0.666666667,,,,
1491,5,6,1.2,,,,
1492,3,4,1.333333333,,,,
1493,5,5,1,,,,
1494,3,7,2.333333333,,,,
1495,4,5,1.25,,,,
1496,4,3,0.75,,,,
1497,5,4,0.8,,,,
1498,4,6,1.5,,,,
1499,6,3,0.5,,,,
1500,4,3,0.75,,,,
1501,4,2,0.5,,,,
1502,4,4,1,,,,
1503,5,3,0.6,,,,
1504,2,2,1,,,,
1505,7,5,0.714285714,,,,
1506,8,5,0.625,,,,
1507,6,5,0.833333333,,,,
1508,7,2,0.285714286,,,,
1509,4,5,1.25,,,,
1510,3,3,1,,,,
1511,1,4,4,,,,
1512,1,2,2,,,,
1513,6,7,1.166666667,,,,
1514,3,5,1.666666667,,,,
1515,3,3,1,,,,
1516,1,3,3,,,,
1517,5,4,0.8,,,,
1518,2,4,2,,,,
1519,6,4,0.666666667,,,,
1520,3,3,1,,,,
1521,4,2,0.5,,,,
1522,6,2,0.333333333,,,,
1523,6,7,1.166666667,,,,
1524,8,5,0.625,,,,
1525,4,4,1,,,,
1526,3,4,1.333333333,,,,
1527,5,2,0.4,,,,
1528,3,4,1.333333333,,,,
1529,4,5,1.25,,,,
1530,2,1,0.5,,,,
1531,5,6,1.2,,,,
1532,7,6,0.857142857,,,,
1533,7,4,0.571428571,,,,
1534,5,2,0.4,,,,
1535,4,2,0.5,,,,
1536,4,6,1.5,,,,
1537,7,7,1,,,,
1538,7,3,0.428571429,,,,
1539,2,1,0.5,,,,
1540,5,4,0.8,,,,
1541,11,8,0.727272727,,,,
1542,5,4,0.8,,,,
1543,4,6,1.5,,,,
1544,3,4,1.333333333,,,,
1545,7,5,0.714285714,,,,
1546,4,6,1.5,,,,
1547,10,4,0.4,,,,
1548,5,2,0.4,,,,
1549,9,6,0.666666667,,,,
1550,8,5,0.625,,,,
1551,9,7,0.777777778,,,,
1552,3,6,2,,,,
1553,10,9,0.9,,,,
1554,7,6,0.857142857,,,,
1555,8,5,0.625,,,,
1556,4,1,0.25,,,,
1557,11,6,0.545454545,,,,
1558,1,2,2,,,,
1559,6,4,0.666666667,,,,
1560,5,4,0.8,,,,
1561,2,4,2,,,,
1562,8,6,0.75,,,,
1563,7,5,0.714285714,,,,
1564,6,2,0.333333333,,,,
1565,6,6,1,,,,
1566,2,2,1,,,,
1567,5,4,0.8,,,,
1568,12,9,0.75,,,,
1569,8,7,0.875,,,,
1570,2,2,1,,,,
1571,7,7,1,,,,
1572,13,6,0.461538462,,,,
1573,10,5,0.5,,,,
1574,4,6,1.5,,,,
1575,8,5,0.625,,,,
1576,5,4,0.8,,,,
1577,5,3,0.6,,,,
1578,6,7,1.166666667,,,,
1579,5,5,1,,,,
1580,4,4,1,,,,
1581,3,2,0.666666667,,,,
1582,9,7,0.777777778,,,,
1583,7,7,1,,,,
1584,4,8,2,,,,
1585,5,3,0.6,,,,
1586,6,6,1,,,,
1587,5,5,1,,,,
1588,7,5,0.714285714,,,,
1589,9,5,0.555555556,,,,
1590,5,3,0.6,,,,
1591,12,8,0.666666667,,,,
1592,2,2,1,,,,
1593,6,5,0.833333333,,,,
1594,8,7,0.875,,,,
1595,7,6,0.857142857,,,,
1596,6,8,1.333333333,,,,
1597,3,2,0.666666667,,,,
1598,4,7,1.75,,,,
1599,7,5,0.714285714,,,,
1600,4,6,1.5,,,,
1601,4,2,0.5,,,,
1602,7,6,0.857142857,,,,
1603,2,3,1.5,,,,
1604,7,8,1.142857143,,,,
1605,7,5,0.714285714,,,,
1606,3,2,0.666666667,,,,
1607,9,8,0.888888889,,,,
1608,7,4,0.571428571,,,,
1609,4,5,1.25,,,,
1610,9,6,0.666666667,,,,
1611,8,3,0.375,,,,
1612,5,3,0.6,,,,
,8191,6470,0.95367369,,,,
