Definition: ,Percentage of women who had a live birth in the two years preceding the survey whose first antenatal care visit was at less than 4 months,,,,,,
Denominator,Women who had a live birth in the two (or three/five) years preceding the survey,,,,,,
,,,,,,,
Average:,0.1712961,,National Weighted Average,,18.9,Statcompiler,18.9
,,,,,,,
,,,,,,,
v001,birthsw,anc4mow,,,,,
1,4,3,0.75,,,,
2,4,1,0.25,,,,
3,4,1,0.25,,,,
4,0,0,.,,,,
5,2,0,0,,,,
6,4,3,0.75,,,,
7,3,2,0.666666667,,,,
8,4,2,0.5,,,,
9,4,0,0,,,,
10,4,0,0,,,,
11,4,2,0.5,,,,
12,4,2,0.5,,,,
13,2,0,0,,,,
14,0,0,.,,,,
15,2,0,0,,,,
16,2,1,0.5,,,,
17,8,2,0.25,,,,
18,12,3,0.25,,,,
19,0,0,.,,,,
20,2,0,0,,,,
21,4,1,0.25,,,,
22,5,0,0,,,,
23,3,1,0.333333333,,,,
24,6,5,0.833333333,,,,
25,3,0,0,,,,
26,2,0,0,,,,
27,5,2,0.4,,,,
28,3,2,0.666666667,,,,
29,7,2,0.285714286,,,,
30,4,1,0.25,,,,
31,2,0,0,,,,
32,5,3,0.6,,,,
33,3,1,0.333333333,,,,
34,0,0,.,,,,
35,2,0,0,,,,
36,5,1,0.2,,,,
37,1,1,1,,,,
38,2,1,0.5,,,,
39,0,0,.,,,,
40,8,0,0,,,,
41,7,2,0.285714286,,,,
42,4,2,0.5,,,,
43,4,1,0.25,,,,
44,7,2,0.285714286,,,,
45,3,1,0.333333333,,,,
46,5,2,0.4,,,,
47,1,1,1,,,,
48,7,1,0.142857143,,,,
49,3,2,0.666666667,,,,
50,4,0,0,,,,
51,3,0,0,,,,
52,12,4,0.333333333,,,,
53,1,0,0,,,,
54,1,1,1,,,,
55,3,2,0.666666667,,,,
56,1,1,1,,,,
57,3,0,0,,,,
58,2,0,0,,,,
59,3,0,0,,,,
60,1,0,0,,,,
61,7,0,0,,,,
62,1,0,0,,,,
63,5,0,0,,,,
64,6,1,0.166666667,,,,
65,3,2,0.666666667,,,,
66,7,0,0,,,,
67,2,0,0,,,,
68,1,0,0,,,,
69,4,0,0,,,,
70,2,0,0,,,,
71,3,1,0.333333333,,,,
72,3,0,0,,,,
73,6,2,0.333333333,,,,
74,2,1,0.5,,,,
75,6,1,0.166666667,,,,
76,4,0,0,,,,
77,10,1,0.1,,,,
78,3,2,0.666666667,,,,
79,2,0,0,,,,
80,3,0,0,,,,
81,3,1,0.333333333,,,,
82,4,0,0,,,,
83,2,0,0,,,,
84,4,1,0.25,,,,
85,0,0,.,,,,
86,3,0,0,,,,
87,6,1,0.166666667,,,,
88,4,0,0,,,,
89,6,2,0.333333333,,,,
90,6,0,0,,,,
91,3,0,0,,,,
92,2,1,0.5,,,,
93,2,0,0,,,,
94,3,0,0,,,,
95,4,2,0.5,,,,
96,5,1,0.2,,,,
97,3,1,0.333333333,,,,
98,6,1,0.166666667,,,,
99,7,2,0.285714286,,,,
100,1,0,0,,,,
101,1,0,0,,,,
102,2,0,0,,,,
103,2,0,0,,,,
104,5,1,0.2,,,,
105,1,0,0,,,,
106,0,0,.,,,,
107,4,1,0.25,,,,
108,4,3,0.75,,,,
109,1,0,0,,,,
110,2,0,0,,,,
111,3,1,0.333333333,,,,
112,3,0,0,,,,
113,2,0,0,,,,
114,3,0,0,,,,
115,3,1,0.333333333,,,,
116,7,3,0.428571429,,,,
117,0,0,.,,,,
118,9,4,0.444444444,,,,
119,2,1,0.5,,,,
120,1,0,0,,,,
121,4,1,0.25,,,,
122,3,1,0.333333333,,,,
123,6,1,0.166666667,,,,
124,1,0,0,,,,
125,1,0,0,,,,
126,3,0,0,,,,
127,1,0,0,,,,
128,3,2,0.666666667,,,,
129,4,0,0,,,,
130,2,0,0,,,,
131,2,0,0,,,,
132,2,2,1,,,,
133,2,0,0,,,,
134,0,0,.,,,,
135,3,0,0,,,,
136,2,0,0,,,,
137,4,1,0.25,,,,
138,3,2,0.666666667,,,,
139,2,0,0,,,,
140,2,2,1,,,,
141,2,0,0,,,,
142,1,1,1,,,,
143,2,1,0.5,,,,
144,1,1,1,,,,
145,2,0,0,,,,
146,2,0,0,,,,
147,3,2,0.666666667,,,,
148,3,1,0.333333333,,,,
149,3,0,0,,,,
150,3,0,0,,,,
151,1,0,0,,,,
152,3,0,0,,,,
153,2,0,0,,,,
154,3,0,0,,,,
155,1,0,0,,,,
156,5,1,0.2,,,,
157,3,0,0,,,,
158,4,3,0.75,,,,
159,3,1,0.333333333,,,,
160,2,1,0.5,,,,
161,3,0,0,,,,
162,2,1,0.5,,,,
163,2,2,1,,,,
164,2,0,0,,,,
165,1,0,0,,,,
166,4,0,0,,,,
167,4,1,0.25,,,,
168,1,0,0,,,,
169,7,4,0.571428571,,,,
170,1,0,0,,,,
171,4,2,0.5,,,,
172,6,1,0.166666667,,,,
173,5,1,0.2,,,,
174,5,0,0,,,,
175,1,0,0,,,,
176,7,0,0,,,,
177,1,0,0,,,,
178,2,0,0,,,,
179,1,0,0,,,,
180,3,0,0,,,,
181,4,1,0.25,,,,
182,5,0,0,,,,
183,2,0,0,,,,
184,2,1,0.5,,,,
185,2,0,0,,,,
186,4,0,0,,,,
187,7,2,0.285714286,,,,
188,3,0,0,,,,
189,1,0,0,,,,
190,1,0,0,,,,
191,5,2,0.4,,,,
192,2,0,0,,,,
193,2,1,0.5,,,,
194,3,0,0,,,,
195,0,0,.,,,,
196,2,0,0,,,,
197,4,1,0.25,,,,
198,4,0,0,,,,
199,6,4,0.666666667,,,,
200,7,3,0.428571429,,,,
201,3,1,0.333333333,,,,
202,3,0,0,,,,
203,5,2,0.4,,,,
204,0,0,.,,,,
205,4,1,0.25,,,,
206,6,3,0.5,,,,
207,1,0,0,,,,
208,3,1,0.333333333,,,,
209,1,0,0,,,,
210,2,0,0,,,,
211,3,2,0.666666667,,,,
212,0,0,.,,,,
213,3,1,0.333333333,,,,
214,5,0,0,,,,
215,2,1,0.5,,,,
216,4,0,0,,,,
217,3,2,0.666666667,,,,
218,1,1,1,,,,
219,1,0,0,,,,
220,4,1,0.25,,,,
221,7,2,0.285714286,,,,
222,4,1,0.25,,,,
223,3,0,0,,,,
224,9,0,0,,,,
225,2,1,0.5,,,,
226,3,1,0.333333333,,,,
227,3,0,0,,,,
228,1,0,0,,,,
229,3,0,0,,,,
230,1,0,0,,,,
231,4,1,0.25,,,,
232,2,0,0,,,,
233,7,2,0.285714286,,,,
234,1,0,0,,,,
235,2,0,0,,,,
236,0,0,.,,,,
237,7,1,0.142857143,,,,
238,2,1,0.5,,,,
239,3,1,0.333333333,,,,
240,5,1,0.2,,,,
241,2,0,0,,,,
242,1,0,0,,,,
243,6,2,0.333333333,,,,
244,4,0,0,,,,
245,8,0,0,,,,
246,1,1,1,,,,
247,6,1,0.166666667,,,,
248,6,2,0.333333333,,,,
249,2,1,0.5,,,,
250,1,0,0,,,,
251,3,0,0,,,,
252,2,1,0.5,,,,
253,2,1,0.5,,,,
254,0,0,.,,,,
255,2,0,0,,,,
256,5,2,0.4,,,,
257,3,1,0.333333333,,,,
258,4,1,0.25,,,,
259,5,0,0,,,,
260,6,2,0.333333333,,,,
261,6,1,0.166666667,,,,
262,2,2,1,,,,
263,3,3,1,,,,
264,5,0,0,,,,
265,3,0,0,,,,
266,4,1,0.25,,,,
267,1,0,0,,,,
268,1,0,0,,,,
269,12,1,0.083333333,,,,
270,7,0,0,,,,
271,7,2,0.285714286,,,,
272,4,0,0,,,,
273,2,0,0,,,,
274,8,0,0,,,,
275,6,2,0.333333333,,,,
276,5,0,0,,,,
277,12,0,0,,,,
278,7,2,0.285714286,,,,
279,7,1,0.142857143,,,,
280,11,0,0,,,,
281,14,1,0.071428571,,,,
282,5,1,0.2,,,,
283,7,0,0,,,,
284,2,0,0,,,,
285,2,0,0,,,,
286,6,3,0.5,,,,
287,2,0,0,,,,
288,4,0,0,,,,
289,1,0,0,,,,
290,1,0,0,,,,
291,3,1,0.333333333,,,,
292,3,1,0.333333333,,,,
293,13,1,0.076923077,,,,
294,5,0,0,,,,
295,3,0,0,,,,
296,12,2,0.166666667,,,,
297,11,0,0,,,,
298,1,0,0,,,,
299,10,1,0.1,,,,
300,9,1,0.111111111,,,,
301,4,0,0,,,,
302,7,1,0.142857143,,,,
303,2,0,0,,,,
304,2,0,0,,,,
305,2,0,0,,,,
306,5,2,0.4,,,,
307,1,1,1,,,,
308,11,2,0.181818182,,,,
309,1,0,0,,,,
310,6,2,0.333333333,,,,
311,8,1,0.125,,,,
312,10,1,0.1,,,,
313,11,2,0.181818182,,,,
314,6,0,0,,,,
315,3,1,0.333333333,,,,
316,8,1,0.125,,,,
317,6,0,0,,,,
318,6,1,0.166666667,,,,
319,3,2,0.666666667,,,,
320,2,2,1,,,,
321,5,2,0.4,,,,
322,14,1,0.071428571,,,,
323,6,0,0,,,,
324,4,0,0,,,,
325,5,0,0,,,,
326,3,1,0.333333333,,,,
327,6,1,0.166666667,,,,
328,8,1,0.125,,,,
329,8,2,0.25,,,,
330,11,2,0.181818182,,,,
331,19,3,0.157894737,,,,
332,11,1,0.090909091,,,,
333,10,0,0,,,,
334,15,3,0.2,,,,
335,3,0,0,,,,
336,8,0,0,,,,
338,6,4,0.666666667,,,,
339,6,1,0.166666667,,,,
340,10,0,0,,,,
341,9,0,0,,,,
342,11,0,0,,,,
343,10,0,0,,,,
344,17,0,0,,,,
345,5,0,0,,,,
346,14,2,0.142857143,,,,
347,6,1,0.166666667,,,,
348,4,0,0,,,,
349,6,0,0,,,,
350,7,1,0.142857143,,,,
351,1,0,0,,,,
352,5,1,0.2,,,,
353,11,4,0.363636364,,,,
354,11,4,0.363636364,,,,
355,9,0,0,,,,
356,8,2,0.25,,,,
357,13,1,0.076923077,,,,
358,10,1,0.1,,,,
359,9,3,0.333333333,,,,
360,12,2,0.166666667,,,,
361,10,1,0.1,,,,
362,16,2,0.125,,,,
363,6,0,0,,,,
364,13,0,0,,,,
365,6,3,0.5,,,,
366,6,1,0.166666667,,,,
367,6,0,0,,,,
368,1,0,0,,,,
369,5,1,0.2,,,,
370,4,0,0,,,,
371,7,2,0.285714286,,,,
372,6,1,0.166666667,,,,
373,4,0,0,,,,
374,1,0,0,,,,
375,5,0,0,,,,
376,3,0,0,,,,
377,3,0,0,,,,
378,0,0,.,,,,
379,1,0,0,,,,
380,3,0,0,,,,
381,5,0,0,,,,
382,1,0,0,,,,
383,3,1,0.333333333,,,,
384,2,0,0,,,,
385,3,0,0,,,,
386,3,0,0,,,,
387,2,0,0,,,,
388,4,1,0.25,,,,
389,2,1,0.5,,,,
390,1,0,0,,,,
391,5,2,0.4,,,,
392,1,0,0,,,,
393,10,0,0,,,,
394,14,1,0.071428571,,,,
395,8,0,0,,,,
396,6,0,0,,,,
397,5,1,0.2,,,,
398,3,1,0.333333333,,,,
399,4,0,0,,,,
400,3,0,0,,,,
401,3,0,0,,,,
402,1,0,0,,,,
403,2,1,0.5,,,,
404,2,0,0,,,,
405,0,0,.,,,,
406,4,0,0,,,,
407,6,3,0.5,,,,
408,4,3,0.75,,,,
409,4,0,0,,,,
410,3,0,0,,,,
411,6,0,0,,,,
412,5,1,0.2,,,,
413,4,0,0,,,,
414,2,0,0,,,,
415,5,1,0.2,,,,
416,6,0,0,,,,
417,1,0,0,,,,
418,3,1,0.333333333,,,,
419,4,0,0,,,,
420,5,0,0,,,,
421,2,0,0,,,,
422,1,0,0,,,,
424,2,0,0,,,,
425,6,0,0,,,,
426,3,0,0,,,,
427,6,0,0,,,,
428,2,1,0.5,,,,
429,4,2,0.5,,,,
430,8,0,0,,,,
431,4,1,0.25,,,,
432,7,1,0.142857143,,,,
433,6,1,0.166666667,,,,
434,4,1,0.25,,,,
435,4,0,0,,,,
436,9,0,0,,,,
437,9,2,0.222222222,,,,
438,6,0,0,,,,
439,7,0,0,,,,
440,5,1,0.2,,,,
441,1,0,0,,,,
442,5,1,0.2,,,,
443,5,0,0,,,,
444,3,0,0,,,,
445,10,0,0,,,,
446,8,0,0,,,,
447,9,2,0.222222222,,,,
448,5,0,0,,,,
449,8,0,0,,,,
450,6,1,0.166666667,,,,
451,11,0,0,,,,
452,6,0,0,,,,
453,4,0,0,,,,
454,7,1,0.142857143,,,,
455,3,0,0,,,,
456,0,0,.,,,,
457,6,0,0,,,,
458,5,1,0.2,,,,
459,4,2,0.5,,,,
460,5,0,0,,,,
461,0,0,.,,,,
462,11,4,0.363636364,,,,
463,6,0,0,,,,
464,6,0,0,,,,
465,9,1,0.111111111,,,,
466,4,3,0.75,,,,
467,2,0,0,,,,
468,2,2,1,,,,
469,6,1,0.166666667,,,,
470,6,2,0.333333333,,,,
471,6,0,0,,,,
472,5,0,0,,,,
473,5,1,0.2,,,,
474,5,1,0.2,,,,
475,5,0,0,,,,
476,8,0,0,,,,
477,14,2,0.142857143,,,,
478,6,1,0.166666667,,,,
479,10,3,0.3,,,,
480,5,1,0.2,,,,
481,7,0,0,,,,
482,6,1,0.166666667,,,,
483,7,0,0,,,,
484,9,0,0,,,,
485,12,1,0.083333333,,,,
486,7,1,0.142857143,,,,
487,6,1,0.166666667,,,,
489,6,0,0,,,,
490,7,1,0.142857143,,,,
491,8,0,0,,,,
492,9,2,0.222222222,,,,
493,7,1,0.142857143,,,,
494,5,0,0,,,,
495,3,0,0,,,,
496,0,0,.,,,,
497,1,0,0,,,,
498,3,0,0,,,,
499,4,0,0,,,,
500,3,1,0.333333333,,,,
501,3,0,0,,,,
502,5,0,0,,,,
503,1,0,0,,,,
504,5,0,0,,,,
505,4,0,0,,,,
506,1,0,0,,,,
507,5,0,0,,,,
508,4,1,0.25,,,,
509,0,0,.,,,,
510,4,3,0.75,,,,
511,3,1,0.333333333,,,,
512,5,1,0.2,,,,
513,3,0,0,,,,
514,3,1,0.333333333,,,,
515,4,0,0,,,,
516,7,1,0.142857143,,,,
517,4,2,0.5,,,,
518,2,0,0,,,,
519,4,1,0.25,,,,
520,4,1,0.25,,,,
521,3,0,0,,,,
522,3,1,0.333333333,,,,
523,5,0,0,,,,
524,5,0,0,,,,
525,3,0,0,,,,
526,4,0,0,,,,
527,4,2,0.5,,,,
528,3,0,0,,,,
529,1,1,1,,,,
530,5,0,0,,,,
531,5,0,0,,,,
532,2,0,0,,,,
533,2,0,0,,,,
534,0,0,.,,,,
535,3,0,0,,,,
536,3,0,0,,,,
537,5,0,0,,,,
538,1,0,0,,,,
539,4,1,0.25,,,,
540,1,0,0,,,,
541,5,0,0,,,,
542,2,0,0,,,,
543,2,0,0,,,,
544,2,1,0.5,,,,
545,4,2,0.5,,,,
546,6,1,0.166666667,,,,
547,5,0,0,,,,
548,1,1,1,,,,
549,1,0,0,,,,
550,1,0,0,,,,
551,0,0,.,,,,
552,1,1,1,,,,
553,3,0,0,,,,
554,1,0,0,,,,
555,3,2,0.666666667,,,,
556,2,0,0,,,,
557,8,1,0.125,,,,
558,4,0,0,,,,
559,7,0,0,,,,
560,4,1,0.25,,,,
561,8,3,0.375,,,,
562,4,0,0,,,,
563,3,0,0,,,,
564,0,0,.,,,,
565,5,1,0.2,,,,
566,5,3,0.6,,,,
567,3,0,0,,,,
568,4,3,0.75,,,,
569,1,0,0,,,,
570,1,0,0,,,,
571,6,0,0,,,,
572,3,0,0,,,,
573,4,0,0,,,,
574,2,0,0,,,,
575,3,0,0,,,,
576,2,0,0,,,,
577,6,0,0,,,,
578,3,0,0,,,,
579,2,0,0,,,,
580,4,0,0,,,,
581,3,2,0.666666667,,,,
582,4,1,0.25,,,,
583,2,0,0,,,,
584,0,0,.,,,,
585,2,0,0,,,,
586,5,0,0,,,,
587,2,0,0,,,,
588,9,3,0.333333333,,,,
589,8,2,0.25,,,,
590,4,1,0.25,,,,
591,3,0,0,,,,
592,4,0,0,,,,
593,5,0,0,,,,
594,5,0,0,,,,
595,3,0,0,,,,
596,3,0,0,,,,
597,5,0,0,,,,
598,3,0,0,,,,
599,2,1,0.5,,,,
600,3,1,0.333333333,,,,
601,8,1,0.125,,,,
602,3,1,0.333333333,,,,
603,3,0,0,,,,
604,3,1,0.333333333,,,,
605,4,1,0.25,,,,
606,10,1,0.1,,,,
607,6,0,0,,,,
608,4,0,0,,,,
609,4,0,0,,,,
610,2,1,0.5,,,,
611,2,0,0,,,,
612,5,0,0,,,,
613,1,0,0,,,,
614,6,0,0,,,,
615,9,1,0.111111111,,,,
616,12,1,0.083333333,,,,
617,7,0,0,,,,
618,3,0,0,,,,
619,1,0,0,,,,
620,4,0,0,,,,
621,3,0,0,,,,
622,4,0,0,,,,
623,5,1,0.2,,,,
624,5,1,0.2,,,,
625,3,0,0,,,,
626,5,0,0,,,,
627,13,2,0.153846154,,,,
628,6,0,0,,,,
629,4,0,0,,,,
630,1,0,0,,,,
631,5,2,0.4,,,,
632,2,0,0,,,,
633,2,1,0.5,,,,
634,6,2,0.333333333,,,,
635,2,0,0,,,,
636,6,1,0.166666667,,,,
637,4,1,0.25,,,,
638,8,2,0.25,,,,
639,2,1,0.5,,,,
640,3,1,0.333333333,,,,
641,3,0,0,,,,
642,8,1,0.125,,,,
643,6,1,0.166666667,,,,
644,2,0,0,,,,
645,4,0,0,,,,
646,5,0,0,,,,
647,6,2,0.333333333,,,,
648,4,0,0,,,,
649,9,1,0.111111111,,,,
650,7,0,0,,,,
651,5,1,0.2,,,,
652,4,0,0,,,,
653,6,0,0,,,,
654,5,0,0,,,,
655,5,1,0.2,,,,
656,4,1,0.25,,,,
657,3,0,0,,,,
658,4,1,0.25,,,,
659,7,0,0,,,,
660,3,0,0,,,,
661,2,0,0,,,,
662,5,2,0.4,,,,
663,5,0,0,,,,
664,3,1,0.333333333,,,,
665,8,0,0,,,,
666,5,2,0.4,,,,
667,2,0,0,,,,
668,6,0,0,,,,
669,6,0,0,,,,
670,2,2,1,,,,
671,0,0,.,,,,
672,5,2,0.4,,,,
673,4,0,0,,,,
674,6,2,0.333333333,,,,
675,5,1,0.2,,,,
676,7,4,0.571428571,,,,
677,2,0,0,,,,
678,3,0,0,,,,
679,5,1,0.2,,,,
680,4,0,0,,,,
681,11,4,0.363636364,,,,
682,5,2,0.4,,,,
683,2,1,0.5,,,,
684,3,2,0.666666667,,,,
685,7,1,0.142857143,,,,
686,2,0,0,,,,
687,3,0,0,,,,
688,0,0,.,,,,
689,5,0,0,,,,
690,3,0,0,,,,
691,7,3,0.428571429,,,,
692,7,1,0.142857143,,,,
693,4,1,0.25,,,,
694,4,1,0.25,,,,
695,2,0,0,,,,
696,3,1,0.333333333,,,,
697,4,1,0.25,,,,
698,2,1,0.5,,,,
699,3,0,0,,,,
700,7,3,0.428571429,,,,
701,1,1,1,,,,
702,9,2,0.222222222,,,,
703,7,0,0,,,,
704,8,2,0.25,,,,
705,7,1,0.142857143,,,,
706,6,2,0.333333333,,,,
707,7,2,0.285714286,,,,
708,8,1,0.125,,,,
709,4,0,0,,,,
710,8,4,0.5,,,,
712,7,0,0,,,,
713,3,0,0,,,,
714,10,0,0,,,,
715,8,1,0.125,,,,
716,7,2,0.285714286,,,,
717,7,0,0,,,,
718,10,1,0.1,,,,
719,12,1,0.083333333,,,,
720,9,0,0,,,,
721,4,2,0.5,,,,
722,7,0,0,,,,
724,8,1,0.125,,,,
726,5,0,0,,,,
727,6,0,0,,,,
728,9,1,0.111111111,,,,
729,8,4,0.5,,,,
730,2,0,0,,,,
731,8,1,0.125,,,,
732,7,1,0.142857143,,,,
733,3,0,0,,,,
734,12,0,0,,,,
735,11,0,0,,,,
736,8,1,0.125,,,,
737,8,5,0.625,,,,
738,8,2,0.25,,,,
739,9,0,0,,,,
741,6,0,0,,,,
742,5,1,0.2,,,,
743,9,1,0.111111111,,,,
744,6,1,0.166666667,,,,
745,13,0,0,,,,
746,0,0,.,,,,
747,6,1,0.166666667,,,,
748,9,2,0.222222222,,,,
749,6,1,0.166666667,,,,
750,10,0,0,,,,
751,7,0,0,,,,
752,9,2,0.222222222,,,,
753,11,2,0.181818182,,,,
754,10,0,0,,,,
755,13,1,0.076923077,,,,
756,7,2,0.285714286,,,,
757,9,0,0,,,,
760,5,1,0.2,,,,
761,7,0,0,,,,
762,6,1,0.166666667,,,,
764,9,0,0,,,,
766,7,2,0.285714286,,,,
768,4,0,0,,,,
769,3,0,0,,,,
770,8,0,0,,,,
771,3,0,0,,,,
772,1,0,0,,,,
773,2,0,0,,,,
774,4,1,0.25,,,,
775,7,3,0.428571429,,,,
776,5,1,0.2,,,,
777,0,0,.,,,,
778,2,0,0,,,,
779,10,0,0,,,,
780,0,0,.,,,,
781,7,1,0.142857143,,,,
782,1,0,0,,,,
783,4,0,0,,,,
784,8,0,0,,,,
785,6,0,0,,,,
786,1,0,0,,,,
787,1,0,0,,,,
788,5,3,0.6,,,,
789,6,0,0,,,,
790,8,1,0.125,,,,
791,4,0,0,,,,
792,6,0,0,,,,
793,6,2,0.333333333,,,,
794,5,0,0,,,,
795,2,0,0,,,,
796,6,0,0,,,,
797,4,0,0,,,,
798,6,0,0,,,,
799,8,1,0.125,,,,
801,2,0,0,,,,
802,4,0,0,,,,
803,5,1,0.2,,,,
804,3,0,0,,,,
805,4,2,0.5,,,,
806,4,0,0,,,,
807,4,1,0.25,,,,
808,6,0,0,,,,
809,5,1,0.2,,,,
810,5,0,0,,,,
811,4,0,0,,,,
812,6,2,0.333333333,,,,
813,4,1,0.25,,,,
814,6,2,0.333333333,,,,
815,5,1,0.2,,,,
816,5,2,0.4,,,,
817,6,2,0.333333333,,,,
818,4,2,0.5,,,,
819,6,0,0,,,,
820,8,1,0.125,,,,
821,4,0,0,,,,
822,8,3,0.375,,,,
823,5,3,0.6,,,,
824,4,2,0.5,,,,
825,2,0,0,,,,
826,5,1,0.2,,,,
827,5,1,0.2,,,,
828,2,0,0,,,,
829,5,1,0.2,,,,
830,4,2,0.5,,,,
831,6,1,0.166666667,,,,
832,9,4,0.444444444,,,,
833,9,1,0.111111111,,,,
834,6,3,0.5,,,,
835,7,1,0.142857143,,,,
