Definition: ," Among women with a live birth or a stillbirth in the last 2 years, the percentage that had a urine sample taken.",,,,,,,
Denominator, Women who have had a live birth or a stillbirth in the 2 years preceding the survey who received antenatal care for their last birth (m80 = 1 or 3 & m2n = 0 & p19 < 24),,,,,,,
,,,,,,,,
Average,0.951048488,,National weighted average,,95.9,,DHS report,96
,,,,,,,,
,,,,,,,,
,,,,,,,,
v001,birthsw,urinesample,,,,,,
1,2,2,1,,,,,
2,1,1,1,,,,,
3,3,3,1,,,,,
4,4,4,1,,,,,
5,5,5,1,,,,,
6,3,3,1,,,,,
7,1,1,1,,,,,
8,3,3,1,,,,,
9,2,2,1,,,,,
10,2,2,1,,,,,
11,6,6,1,,,,,
12,5,5,1,,,,,
13,6,6,1,,,,,
14,2,2,1,,,,,
15,4,4,1,,,,,
16,3,3,1,,,,,
17,3,3,1,,,,,
18,5,5,1,,,,,
19,5,5,1,,,,,
20,2,2,1,,,,,
21,5,5,1,,,,,
22,2,2,1,,,,,
23,6,6,1,,,,,
24,2,2,1,,,,,
25,3,3,1,,,,,
26,1,1,1,,,,,
27,4,4,1,,,,,
28,9,9,1,,,,,
29,3,3,1,,,,,
30,1,1,1,,,,,
31,1,1,1,,,,,
32,4,4,1,,,,,
33,6,6,1,,,,,
34,2,2,1,,,,,
35,3,3,1,,,,,
36,8,8,1,,,,,
37,4,4,1,,,,,
38,3,3,1,,,,,
39,2,2,1,,,,,
40,5,5,1,,,,,
41,6,6,1,,,,,
42,7,7,1,,,,,
43,8,8,1,,,,,
44,7,7,1,,,,,
45,2,2,1,,,,,
46,6,6,1,,,,,
47,9,9,1,,,,,
48,11,10,0.909090909,,,,,
49,2,2,1,,,,,
50,7,7,1,,,,,
51,1,1,1,,,,,
52,4,4,1,,,,,
53,5,4,0.8,,,,,
54,7,7,1,,,,,
55,1,1,1,,,,,
56,3,3,1,,,,,
57,2,2,1,,,,,
58,4,4,1,,,,,
59,2,2,1,,,,,
60,2,1,0.5,,,,,
61,1,1,1,,,,,
62,4,4,1,,,,,
63,3,3,1,,,,,
64,4,4,1,,,,,
65,5,5,1,,,,,
66,2,2,1,,,,,
67,1,1,1,,,,,
68,3,3,1,,,,,
69,10,10,1,,,,,
70,3,3,1,,,,,
71,3,3,1,,,,,
72,10,10,1,,,,,
73,4,4,1,,,,,
74,6,5,0.833333333,,,,,
75,6,5,0.833333333,,,,,
76,7,7,1,,,,,
77,5,5,1,,,,,
78,2,2,1,,,,,
79,3,3,1,,,,,
80,2,2,1,,,,,
81,2,2,1,,,,,
82,6,6,1,,,,,
83,3,3,1,,,,,
84,6,6,1,,,,,
85,6,6,1,,,,,
86,1,1,1,,,,,
87,3,3,1,,,,,
88,4,4,1,,,,,
89,7,7,1,,,,,
90,2,2,1,,,,,
91,4,4,1,,,,,
92,5,5,1,,,,,
93,3,3,1,,,,,
94,2,2,1,,,,,
95,1,1,1,,,,,
96,2,2,1,,,,,
97,11,11,1,,,,,
98,13,12,0.923076923,,,,,
99,5,4,0.8,,,,,
100,3,3,1,,,,,
101,3,3,1,,,,,
102,1,1,1,,,,,
103,0,0,.,,,,,
104,7,7,1,,,,,
105,3,3,1,,,,,
106,1,1,1,,,,,
107,0,0,.,,,,,
109,4,3,0.75,,,,,
110,1,0,0,,,,,
111,7,7,1,,,,,
112,9,9,1,,,,,
113,8,8,1,,,,,
114,5,5,1,,,,,
115,7,7,1,,,,,
116,10,10,1,,,,,
117,5,5,1,,,,,
118,6,5,0.833333333,,,,,
119,6,6,1,,,,,
120,8,8,1,,,,,
121,7,7,1,,,,,
122,12,12,1,,,,,
123,8,8,1,,,,,
124,10,10,1,,,,,
125,5,5,1,,,,,
126,4,4,1,,,,,
127,11,11,1,,,,,
128,2,2,1,,,,,
129,8,7,0.875,,,,,
130,2,2,1,,,,,
131,8,8,1,,,,,
132,7,7,1,,,,,
133,7,7,1,,,,,
134,7,7,1,,,,,
135,9,8,0.888888889,,,,,
136,14,13,0.928571429,,,,,
137,9,9,1,,,,,
138,3,3,1,,,,,
139,9,9,1,,,,,
140,2,2,1,,,,,
141,6,6,1,,,,,
142,2,2,1,,,,,
143,12,12,1,,,,,
144,4,4,1,,,,,
145,3,3,1,,,,,
146,6,6,1,,,,,
147,10,10,1,,,,,
148,4,4,1,,,,,
149,9,9,1,,,,,
150,4,4,1,,,,,
151,9,9,1,,,,,
152,6,6,1,,,,,
153,3,3,1,,,,,
154,3,3,1,,,,,
155,3,3,1,,,,,
156,1,1,1,,,,,
157,2,2,1,,,,,
158,4,4,1,,,,,
159,1,1,1,,,,,
160,9,9,1,,,,,
161,5,5,1,,,,,
162,10,10,1,,,,,
163,4,4,1,,,,,
164,4,4,1,,,,,
165,11,11,1,,,,,
166,5,5,1,,,,,
167,5,5,1,,,,,
168,2,2,1,,,,,
169,6,6,1,,,,,
170,1,1,1,,,,,
171,9,9,1,,,,,
172,8,8,1,,,,,
173,7,6,0.857142857,,,,,
174,6,6,1,,,,,
175,11,10,0.909090909,,,,,
176,3,3,1,,,,,
177,3,3,1,,,,,
178,4,4,1,,,,,
179,3,3,1,,,,,
180,2,2,1,,,,,
181,6,6,1,,,,,
182,4,4,1,,,,,
183,5,5,1,,,,,
185,4,4,1,,,,,
186,4,4,1,,,,,
187,2,2,1,,,,,
188,1,1,1,,,,,
189,4,4,1,,,,,
190,1,1,1,,,,,
191,4,4,1,,,,,
192,1,1,1,,,,,
193,3,3,1,,,,,
194,5,5,1,,,,,
195,2,1,0.5,,,,,
196,9,8,0.888888889,,,,,
197,3,3,1,,,,,
198,7,7,1,,,,,
199,2,2,1,,,,,
200,3,3,1,,,,,
201,1,1,1,,,,,
202,1,1,1,,,,,
203,2,2,1,,,,,
204,3,3,1,,,,,
205,2,2,1,,,,,
206,3,3,1,,,,,
207,2,2,1,,,,,
208,1,1,1,,,,,
209,8,8,1,,,,,
210,3,1,0.333333333,,,,,
211,7,5,0.714285714,,,,,
212,5,5,1,,,,,
213,2,1,0.5,,,,,
214,9,7,0.777777778,,,,,
215,5,5,1,,,,,
216,5,5,1,,,,,
217,2,2,1,,,,,
218,5,5,1,,,,,
219,0,0,.,,,,,
220,7,7,1,,,,,
221,3,3,1,,,,,
222,3,3,1,,,,,
223,2,2,1,,,,,
224,8,8,1,,,,,
225,7,7,1,,,,,
226,4,4,1,,,,,
227,7,7,1,,,,,
228,10,10,1,,,,,
229,3,3,1,,,,,
230,1,1,1,,,,,
231,5,3,0.6,,,,,
232,3,1,0.333333333,,,,,
233,2,2,1,,,,,
234,3,3,1,,,,,
235,7,7,1,,,,,
236,2,2,1,,,,,
237,11,11,1,,,,,
238,4,3,0.75,,,,,
239,7,7,1,,,,,
240,4,4,1,,,,,
241,3,3,1,,,,,
242,3,3,1,,,,,
243,7,6,0.857142857,,,,,
244,3,2,0.666666667,,,,,
245,10,6,0.6,,,,,
246,11,11,1,,,,,
247,5,4,0.8,,,,,
248,2,2,1,,,,,
249,3,3,1,,,,,
250,8,7,0.875,,,,,
251,7,5,0.714285714,,,,,
252,8,8,1,,,,,
253,2,2,1,,,,,
254,8,8,1,,,,,
255,3,3,1,,,,,
256,9,5,0.555555556,,,,,
257,2,1,0.5,,,,,
258,4,4,1,,,,,
259,2,2,1,,,,,
260,6,6,1,,,,,
261,17,16,0.941176471,,,,,
262,13,13,1,,,,,
263,4,4,1,,,,,
264,9,7,0.777777778,,,,,
265,4,4,1,,,,,
266,9,9,1,,,,,
267,12,4,0.333333333,,,,,
268,3,2,0.666666667,,,,,
269,3,3,1,,,,,
270,6,6,1,,,,,
271,2,2,1,,,,,
272,4,2,0.5,,,,,
273,2,2,1,,,,,
274,10,10,1,,,,,
275,6,4,0.666666667,,,,,
276,9,9,1,,,,,
277,7,6,0.857142857,,,,,
278,11,10,0.909090909,,,,,
279,6,6,1,,,,,
280,5,4,0.8,,,,,
281,7,6,0.857142857,,,,,
282,5,5,1,,,,,
283,5,5,1,,,,,
284,7,7,1,,,,,
285,8,8,1,,,,,
286,7,6,0.857142857,,,,,
287,6,5,0.833333333,,,,,
288,2,2,1,,,,,
289,13,12,0.923076923,,,,,
290,9,3,0.333333333,,,,,
291,5,5,1,,,,,
292,7,5,0.714285714,,,,,
293,4,4,1,,,,,
294,7,7,1,,,,,
295,10,10,1,,,,,
296,8,8,1,,,,,
297,6,5,0.833333333,,,,,
298,3,2,0.666666667,,,,,
299,9,7,0.777777778,,,,,
300,15,15,1,,,,,
301,11,11,1,,,,,
302,5,3,0.6,,,,,
303,8,8,1,,,,,
304,9,8,0.888888889,,,,,
305,7,7,1,,,,,
307,2,2,1,,,,,
308,9,8,0.888888889,,,,,
309,6,6,1,,,,,
310,8,8,1,,,,,
311,7,6,0.857142857,,,,,
312,6,6,1,,,,,
313,6,6,1,,,,,
314,9,5,0.555555556,,,,,
315,5,5,1,,,,,
316,4,4,1,,,,,
317,9,9,1,,,,,
318,4,4,1,,,,,
319,4,4,1,,,,,
320,2,2,1,,,,,
321,2,2,1,,,,,
322,9,4,0.444444444,,,,,
323,4,3,0.75,,,,,
324,7,6,0.857142857,,,,,
325,11,11,1,,,,,
326,7,7,1,,,,,
327,8,8,1,,,,,
328,5,3,0.6,,,,,
329,8,8,1,,,,,
330,10,10,1,,,,,
331,8,8,1,,,,,
332,8,8,1,,,,,
333,8,8,1,,,,,
334,6,6,1,,,,,
335,6,6,1,,,,,
336,8,6,0.75,,,,,
337,8,6,0.75,,,,,
338,1,0,0,,,,,
339,4,3,0.75,,,,,
340,5,1,0.2,,,,,
341,3,3,1,,,,,
342,6,6,1,,,,,
343,3,0,0,,,,,
344,10,9,0.9,,,,,
345,8,8,1,,,,,
346,5,5,1,,,,,
347,6,5,0.833333333,,,,,
348,6,6,1,,,,,
349,8,8,1,,,,,
350,7,7,1,,,,,
351,9,9,1,,,,,
352,1,1,1,,,,,
353,11,9,0.818181818,,,,,
354,7,7,1,,,,,
355,9,8,0.888888889,,,,,
356,6,6,1,,,,,
357,4,4,1,,,,,
358,4,4,1,,,,,
360,5,5,1,,,,,
361,1,1,1,,,,,
362,6,6,1,,,,,
363,4,4,1,,,,,
364,0,0,.,,,,,
365,6,6,1,,,,,
366,3,3,1,,,,,
367,6,6,1,,,,,
368,7,7,1,,,,,
369,3,3,1,,,,,
370,5,5,1,,,,,
371,1,1,1,,,,,
372,5,5,1,,,,,
373,7,7,1,,,,,
374,5,5,1,,,,,
375,5,5,1,,,,,
376,6,6,1,,,,,
377,1,1,1,,,,,
378,5,4,0.8,,,,,
379,4,4,1,,,,,
380,1,1,1,,,,,
381,4,4,1,,,,,
382,6,6,1,,,,,
383,4,4,1,,,,,
384,5,5,1,,,,,
385,2,2,1,,,,,
386,2,2,1,,,,,
387,1,1,1,,,,,
388,2,2,1,,,,,
389,7,6,0.857142857,,,,,
390,4,4,1,,,,,
391,6,6,1,,,,,
392,4,4,1,,,,,
393,5,5,1,,,,,
394,3,3,1,,,,,
395,2,2,1,,,,,
396,1,1,1,,,,,
397,2,2,1,,,,,
398,2,2,1,,,,,
399,2,1,0.5,,,,,
400,4,4,1,,,,,
401,3,3,1,,,,,
402,2,2,1,,,,,
403,3,2,0.666666667,,,,,
404,3,2,0.666666667,,,,,
405,2,2,1,,,,,
406,4,4,1,,,,,
407,2,2,1,,,,,
408,6,5,0.833333333,,,,,
409,2,2,1,,,,,
410,5,4,0.8,,,,,
411,2,2,1,,,,,
412,3,3,1,,,,,
413,3,3,1,,,,,
414,5,5,1,,,,,
415,2,2,1,,,,,
416,8,8,1,,,,,
417,3,3,1,,,,,
418,4,4,1,,,,,
419,4,3,0.75,,,,,
420,4,4,1,,,,,
421,3,2,0.666666667,,,,,
422,3,3,1,,,,,
423,3,3,1,,,,,
424,4,4,1,,,,,
425,3,3,1,,,,,
426,4,4,1,,,,,
427,4,3,0.75,,,,,
428,4,4,1,,,,,
429,4,4,1,,,,,
430,2,2,1,,,,,
431,1,1,1,,,,,
432,4,4,1,,,,,
433,2,2,1,,,,,
434,3,3,1,,,,,
435,2,2,1,,,,,
436,3,3,1,,,,,
437,1,1,1,,,,,
438,4,4,1,,,,,
439,2,2,1,,,,,
440,4,4,1,,,,,
441,4,4,1,,,,,
442,1,1,1,,,,,
443,0,0,.,,,,,
444,4,4,1,,,,,
445,4,4,1,,,,,
446,5,5,1,,,,,
447,3,3,1,,,,,
448,1,0,0,,,,,
449,4,3,0.75,,,,,
450,2,2,1,,,,,
451,1,1,1,,,,,
452,2,2,1,,,,,
453,2,2,1,,,,,
454,1,0,0,,,,,
455,5,5,1,,,,,
456,2,2,1,,,,,
457,2,2,1,,,,,
458,3,3,1,,,,,
459,3,3,1,,,,,
460,3,3,1,,,,,
461,3,3,1,,,,,
462,4,4,1,,,,,
463,2,2,1,,,,,
464,3,3,1,,,,,
465,4,4,1,,,,,
466,2,2,1,,,,,
467,4,4,1,,,,,
468,0,0,.,,,,,
469,3,3,1,,,,,
470,1,1,1,,,,,
471,3,3,1,,,,,
472,4,4,1,,,,,
473,3,3,1,,,,,
474,2,2,1,,,,,
475,3,3,1,,,,,
476,5,5,1,,,,,
477,8,8,1,,,,,
478,5,5,1,,,,,
479,3,3,1,,,,,
480,2,2,1,,,,,
481,2,2,1,,,,,
482,4,4,1,,,,,
483,4,4,1,,,,,
484,4,4,1,,,,,
485,5,5,1,,,,,
486,2,2,1,,,,,
487,5,5,1,,,,,
488,4,4,1,,,,,
489,2,2,1,,,,,
490,6,6,1,,,,,
491,4,4,1,,,,,
492,2,2,1,,,,,
493,2,2,1,,,,,
494,2,2,1,,,,,
495,1,1,1,,,,,
496,3,3,1,,,,,
497,3,3,1,,,,,
498,3,3,1,,,,,
500,4,4,1,,,,,
501,1,1,1,,,,,
502,3,3,1,,,,,
503,3,3,1,,,,,
504,4,3,0.75,,,,,
505,7,7,1,,,,,
506,7,6,0.857142857,,,,,
507,6,6,1,,,,,
508,3,3,1,,,,,
509,3,3,1,,,,,
510,1,1,1,,,,,
511,4,4,1,,,,,
512,4,4,1,,,,,
513,5,5,1,,,,,
514,3,3,1,,,,,
515,4,4,1,,,,,
516,6,6,1,,,,,
517,2,2,1,,,,,
518,8,8,1,,,,,
519,5,5,1,,,,,
520,2,2,1,,,,,
521,2,2,1,,,,,
522,3,3,1,,,,,
523,2,2,1,,,,,
524,4,4,1,,,,,
525,3,3,1,,,,,
526,3,3,1,,,,,
527,1,1,1,,,,,
528,3,3,1,,,,,
529,6,6,1,,,,,
530,4,4,1,,,,,
531,2,2,1,,,,,
532,0,0,.,,,,,
533,1,1,1,,,,,
534,1,1,1,,,,,
535,4,4,1,,,,,
536,4,4,1,,,,,
537,3,3,1,,,,,
538,0,0,.,,,,,
539,1,1,1,,,,,
540,1,1,1,,,,,
541,1,1,1,,,,,
542,2,2,1,,,,,
543,9,9,1,,,,,
544,2,2,1,,,,,
545,6,6,1,,,,,
546,4,4,1,,,,,
547,7,6,0.857142857,,,,,
548,5,5,1,,,,,
549,1,1,1,,,,,
550,0,0,.,,,,,
551,3,3,1,,,,,
552,1,1,1,,,,,
553,3,3,1,,,,,
554,3,3,1,,,,,
555,4,4,1,,,,,
556,1,1,1,,,,,
557,5,4,0.8,,,,,
558,2,2,1,,,,,
559,6,6,1,,,,,
560,1,1,1,,,,,
561,5,5,1,,,,,
562,2,2,1,,,,,
563,7,7,1,,,,,
564,6,6,1,,,,,
565,2,2,1,,,,,
566,3,3,1,,,,,
567,4,4,1,,,,,
568,4,4,1,,,,,
569,4,4,1,,,,,
570,8,7,0.875,,,,,
571,6,6,1,,,,,
572,1,1,1,,,,,
573,4,3,0.75,,,,,
574,3,3,1,,,,,
575,1,1,1,,,,,
576,5,5,1,,,,,
577,1,1,1,,,,,
578,2,2,1,,,,,
579,4,4,1,,,,,
580,2,2,1,,,,,
581,4,4,1,,,,,
582,5,5,1,,,,,
583,2,2,1,,,,,
584,1,0,0,,,,,
585,1,1,1,,,,,
586,2,2,1,,,,,
587,3,3,1,,,,,
588,5,5,1,,,,,
589,6,6,1,,,,,
590,3,3,1,,,,,
591,5,5,1,,,,,
592,4,4,1,,,,,
593,9,9,1,,,,,
594,6,6,1,,,,,
595,4,4,1,,,,,
596,2,2,1,,,,,
597,6,6,1,,,,,
598,2,2,1,,,,,
599,2,2,1,,,,,
600,2,1,0.5,,,,,
601,3,2,0.666666667,,,,,
602,3,3,1,,,,,
603,5,5,1,,,,,
604,2,2,1,,,,,
605,6,6,1,,,,,
606,4,4,1,,,,,
607,5,5,1,,,,,
608,3,3,1,,,,,
609,2,2,1,,,,,
610,3,3,1,,,,,
611,2,2,1,,,,,
612,1,1,1,,,,,
613,3,3,1,,,,,
614,3,3,1,,,,,
615,3,3,1,,,,,
616,3,3,1,,,,,
617,3,3,1,,,,,
618,3,3,1,,,,,
619,5,5,1,,,,,
620,2,2,1,,,,,
621,6,6,1,,,,,
622,5,5,1,,,,,
623,5,5,1,,,,,
624,1,1,1,,,,,
625,7,7,1,,,,,
626,1,1,1,,,,,
627,1,1,1,,,,,
628,0,0,.,,,,,
629,3,3,1,,,,,
630,1,1,1,,,,,
631,1,1,1,,,,,
632,3,3,1,,,,,
633,3,3,1,,,,,
634,3,3,1,,,,,
635,3,3,1,,,,,
636,4,3,0.75,,,,,
637,5,5,1,,,,,
638,2,2,1,,,,,
639,1,1,1,,,,,
640,3,3,1,,,,,
641,3,3,1,,,,,
642,2,2,1,,,,,
643,1,1,1,,,,,
644,3,3,1,,,,,
645,0,0,.,,,,,
646,3,3,1,,,,,
647,2,2,1,,,,,
648,5,5,1,,,,,
649,2,2,1,,,,,
650,3,3,1,,,,,
651,0,0,.,,,,,
652,6,6,1,,,,,
653,1,1,1,,,,,
654,1,0,0,,,,,
655,2,1,0.5,,,,,
656,2,2,1,,,,,
657,5,5,1,,,,,
658,2,2,1,,,,,
659,1,1,1,,,,,
661,8,8,1,,,,,
662,1,1,1,,,,,
663,3,3,1,,,,,
664,2,2,1,,,,,
665,3,3,1,,,,,
666,2,2,1,,,,,
667,3,3,1,,,,,
668,3,3,1,,,,,
669,4,4,1,,,,,
670,3,3,1,,,,,
671,2,2,1,,,,,
672,1,1,1,,,,,
673,2,2,1,,,,,
674,2,2,1,,,,,
675,4,4,1,,,,,
676,4,4,1,,,,,
677,4,3,0.75,,,,,
678,2,2,1,,,,,
679,3,3,1,,,,,
680,2,2,1,,,,,
681,0,0,.,,,,,
682,7,7,1,,,,,
683,2,2,1,,,,,
684,2,2,1,,,,,
685,5,5,1,,,,,
686,5,5,1,,,,,
687,1,1,1,,,,,
688,5,5,1,,,,,
689,6,6,1,,,,,
690,2,2,1,,,,,
691,3,3,1,,,,,
692,4,4,1,,,,,
693,4,4,1,,,,,
694,4,3,0.75,,,,,
695,3,3,1,,,,,
696,2,2,1,,,,,
697,1,1,1,,,,,
698,4,4,1,,,,,
699,1,1,1,,,,,
700,5,5,1,,,,,
701,2,2,1,,,,,
702,4,4,1,,,,,
703,4,4,1,,,,,
704,4,4,1,,,,,
705,4,4,1,,,,,
706,3,3,1,,,,,
707,2,2,1,,,,,
708,2,2,1,,,,,
709,4,4,1,,,,,
710,3,3,1,,,,,
711,4,4,1,,,,,
712,1,1,1,,,,,
713,4,4,1,,,,,
714,0,0,.,,,,,
715,5,5,1,,,,,
716,2,2,1,,,,,
717,3,3,1,,,,,
718,8,7,0.875,,,,,
719,2,2,1,,,,,
720,2,2,1,,,,,
721,6,6,1,,,,,
722,1,1,1,,,,,
723,3,3,1,,,,,
724,3,3,1,,,,,
725,1,1,1,,,,,
726,3,3,1,,,,,
727,3,2,0.666666667,,,,,
728,3,3,1,,,,,
729,2,2,1,,,,,
730,2,2,1,,,,,
731,3,3,1,,,,,
732,4,4,1,,,,,
733,4,4,1,,,,,
734,4,4,1,,,,,
735,2,2,1,,,,,
736,1,1,1,,,,,
737,4,4,1,,,,,
738,4,4,1,,,,,
739,4,4,1,,,,,
740,4,4,1,,,,,
741,0,0,.,,,,,
742,1,1,1,,,,,
743,3,3,1,,,,,
744,3,3,1,,,,,
745,5,5,1,,,,,
746,4,4,1,,,,,
747,0,0,.,,,,,
748,4,4,1,,,,,
749,5,4,0.8,,,,,
750,3,3,1,,,,,
751,3,3,1,,,,,
752,3,3,1,,,,,
753,5,5,1,,,,,
754,2,2,1,,,,,
755,3,3,1,,,,,
756,3,3,1,,,,,
757,0,0,.,,,,,
758,3,3,1,,,,,
759,4,4,1,,,,,
760,6,6,1,,,,,
761,4,4,1,,,,,
762,4,4,1,,,,,
763,4,4,1,,,,,
764,3,3,1,,,,,
765,3,3,1,,,,,
766,2,2,1,,,,,
767,2,2,1,,,,,
768,4,4,1,,,,,
769,2,2,1,,,,,
770,5,5,1,,,,,
771,3,3,1,,,,,
772,2,2,1,,,,,
773,3,3,1,,,,,
774,1,1,1,,,,,
775,4,4,1,,,,,
776,2,2,1,,,,,
777,5,5,1,,,,,
778,6,4,0.666666667,,,,,
779,14,9,0.642857143,,,,,
780,8,8,1,,,,,
781,6,5,0.833333333,,,,,
782,11,8,0.727272727,,,,,
783,6,6,1,,,,,
784,10,10,1,,,,,
785,3,3,1,,,,,
786,3,3,1,,,,,
787,6,5,0.833333333,,,,,
788,3,3,1,,,,,
789,5,5,1,,,,,
790,4,4,1,,,,,
791,6,1,0.166666667,,,,,
792,8,7,0.875,,,,,
793,10,9,0.9,,,,,
794,10,4,0.4,,,,,
795,4,4,1,,,,,
796,3,2,0.666666667,,,,,
797,9,4,0.444444444,,,,,
798,10,8,0.8,,,,,
799,10,8,0.8,,,,,
800,3,3,1,,,,,
801,13,3,0.230769231,,,,,
802,7,1,0.142857143,,,,,
803,1,0,0,,,,,
804,7,5,0.714285714,,,,,
805,10,9,0.9,,,,,
806,1,1,1,,,,,
807,11,11,1,,,,,
808,11,11,1,,,,,
809,3,3,1,,,,,
810,6,6,1,,,,,
811,6,6,1,,,,,
812,8,4,0.5,,,,,
813,5,5,1,,,,,
814,15,14,0.933333333,,,,,
815,14,8,0.571428571,,,,,
816,12,12,1,,,,,
817,9,9,1,,,,,
818,12,12,1,,,,,
819,8,6,0.75,,,,,
820,16,11,0.6875,,,,,
821,10,9,0.9,,,,,
822,12,10,0.833333333,,,,,
823,13,12,0.923076923,,,,,
824,14,11,0.785714286,,,,,
825,8,5,0.625,,,,,
826,8,7,0.875,,,,,
827,12,12,1,,,,,
828,11,5,0.454545455,,,,,
829,12,9,0.75,,,,,
830,7,5,0.714285714,,,,,
831,13,13,1,,,,,
832,9,7,0.777777778,,,,,
833,9,8,0.888888889,,,,,
834,10,5,0.5,,,,,
835,6,6,1,,,,,
836,8,8,1,,,,,
837,10,9,0.9,,,,,
838,5,5,1,,,,,
839,2,2,1,,,,,
840,6,5,0.833333333,,,,,
841,11,11,1,,,,,
842,5,5,1,,,,,
843,7,7,1,,,,,
844,9,8,0.888888889,,,,,
845,6,6,1,,,,,
846,11,11,1,,,,,
847,9,5,0.555555556,,,,,
848,1,1,1,,,,,
849,4,4,1,,,,,
850,6,6,1,,,,,
851,3,3,1,,,,,
852,5,5,1,,,,,
853,9,6,0.666666667,,,,,
