Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.592894462,,National Weighted Average,,61,Statcompiler,61.4
,,,,,,,
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
1,0,0,.,,,,
2,0,0,.,,,,
3,0,0,.,,,,
4,0,0,.,,,,
5,0,0,.,,,,
6,1,0,0,,,,
7,0,0,.,,,,
8,0,0,.,,,,
9,0,0,.,,,,
10,1,1,1,,,,
11,0,0,.,,,,
12,0,0,.,,,,
13,0,0,.,,,,
14,0,0,.,,,,
15,0,0,.,,,,
16,0,0,.,,,,
17,0,0,.,,,,
18,1,0,0,,,,
19,0,0,.,,,,
20,0,0,.,,,,
21,1,1,1,,,,
22,0,0,.,,,,
23,0,0,.,,,,
24,1,1,1,,,,
25,1,1,1,,,,
26,0,0,.,,,,
27,0,0,.,,,,
28,0,0,.,,,,
29,1,0,0,,,,
30,0,0,.,,,,
31,0,0,.,,,,
32,1,1,1,,,,
33,0,0,.,,,,
34,0,0,.,,,,
35,0,0,.,,,,
36,1,1,1,,,,
37,0,0,.,,,,
38,0,0,.,,,,
39,0,0,.,,,,
40,0,0,.,,,,
41,0,0,.,,,,
42,1,1,1,,,,
43,2,2,1,,,,
44,1,0,0,,,,
45,0,0,.,,,,
46,0,0,.,,,,
47,0,0,.,,,,
48,2,1,0.5,,,,
49,0,0,.,,,,
50,0,0,.,,,,
51,0,0,.,,,,
52,1,1,1,,,,
53,0,0,.,,,,
54,0,0,.,,,,
55,0,0,.,,,,
56,0,0,.,,,,
57,0,0,.,,,,
58,0,0,.,,,,
59,0,0,.,,,,
60,0,0,.,,,,
61,0,0,.,,,,
62,0,0,.,,,,
63,2,1,0.5,,,,
64,1,1,1,,,,
65,0,0,.,,,,
66,0,0,.,,,,
67,0,0,.,,,,
68,0,0,.,,,,
69,0,0,.,,,,
70,0,0,.,,,,
71,0,0,.,,,,
72,0,0,.,,,,
73,0,0,.,,,,
74,0,0,.,,,,
75,0,0,.,,,,
76,2,2,1,,,,
77,1,1,1,,,,
78,0,0,.,,,,
79,0,0,.,,,,
80,1,1,1,,,,
81,1,1,1,,,,
82,0,0,.,,,,
83,0,0,.,,,,
84,0,0,.,,,,
85,0,0,.,,,,
86,1,1,1,,,,
87,0,0,.,,,,
88,0,0,.,,,,
89,0,0,.,,,,
90,1,1,1,,,,
91,0,0,.,,,,
92,0,0,.,,,,
93,0,0,.,,,,
94,1,0,0,,,,
95,0,0,.,,,,
96,0,0,.,,,,
97,0,0,.,,,,
98,1,1,1,,,,
99,1,1,1,,,,
100,0,0,.,,,,
101,0,0,.,,,,
102,0,0,.,,,,
103,0,0,.,,,,
104,0,0,.,,,,
105,0,0,.,,,,
106,0,0,.,,,,
107,1,0,0,,,,
108,0,0,.,,,,
109,0,0,.,,,,
110,0,0,.,,,,
111,0,0,.,,,,
112,0,0,.,,,,
113,0,0,.,,,,
114,0,0,.,,,,
115,0,0,.,,,,
116,2,2,1,,,,
117,0,0,.,,,,
118,3,2,0.666666667,,,,
119,0,0,.,,,,
120,0,0,.,,,,
121,0,0,.,,,,
122,0,0,.,,,,
123,1,0,0,,,,
124,0,0,.,,,,
125,0,0,.,,,,
126,0,0,.,,,,
127,0,0,.,,,,
128,0,0,.,,,,
129,0,0,.,,,,
130,0,0,.,,,,
131,1,1,1,,,,
132,0,0,.,,,,
133,0,0,.,,,,
134,0,0,.,,,,
135,0,0,.,,,,
136,0,0,.,,,,
137,0,0,.,,,,
138,2,2,1,,,,
139,0,0,.,,,,
140,0,0,.,,,,
141,0,0,.,,,,
142,1,1,1,,,,
143,2,2,1,,,,
144,0,0,.,,,,
145,0,0,.,,,,
146,0,0,.,,,,
147,0,0,.,,,,
148,0,0,.,,,,
149,1,1,1,,,,
150,0,0,.,,,,
151,0,0,.,,,,
152,0,0,.,,,,
153,0,0,.,,,,
154,1,1,1,,,,
155,0,0,.,,,,
156,1,1,1,,,,
157,0,0,.,,,,
158,0,0,.,,,,
159,0,0,.,,,,
160,1,0,0,,,,
161,0,0,.,,,,
162,0,0,.,,,,
163,0,0,.,,,,
164,1,0,0,,,,
165,0,0,.,,,,
166,0,0,.,,,,
167,1,0,0,,,,
168,0,0,.,,,,
169,1,1,1,,,,
170,0,0,.,,,,
171,0,0,.,,,,
172,1,1,1,,,,
173,0,0,.,,,,
174,0,0,.,,,,
175,0,0,.,,,,
176,0,0,.,,,,
177,0,0,.,,,,
178,0,0,.,,,,
179,2,0,0,,,,
180,0,0,.,,,,
181,1,1,1,,,,
182,0,0,.,,,,
183,0,0,.,,,,
184,1,0,0,,,,
185,0,0,.,,,,
186,1,1,1,,,,
187,0,0,.,,,,
188,0,0,.,,,,
189,0,0,.,,,,
190,0,0,.,,,,
191,0,0,.,,,,
192,0,0,.,,,,
193,1,1,1,,,,
194,0,0,.,,,,
195,0,0,.,,,,
196,0,0,.,,,,
197,1,1,1,,,,
198,0,0,.,,,,
199,0,0,.,,,,
200,0,0,.,,,,
201,0,0,.,,,,
202,0,0,.,,,,
203,0,0,.,,,,
204,0,0,.,,,,
205,0,0,.,,,,
206,1,1,1,,,,
207,0,0,.,,,,
208,0,0,.,,,,
209,0,0,.,,,,
210,1,1,1,,,,
211,1,0,0,,,,
212,0,0,.,,,,
213,0,0,.,,,,
214,0,0,.,,,,
215,0,0,.,,,,
216,0,0,.,,,,
217,0,0,.,,,,
218,0,0,.,,,,
219,1,1,1,,,,
220,0,0,.,,,,
221,0,0,.,,,,
222,1,0,0,,,,
223,0,0,.,,,,
224,1,1,1,,,,
225,0,0,.,,,,
226,0,0,.,,,,
227,1,1,1,,,,
228,0,0,.,,,,
229,0,0,.,,,,
230,0,0,.,,,,
231,0,0,.,,,,
232,1,1,1,,,,
233,1,1,1,,,,
234,0,0,.,,,,
235,0,0,.,,,,
236,0,0,.,,,,
237,2,1,0.5,,,,
238,0,0,.,,,,
239,1,1,1,,,,
240,0,0,.,,,,
241,0,0,.,,,,
242,1,1,1,,,,
243,0,0,.,,,,
244,0,0,.,,,,
245,0,0,.,,,,
246,0,0,.,,,,
247,3,3,1,,,,
248,1,1,1,,,,
249,0,0,.,,,,
250,1,1,1,,,,
251,1,1,1,,,,
252,0,0,.,,,,
253,0,0,.,,,,
254,0,0,.,,,,
255,0,0,.,,,,
256,0,0,.,,,,
257,0,0,.,,,,
258,0,0,.,,,,
259,1,1,1,,,,
260,0,0,.,,,,
261,1,1,1,,,,
262,0,0,.,,,,
263,0,0,.,,,,
264,1,1,1,,,,
265,0,0,.,,,,
266,0,0,.,,,,
267,0,0,.,,,,
268,0,0,.,,,,
269,3,3,1,,,,
270,2,2,1,,,,
271,1,1,1,,,,
272,0,0,.,,,,
273,0,0,.,,,,
274,1,1,1,,,,
275,0,0,.,,,,
276,1,0,0,,,,
277,1,1,1,,,,
278,1,1,1,,,,
279,0,0,.,,,,
280,1,1,1,,,,
281,3,1,0.333333333,,,,
282,0,0,.,,,,
283,0,0,.,,,,
284,0,0,.,,,,
285,1,0,0,,,,
286,2,1,0.5,,,,
287,1,1,1,,,,
288,0,0,.,,,,
289,1,1,1,,,,
290,0,0,.,,,,
291,0,0,.,,,,
292,1,1,1,,,,
293,1,0,0,,,,
294,0,0,.,,,,
295,0,0,.,,,,
296,0,0,.,,,,
297,1,0,0,,,,
298,0,0,.,,,,
299,1,0,0,,,,
300,2,1,0.5,,,,
301,2,1,0.5,,,,
302,1,0,0,,,,
303,0,0,.,,,,
304,0,0,.,,,,
305,0,0,.,,,,
306,0,0,.,,,,
307,0,0,.,,,,
308,3,3,1,,,,
309,1,1,1,,,,
310,0,0,.,,,,
311,1,0,0,,,,
312,0,0,.,,,,
313,1,1,1,,,,
314,0,0,.,,,,
315,0,0,.,,,,
316,1,1,1,,,,
317,0,0,.,,,,
318,1,0,0,,,,
319,1,0,0,,,,
320,0,0,.,,,,
321,0,0,.,,,,
322,3,2,0.666666667,,,,
323,0,0,.,,,,
324,0,0,.,,,,
325,1,1,1,,,,
326,0,0,.,,,,
327,0,0,.,,,,
328,2,0,0,,,,
329,2,1,0.5,,,,
330,1,0,0,,,,
331,5,3,0.6,,,,
332,1,1,1,,,,
333,0,0,.,,,,
334,1,0,0,,,,
335,0,0,.,,,,
336,1,0,0,,,,
338,3,2,0.666666667,,,,
339,0,0,.,,,,
340,1,0,0,,,,
341,0,0,.,,,,
342,2,2,1,,,,
343,1,1,1,,,,
344,3,2,0.666666667,,,,
345,1,1,1,,,,
346,1,0,0,,,,
347,0,0,.,,,,
348,1,1,1,,,,
349,1,1,1,,,,
350,0,0,.,,,,
351,0,0,.,,,,
352,0,0,.,,,,
353,0,0,.,,,,
354,2,1,0.5,,,,
355,1,1,1,,,,
356,0,0,.,,,,
357,0,0,.,,,,
358,1,0,0,,,,
359,1,1,1,,,,
360,0,0,.,,,,
361,1,1,1,,,,
362,2,2,1,,,,
363,1,1,1,,,,
364,4,3,0.75,,,,
365,0,0,.,,,,
366,1,1,1,,,,
367,2,0,0,,,,
368,0,0,.,,,,
369,0,0,.,,,,
370,1,1,1,,,,
371,1,1,1,,,,
372,1,1,1,,,,
373,0,0,.,,,,
374,0,0,.,,,,
375,0,0,.,,,,
376,0,0,.,,,,
377,0,0,.,,,,
378,0,0,.,,,,
379,0,0,.,,,,
380,0,0,.,,,,
381,1,1,1,,,,
382,1,0,0,,,,
383,0,0,.,,,,
384,1,1,1,,,,
385,0,0,.,,,,
386,0,0,.,,,,
387,0,0,.,,,,
388,0,0,.,,,,
389,1,0,0,,,,
390,0,0,.,,,,
391,0,0,.,,,,
392,0,0,.,,,,
393,1,1,1,,,,
394,2,0,0,,,,
395,0,0,.,,,,
396,1,1,1,,,,
397,2,0,0,,,,
398,0,0,.,,,,
399,0,0,.,,,,
400,0,0,.,,,,
401,0,0,.,,,,
402,0,0,.,,,,
403,0,0,.,,,,
404,0,0,.,,,,
405,0,0,.,,,,
406,1,0,0,,,,
407,1,1,1,,,,
408,0,0,.,,,,
409,0,0,.,,,,
410,1,1,1,,,,
411,1,0,0,,,,
412,0,0,.,,,,
413,1,1,1,,,,
414,1,0,0,,,,
415,3,3,1,,,,
416,3,2,0.666666667,,,,
417,0,0,.,,,,
418,0,0,.,,,,
419,1,1,1,,,,
420,1,1,1,,,,
421,0,0,.,,,,
422,0,0,.,,,,
424,0,0,.,,,,
425,1,1,1,,,,
426,0,0,.,,,,
427,0,0,.,,,,
428,0,0,.,,,,
429,0,0,.,,,,
430,2,1,0.5,,,,
431,0,0,.,,,,
432,1,1,1,,,,
433,1,1,1,,,,
434,0,0,.,,,,
435,1,1,1,,,,
436,2,1,0.5,,,,
437,1,1,1,,,,
438,0,0,.,,,,
439,0,0,.,,,,
440,0,0,.,,,,
441,0,0,.,,,,
442,1,1,1,,,,
443,1,0,0,,,,
444,0,0,.,,,,
445,0,0,.,,,,
446,1,0,0,,,,
447,3,2,0.666666667,,,,
448,0,0,.,,,,
449,1,0,0,,,,
450,0,0,.,,,,
451,3,2,0.666666667,,,,
452,1,1,1,,,,
453,0,0,.,,,,
454,2,1,0.5,,,,
455,0,0,.,,,,
456,0,0,.,,,,
457,1,1,1,,,,
458,0,0,.,,,,
459,0,0,.,,,,
460,0,0,.,,,,
461,0,0,.,,,,
462,0,0,.,,,,
463,0,0,.,,,,
464,0,0,.,,,,
465,1,1,1,,,,
466,1,0,0,,,,
467,0,0,.,,,,
468,0,0,.,,,,
469,1,0,0,,,,
470,0,0,.,,,,
471,0,0,.,,,,
472,1,1,1,,,,
473,0,0,.,,,,
474,0,0,.,,,,
475,1,1,1,,,,
476,0,0,.,,,,
477,1,0,0,,,,
478,0,0,.,,,,
479,2,1,0.5,,,,
480,0,0,.,,,,
481,1,1,1,,,,
482,0,0,.,,,,
483,0,0,.,,,,
484,1,1,1,,,,
485,1,0,0,,,,
486,3,2,0.666666667,,,,
487,2,1,0.5,,,,
489,2,1,0.5,,,,
490,0,0,.,,,,
491,0,0,.,,,,
492,1,0,0,,,,
493,0,0,.,,,,
494,0,0,.,,,,
495,0,0,.,,,,
496,0,0,.,,,,
497,0,0,.,,,,
498,1,0,0,,,,
499,0,0,.,,,,
500,2,2,1,,,,
501,1,0,0,,,,
502,0,0,.,,,,
503,0,0,.,,,,
504,0,0,.,,,,
505,0,0,.,,,,
506,1,1,1,,,,
507,0,0,.,,,,
508,0,0,.,,,,
509,0,0,.,,,,
510,2,1,0.5,,,,
511,1,1,1,,,,
512,0,0,.,,,,
513,0,0,.,,,,
514,0,0,.,,,,
515,0,0,.,,,,
516,1,0,0,,,,
517,0,0,.,,,,
518,1,1,1,,,,
519,0,0,.,,,,
520,0,0,.,,,,
521,0,0,.,,,,
522,0,0,.,,,,
523,1,0,0,,,,
524,1,0,0,,,,
525,0,0,.,,,,
526,0,0,.,,,,
527,0,0,.,,,,
528,1,1,1,,,,
529,0,0,.,,,,
530,1,0,0,,,,
531,1,1,1,,,,
532,1,0,0,,,,
533,0,0,.,,,,
534,0,0,.,,,,
535,0,0,.,,,,
536,0,0,.,,,,
537,0,0,.,,,,
538,0,0,.,,,,
539,1,0,0,,,,
540,0,0,.,,,,
541,0,0,.,,,,
542,0,0,.,,,,
543,1,0,0,,,,
544,0,0,.,,,,
545,1,1,1,,,,
546,0,0,.,,,,
547,0,0,.,,,,
548,0,0,.,,,,
549,0,0,.,,,,
550,0,0,.,,,,
551,0,0,.,,,,
552,0,0,.,,,,
553,0,0,.,,,,
554,0,0,.,,,,
555,0,0,.,,,,
556,0,0,.,,,,
557,0,0,.,,,,
558,1,0,0,,,,
559,1,0,0,,,,
560,0,0,.,,,,
561,1,0,0,,,,
562,0,0,.,,,,
563,0,0,.,,,,
564,0,0,.,,,,
565,1,1,1,,,,
566,2,2,1,,,,
567,0,0,.,,,,
568,0,0,.,,,,
569,0,0,.,,,,
570,1,1,1,,,,
571,1,1,1,,,,
572,1,1,1,,,,
573,1,1,1,,,,
574,0,0,.,,,,
575,1,1,1,,,,
576,0,0,.,,,,
577,0,0,.,,,,
578,0,0,.,,,,
579,0,0,.,,,,
580,0,0,.,,,,
581,0,0,.,,,,
582,0,0,.,,,,
583,0,0,.,,,,
584,0,0,.,,,,
585,0,0,.,,,,
586,0,0,.,,,,
587,1,1,1,,,,
588,1,1,1,,,,
589,0,0,.,,,,
590,0,0,.,,,,
591,0,0,.,,,,
592,0,0,.,,,,
593,0,0,.,,,,
594,0,0,.,,,,
595,0,0,.,,,,
596,0,0,.,,,,
597,1,1,1,,,,
598,1,1,1,,,,
599,1,0,0,,,,
600,0,0,.,,,,
601,0,0,.,,,,
602,0,0,.,,,,
603,0,0,.,,,,
604,0,0,.,,,,
605,1,0,0,,,,
606,0,0,.,,,,
607,2,1,0.5,,,,
608,1,0,0,,,,
609,1,1,1,,,,
610,0,0,.,,,,
611,0,0,.,,,,
612,2,1,0.5,,,,
613,0,0,.,,,,
614,0,0,.,,,,
615,2,1,0.5,,,,
616,1,0,0,,,,
617,1,0,0,,,,
618,0,0,.,,,,
619,0,0,.,,,,
620,1,0,0,,,,
621,0,0,.,,,,
622,0,0,.,,,,
623,1,0,0,,,,
624,0,0,.,,,,
625,0,0,.,,,,
626,2,1,0.5,,,,
627,1,1,1,,,,
628,2,0,0,,,,
629,0,0,.,,,,
630,0,0,.,,,,
631,0,0,.,,,,
632,0,0,.,,,,
633,0,0,.,,,,
634,0,0,.,,,,
635,0,0,.,,,,
636,0,0,.,,,,
637,0,0,.,,,,
638,1,1,1,,,,
639,0,0,.,,,,
640,0,0,.,,,,
641,0,0,.,,,,
642,0,0,.,,,,
643,0,0,.,,,,
644,0,0,.,,,,
645,0,0,.,,,,
646,0,0,.,,,,
647,0,0,.,,,,
648,2,2,1,,,,
649,3,0,0,,,,
650,1,1,1,,,,
651,1,1,1,,,,
652,1,0,0,,,,
653,0,0,.,,,,
654,1,1,1,,,,
655,1,1,1,,,,
656,1,1,1,,,,
657,0,0,.,,,,
658,0,0,.,,,,
659,1,1,1,,,,
660,0,0,.,,,,
661,0,0,.,,,,
662,1,1,1,,,,
663,0,0,.,,,,
664,0,0,.,,,,
665,0,0,.,,,,
666,1,1,1,,,,
667,0,0,.,,,,
668,2,0,0,,,,
669,0,0,.,,,,
670,0,0,.,,,,
671,0,0,.,,,,
672,0,0,.,,,,
673,1,0,0,,,,
674,2,1,0.5,,,,
675,0,0,.,,,,
676,1,0,0,,,,
677,0,0,.,,,,
678,0,0,.,,,,
679,2,1,0.5,,,,
680,1,1,1,,,,
681,2,2,1,,,,
682,0,0,.,,,,
683,0,0,.,,,,
684,2,1,0.5,,,,
685,0,0,.,,,,
686,0,0,.,,,,
687,0,0,.,,,,
688,0,0,.,,,,
689,2,0,0,,,,
690,0,0,.,,,,
691,0,0,.,,,,
692,0,0,.,,,,
693,0,0,.,,,,
694,0,0,.,,,,
695,0,0,.,,,,
696,1,0,0,,,,
697,2,1,0.5,,,,
698,0,0,.,,,,
699,1,0,0,,,,
700,1,1,1,,,,
701,0,0,.,,,,
702,1,0,0,,,,
703,1,0,0,,,,
704,2,1,0.5,,,,
705,0,0,.,,,,
706,0,0,.,,,,
707,1,1,1,,,,
708,2,1,0.5,,,,
709,0,0,.,,,,
710,1,0,0,,,,
712,1,0,0,,,,
713,2,0,0,,,,
714,2,2,1,,,,
715,0,0,.,,,,
716,2,1,0.5,,,,
717,0,0,.,,,,
718,1,0,0,,,,
719,1,1,1,,,,
720,1,0,0,,,,
721,0,0,.,,,,
722,1,0,0,,,,
724,3,1,0.333333333,,,,
726,2,0,0,,,,
727,1,0,0,,,,
728,1,0,0,,,,
729,1,1,1,,,,
730,0,0,.,,,,
731,0,0,.,,,,
732,0,0,.,,,,
733,0,0,.,,,,
734,2,2,1,,,,
735,4,0,0,,,,
736,1,1,1,,,,
737,2,1,0.5,,,,
738,0,0,.,,,,
739,0,0,.,,,,
741,0,0,.,,,,
742,0,0,.,,,,
743,1,1,1,,,,
744,0,0,.,,,,
745,1,1,1,,,,
746,0,0,.,,,,
747,1,0,0,,,,
748,1,1,1,,,,
749,0,0,.,,,,
750,0,0,.,,,,
751,3,2,0.666666667,,,,
752,0,0,.,,,,
753,3,3,1,,,,
754,0,0,.,,,,
755,1,1,1,,,,
756,2,1,0.5,,,,
757,0,0,.,,,,
760,1,1,1,,,,
761,1,1,1,,,,
762,0,0,.,,,,
764,0,0,.,,,,
766,0,0,.,,,,
768,2,0,0,,,,
769,1,1,1,,,,
770,1,0,0,,,,
771,0,0,.,,,,
772,0,0,.,,,,
773,1,0,0,,,,
774,0,0,.,,,,
775,0,0,.,,,,
776,1,0,0,,,,
777,0,0,.,,,,
778,1,0,0,,,,
779,1,0,0,,,,
780,0,0,.,,,,
781,1,1,1,,,,
782,0,0,.,,,,
783,1,0,0,,,,
784,0,0,.,,,,
785,4,0,0,,,,
786,0,0,.,,,,
787,0,0,.,,,,
788,0,0,.,,,,
789,3,2,0.666666667,,,,
790,1,0,0,,,,
791,1,0,0,,,,
792,1,0,0,,,,
793,1,0,0,,,,
794,1,1,1,,,,
795,0,0,.,,,,
796,0,0,.,,,,
797,0,0,.,,,,
798,0,0,.,,,,
799,1,0,0,,,,
801,1,0,0,,,,
802,0,0,.,,,,
803,0,0,.,,,,
804,0,0,.,,,,
805,0,0,.,,,,
806,0,0,.,,,,
807,0,0,.,,,,
808,2,1,0.5,,,,
809,1,1,1,,,,
810,0,0,.,,,,
811,1,1,1,,,,
812,0,0,.,,,,
813,0,0,.,,,,
814,0,0,.,,,,
815,0,0,.,,,,
816,0,0,.,,,,
817,0,0,.,,,,
818,1,0,0,,,,
819,0,0,.,,,,
820,0,0,.,,,,
821,0,0,.,,,,
822,0,0,.,,,,
823,1,1,1,,,,
824,1,0,0,,,,
825,0,0,.,,,,
826,0,0,.,,,,
