Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
827,1,1,1,,,,
828,0,0,.,,,,
829,1,1,1,,,,
830,0,0,.,,,,
831,0,0,.,,,,
832,0,0,.,,,,
833,0,0,.,,,,
834,0,0,.,,,,
835,0,0,.,,,,
836,0,0,.,,,,
837,0,0,.,,,,
838,0,0,.,,,,
839,0,0,.,,,,
840,0,0,.,,,,
841,0,0,.,,,,
842,0,0,.,,,,
843,1,1,1,,,,
844,0,0,.,,,,
845,0,0,.,,,,
846,2,2,1,,,,
847,0,0,.,,,,
848,1,1,1,,,,
849,0,0,.,,,,
850,1,1,1,,,,
851,0,0,.,,,,
852,1,0,0,,,,
853,1,1,1,,,,
854,0,0,.,,,,
855,1,1,1,,,,
856,1,0,0,,,,
857,0,0,.,,,,
858,1,1,1,,,,
859,2,1,0.5,,,,
860,1,1,1,,,,
861,0,0,.,,,,
862,0,0,.,,,,
863,1,1,1,,,,
864,0,0,.,,,,
865,1,1,1,,,,
866,2,1,0.5,,,,
867,0,0,.,,,,
868,3,2,0.666666667,,,,
869,0,0,.,,,,
870,1,1,1,,,,
871,1,0,0,,,,
872,0,0,.,,,,
873,0,0,.,,,,
874,3,1,0.333333333,,,,
875,1,1,1,,,,
876,4,1,0.25,,,,
877,1,1,1,,,,
878,0,0,.,,,,
879,0,0,.,,,,
880,1,0,0,,,,
881,0,0,.,,,,
882,1,1,1,,,,
883,1,1,1,,,,
884,1,0,0,,,,
885,0,0,.,,,,
886,0,0,.,,,,
887,1,0,0,,,,
888,2,2,1,,,,
889,1,1,1,,,,
890,1,1,1,,,,
891,0,0,.,,,,
892,0,0,.,,,,
893,1,0,0,,,,
894,1,1,1,,,,
895,2,2,1,,,,
896,2,1,0.5,,,,
897,0,0,.,,,,
898,1,0,0,,,,
899,1,1,1,,,,
900,0,0,.,,,,
901,0,0,.,,,,
902,1,1,1,,,,
903,0,0,.,,,,
904,0,0,.,,,,
905,0,0,.,,,,
906,2,1,0.5,,,,
907,0,0,.,,,,
908,0,0,.,,,,
909,0,0,.,,,,
910,1,1,1,,,,
911,0,0,.,,,,
912,3,1,0.333333333,,,,
913,0,0,.,,,,
914,1,0,0,,,,
915,0,0,.,,,,
916,0,0,.,,,,
917,2,1,0.5,,,,
918,0,0,.,,,,
919,1,1,1,,,,
920,1,1,1,,,,
921,0,0,.,,,,
922,1,0,0,,,,
923,1,1,1,,,,
924,3,2,0.666666667,,,,
925,0,0,.,,,,
926,1,0,0,,,,
927,1,0,0,,,,
928,0,0,.,,,,
929,1,1,1,,,,
930,0,0,.,,,,
931,1,0,0,,,,
932,0,0,.,,,,
933,2,2,1,,,,
934,0,0,.,,,,
935,1,1,1,,,,
936,1,0,0,,,,
937,0,0,.,,,,
938,0,0,.,,,,
939,1,1,1,,,,
940,0,0,.,,,,
941,0,0,.,,,,
942,0,0,.,,,,
943,0,0,.,,,,
944,0,0,.,,,,
945,0,0,.,,,,
946,1,1,1,,,,
947,1,1,1,,,,
948,1,1,1,,,,
949,0,0,.,,,,
950,0,0,.,,,,
951,0,0,.,,,,
952,0,0,.,,,,
953,1,0,0,,,,
954,0,0,.,,,,
955,0,0,.,,,,
956,1,1,1,,,,
957,1,1,1,,,,
958,0,0,.,,,,
959,0,0,.,,,,
960,0,0,.,,,,
961,0,0,.,,,,
962,3,1,0.333333333,,,,
963,1,0,0,,,,
964,0,0,.,,,,
965,0,0,.,,,,
966,0,0,.,,,,
967,0,0,.,,,,
968,1,0,0,,,,
969,0,0,.,,,,
970,0,0,.,,,,
971,0,0,.,,,,
972,0,0,.,,,,
973,1,1,1,,,,
974,0,0,.,,,,
975,1,1,1,,,,
976,0,0,.,,,,
977,0,0,.,,,,
978,0,0,.,,,,
979,0,0,.,,,,
980,0,0,.,,,,
981,0,0,.,,,,
982,0,0,.,,,,
983,0,0,.,,,,
984,0,0,.,,,,
985,0,0,.,,,,
986,1,0,0,,,,
987,1,1,1,,,,
988,0,0,.,,,,
989,0,0,.,,,,
990,0,0,.,,,,
991,0,0,.,,,,
992,0,0,.,,,,
993,0,0,.,,,,
994,0,0,.,,,,
995,1,1,1,,,,
996,0,0,.,,,,
997,0,0,.,,,,
998,1,1,1,,,,
999,0,0,.,,,,
1000,1,1,1,,,,
1001,0,0,.,,,,
1002,2,2,1,,,,
1003,0,0,.,,,,
1004,0,0,.,,,,
1005,0,0,.,,,,
1006,2,1,0.5,,,,
1007,0,0,.,,,,
1008,0,0,.,,,,
1009,0,0,.,,,,
1010,0,0,.,,,,
1011,1,0,0,,,,
1012,0,0,.,,,,
1013,3,1,0.333333333,,,,
1014,0,0,.,,,,
1015,1,0,0,,,,
1016,0,0,.,,,,
1017,1,0,0,,,,
1018,0,0,.,,,,
1019,1,1,1,,,,
1020,2,1,0.5,,,,
1021,0,0,.,,,,
1022,0,0,.,,,,
1023,1,0,0,,,,
1024,0,0,.,,,,
1025,3,2,0.666666667,,,,
1026,1,1,1,,,,
1027,2,1,0.5,,,,
1028,1,1,1,,,,
1029,3,2,0.666666667,,,,
1030,0,0,.,,,,
1031,0,0,.,,,,
1032,0,0,.,,,,
1034,1,1,1,,,,
1035,0,0,.,,,,
1036,1,1,1,,,,
1037,2,1,0.5,,,,
1038,0,0,.,,,,
1039,2,2,1,,,,
1040,0,0,.,,,,
1041,1,1,1,,,,
1042,0,0,.,,,,
1043,0,0,.,,,,
1044,2,1,0.5,,,,
1045,1,1,1,,,,
1046,2,1,0.5,,,,
1047,1,1,1,,,,
1048,2,2,1,,,,
1049,3,3,1,,,,
1050,0,0,.,,,,
1051,2,2,1,,,,
1052,1,0,0,,,,
1053,1,0,0,,,,
1054,1,1,1,,,,
1055,2,2,1,,,,
1056,1,0,0,,,,
1058,2,2,1,,,,
1059,4,3,0.75,,,,
1060,0,0,.,,,,
1061,1,1,1,,,,
1062,3,1,0.333333333,,,,
1063,1,0,0,,,,
1064,1,0,0,,,,
1065,1,0,0,,,,
1067,0,0,.,,,,
1068,1,1,1,,,,
1069,0,0,.,,,,
1070,0,0,.,,,,
1071,0,0,.,,,,
1072,0,0,.,,,,
1073,2,2,1,,,,
1074,0,0,.,,,,
1075,1,1,1,,,,
1076,0,0,.,,,,
1077,0,0,.,,,,
1078,1,0,0,,,,
1079,4,4,1,,,,
1080,2,2,1,,,,
1081,0,0,.,,,,
1082,2,2,1,,,,
1083,1,1,1,,,,
1084,0,0,.,,,,
1085,0,0,.,,,,
1086,1,0,0,,,,
1087,1,1,1,,,,
1088,0,0,.,,,,
1089,0,0,.,,,,
1090,0,0,.,,,,
1091,0,0,.,,,,
1092,0,0,.,,,,
1093,1,1,1,,,,
1094,0,0,.,,,,
1095,0,0,.,,,,
1096,1,1,1,,,,
1097,0,0,.,,,,
1098,0,0,.,,,,
1099,2,2,1,,,,
1100,1,1,1,,,,
1101,0,0,.,,,,
1103,1,1,1,,,,
1104,0,0,.,,,,
1105,0,0,.,,,,
1106,1,0,0,,,,
1107,1,1,1,,,,
1108,0,0,.,,,,
1109,0,0,.,,,,
1110,0,0,.,,,,
1111,0,0,.,,,,
1112,0,0,.,,,,
1113,1,1,1,,,,
1114,0,0,.,,,,
1115,1,1,1,,,,
1116,1,0,0,,,,
1117,1,0,0,,,,
1118,3,1,0.333333333,,,,
1119,0,0,.,,,,
1120,0,0,.,,,,
1121,1,0,0,,,,
1122,0,0,.,,,,
1123,0,0,.,,,,
1124,3,2,0.666666667,,,,
1125,1,1,1,,,,
1126,0,0,.,,,,
1127,0,0,.,,,,
1128,0,0,.,,,,
1129,4,2,0.5,,,,
1130,0,0,.,,,,
1131,0,0,.,,,,
1132,1,1,1,,,,
1133,0,0,.,,,,
1134,2,2,1,,,,
1135,2,2,1,,,,
1136,0,0,.,,,,
1137,0,0,.,,,,
1138,0,0,.,,,,
1139,1,0,0,,,,
1140,0,0,.,,,,
1141,2,2,1,,,,
1142,1,0,0,,,,
1143,1,1,1,,,,
1144,1,0,0,,,,
1145,0,0,.,,,,
1146,1,1,1,,,,
1147,1,0,0,,,,
1148,1,1,1,,,,
1149,1,1,1,,,,
1150,1,0,0,,,,
1151,1,1,1,,,,
1152,0,0,.,,,,
1153,0,0,.,,,,
1154,0,0,.,,,,
1155,0,0,.,,,,
1156,0,0,.,,,,
1157,0,0,.,,,,
1158,1,0,0,,,,
1159,0,0,.,,,,
1160,0,0,.,,,,
1161,0,0,.,,,,
1162,1,1,1,,,,
1163,0,0,.,,,,
1164,0,0,.,,,,
1165,1,1,1,,,,
1166,1,0,0,,,,
1167,1,0,0,,,,
1168,0,0,.,,,,
1169,0,0,.,,,,
1170,0,0,.,,,,
1171,1,1,1,,,,
1172,0,0,.,,,,
1173,0,0,.,,,,
1174,3,1,0.333333333,,,,
1175,0,0,.,,,,
1176,1,0,0,,,,
1177,2,1,0.5,,,,
1178,1,0,0,,,,
1179,1,1,1,,,,
1180,0,0,.,,,,
1181,0,0,.,,,,
1182,1,1,1,,,,
1183,1,1,1,,,,
1184,0,0,.,,,,
1185,0,0,.,,,,
1186,0,0,.,,,,
1187,0,0,.,,,,
1188,0,0,.,,,,
1189,0,0,.,,,,
1190,1,0,0,,,,
1191,0,0,.,,,,
1192,0,0,.,,,,
1193,1,0,0,,,,
1194,0,0,.,,,,
1195,1,1,1,,,,
1196,2,2,1,,,,
1197,0,0,.,,,,
1198,0,0,.,,,,
1199,1,0,0,,,,
1200,0,0,.,,,,
1201,0,0,.,,,,
1202,0,0,.,,,,
1203,1,1,1,,,,
1204,2,1,0.5,,,,
1205,0,0,.,,,,
1206,1,0,0,,,,
1207,0,0,.,,,,
1208,1,1,1,,,,
1209,0,0,.,,,,
1210,0,0,.,,,,
1212,0,0,.,,,,
1213,1,1,1,,,,
1214,0,0,.,,,,
1215,1,1,1,,,,
1216,1,1,1,,,,
1217,2,0,0,,,,
1218,0,0,.,,,,
1219,0,0,.,,,,
1220,1,0,0,,,,
1221,2,2,1,,,,
1222,3,2,0.666666667,,,,
1223,0,0,.,,,,
1224,0,0,.,,,,
1225,0,0,.,,,,
1226,0,0,.,,,,
1227,0,0,.,,,,
1228,0,0,.,,,,
1229,0,0,.,,,,
1230,1,0,0,,,,
1231,0,0,.,,,,
1232,1,0,0,,,,
1233,0,0,.,,,,
1234,1,0,0,,,,
1235,0,0,.,,,,
1236,0,0,.,,,,
1237,0,0,.,,,,
1238,1,1,1,,,,
1239,2,1,0.5,,,,
1240,0,0,.,,,,
1241,1,0,0,,,,
1242,1,0,0,,,,
1243,0,0,.,,,,
1244,0,0,.,,,,
1245,0,0,.,,,,
1246,0,0,.,,,,
1247,0,0,.,,,,
1248,1,0,0,,,,
1249,0,0,.,,,,
1250,0,0,.,,,,
1251,1,0,0,,,,
1252,0,0,.,,,,
1253,0,0,.,,,,
1254,0,0,.,,,,
1255,0,0,.,,,,
1256,0,0,.,,,,
1257,0,0,.,,,,
1258,0,0,.,,,,
1259,1,1,1,,,,
1260,0,0,.,,,,
1261,1,1,1,,,,
1262,0,0,.,,,,
1263,2,1,0.5,,,,
1264,0,0,.,,,,
1265,1,0,0,,,,
1266,0,0,.,,,,
1267,0,0,.,,,,
1268,1,1,1,,,,
1269,2,1,0.5,,,,
1270,0,0,.,,,,
1272,0,0,.,,,,
1273,0,0,.,,,,
1274,0,0,.,,,,
1275,1,1,1,,,,
1276,1,0,0,,,,
1277,0,0,.,,,,
1278,1,0,0,,,,
1279,0,0,.,,,,
1280,2,2,1,,,,
1281,0,0,.,,,,
1282,0,0,.,,,,
1283,1,1,1,,,,
1284,1,1,1,,,,
1285,0,0,.,,,,
1286,1,0,0,,,,
1287,0,0,.,,,,
1288,0,0,.,,,,
1289,1,1,1,,,,
1290,0,0,.,,,,
1291,1,1,1,,,,
1292,3,2,0.666666667,,,,
1293,2,1,0.5,,,,
1294,1,1,1,,,,
1295,1,0,0,,,,
1296,1,0,0,,,,
1297,2,2,1,,,,
1298,0,0,.,,,,
1299,0,0,.,,,,
1300,1,1,1,,,,
1301,1,0,0,,,,
1302,0,0,.,,,,
1303,0,0,.,,,,
1304,0,0,.,,,,
1305,0,0,.,,,,
1306,0,0,.,,,,
1307,0,0,.,,,,
1308,0,0,.,,,,
1309,0,0,.,,,,
1310,0,0,.,,,,
1311,0,0,.,,,,
1312,1,0,0,,,,
1313,0,0,.,,,,
1314,0,0,.,,,,
1315,0,0,.,,,,
1316,0,0,.,,,,
1317,0,0,.,,,,
1318,0,0,.,,,,
1319,0,0,.,,,,
1320,0,0,.,,,,
1321,1,1,1,,,,
1322,0,0,.,,,,
1323,0,0,.,,,,
1324,1,1,1,,,,
1325,0,0,.,,,,
1326,0,0,.,,,,
1327,0,0,.,,,,
1328,0,0,.,,,,
1329,0,0,.,,,,
1330,1,1,1,,,,
1331,0,0,.,,,,
1332,0,0,.,,,,
1333,1,0,0,,,,
1334,0,0,.,,,,
1335,2,2,1,,,,
1336,0,0,.,,,,
1337,1,1,1,,,,
1338,1,0,0,,,,
1339,3,2,0.666666667,,,,
1340,0,0,.,,,,
1341,0,0,.,,,,
1342,1,1,1,,,,
1343,1,0,0,,,,
1344,1,0,0,,,,
1345,2,2,1,,,,
1346,1,0,0,,,,
1347,0,0,.,,,,
1348,3,2,0.666666667,,,,
1349,0,0,.,,,,
1350,1,1,1,,,,
1351,0,0,.,,,,
1352,2,2,1,,,,
1353,1,0,0,,,,
1354,1,1,1,,,,
1355,0,0,.,,,,
1356,0,0,.,,,,
1357,0,0,.,,,,
1358,0,0,.,,,,
1359,0,0,.,,,,
1360,1,0,0,,,,
1361,2,1,0.5,,,,
1362,0,0,.,,,,
1363,1,0,0,,,,
1364,2,0,0,,,,
1365,0,0,.,,,,
1366,0,0,.,,,,
1367,1,1,1,,,,
1368,0,0,.,,,,
1369,2,1,0.5,,,,
1370,1,1,1,,,,
1371,0,0,.,,,,
1372,1,1,1,,,,
1373,1,0,0,,,,
1374,1,0,0,,,,
1375,1,1,1,,,,
1376,0,0,.,,,,
1377,1,1,1,,,,
1378,1,0,0,,,,
1379,0,0,.,,,,
1380,0,0,.,,,,
1381,0,0,.,,,,
1382,2,1,0.5,,,,
1383,1,1,1,,,,
1384,1,1,1,,,,
1385,0,0,.,,,,
1386,0,0,.,,,,
1387,2,0,0,,,,
1388,0,0,.,,,,
1389,0,0,.,,,,
1390,0,0,.,,,,
1391,0,0,.,,,,
1392,0,0,.,,,,
1393,0,0,.,,,,
1394,1,0,0,,,,
1395,1,0,0,,,,
1396,0,0,.,,,,
1397,0,0,.,,,,
1398,0,0,.,,,,
1399,0,0,.,,,,
1400,0,0,.,,,,
1401,2,1,0.5,,,,
1402,1,1,1,,,,
1403,0,0,.,,,,
1404,2,1,0.5,,,,
1405,0,0,.,,,,
1406,0,0,.,,,,
1407,0,0,.,,,,
1408,1,0,0,,,,
1409,0,0,.,,,,
1410,0,0,.,,,,
1411,0,0,.,,,,
1412,0,0,.,,,,
1413,0,0,.,,,,
1414,0,0,.,,,,
1415,2,1,0.5,,,,
1416,0,0,.,,,,
1417,0,0,.,,,,
1418,1,1,1,,,,
1419,1,1,1,,,,
1420,1,1,1,,,,
1421,1,0,0,,,,
1422,1,0,0,,,,
1423,0,0,.,,,,
1424,0,0,.,,,,
1425,1,0,0,,,,
1426,0,0,.,,,,
1427,1,1,1,,,,
1428,0,0,.,,,,
1429,0,0,.,,,,
1430,2,1,0.5,,,,
1431,0,0,.,,,,
1432,0,0,.,,,,
1433,1,0,0,,,,
1434,1,1,1,,,,
1435,0,0,.,,,,
1436,1,1,1,,,,
1437,0,0,.,,,,
1438,2,1,0.5,,,,
1439,0,0,.,,,,
1440,0,0,.,,,,
1441,0,0,.,,,,
1442,0,0,.,,,,
1443,1,0,0,,,,
1444,0,0,.,,,,
1445,1,0,0,,,,
1446,0,0,.,,,,
1447,1,0,0,,,,
1448,0,0,.,,,,
1449,0,0,.,,,,
1450,1,1,1,,,,
1451,0,0,.,,,,
1452,0,0,.,,,,
1453,0,0,.,,,,
1454,1,0,0,,,,
1455,1,1,1,,,,
1456,1,0,0,,,,
1457,0,0,.,,,,
1458,0,0,.,,,,
1459,0,0,.,,,,
1460,0,0,.,,,,
1461,2,1,0.5,,,,
1462,2,1,0.5,,,,
1463,1,1,1,,,,
1464,0,0,.,,,,
1465,2,1,0.5,,,,
1466,0,0,.,,,,
1467,1,1,1,,,,
1468,1,0,0,,,,
1469,3,3,1,,,,
1470,2,2,1,,,,
1471,0,0,.,,,,
1472,1,1,1,,,,
1473,0,0,.,,,,
1474,0,0,.,,,,
1475,1,1,1,,,,
1476,0,0,.,,,,
1477,1,1,1,,,,
1478,0,0,.,,,,
1479,0,0,.,,,,
1480,0,0,.,,,,
1481,1,1,1,,,,
1482,0,0,.,,,,
1483,1,0,0,,,,
1484,1,0,0,,,,
1485,4,2,0.5,,,,
1486,0,0,.,,,,
1487,0,0,.,,,,
1488,1,1,1,,,,
1489,0,0,.,,,,
1490,1,0,0,,,,
1491,0,0,.,,,,
1492,0,0,.,,,,
1493,1,0,0,,,,
1494,0,0,.,,,,
1495,0,0,.,,,,
1496,0,0,.,,,,
1497,0,0,.,,,,
1498,1,1,1,,,,
1499,0,0,.,,,,
1500,0,0,.,,,,
1501,0,0,.,,,,
1502,0,0,.,,,,
1503,0,0,.,,,,
1504,0,0,.,,,,
1505,0,0,.,,,,
1506,3,1,0.333333333,,,,
1507,0,0,.,,,,
1508,0,0,.,,,,
1509,1,0,0,,,,
1510,0,0,.,,,,
1511,0,0,.,,,,
1512,0,0,.,,,,
1513,0,0,.,,,,
1514,0,0,.,,,,
1515,0,0,.,,,,
1516,0,0,.,,,,
1517,0,0,.,,,,
1518,0,0,.,,,,
1519,1,1,1,,,,
1520,0,0,.,,,,
1521,0,0,.,,,,
1522,0,0,.,,,,
1523,0,0,.,,,,
1524,1,1,1,,,,
1525,1,1,1,,,,
1526,0,0,.,,,,
1527,0,0,.,,,,
1528,0,0,.,,,,
1529,1,0,0,,,,
1530,0,0,.,,,,
1531,2,0,0,,,,
1532,2,0,0,,,,
1533,0,0,.,,,,
1534,0,0,.,,,,
1535,0,0,.,,,,
1536,0,0,.,,,,
1537,0,0,.,,,,
1538,1,1,1,,,,
1539,0,0,.,,,,
1540,0,0,.,,,,
1541,1,0,0,,,,
1542,1,0,0,,,,
1543,0,0,.,,,,
1544,0,0,.,,,,
1545,0,0,.,,,,
1546,0,0,.,,,,
1547,1,1,1,,,,
1548,0,0,.,,,,
1549,2,1,0.5,,,,
1550,0,0,.,,,,
1551,3,2,0.666666667,,,,
1552,0,0,.,,,,
1553,1,0,0,,,,
1554,1,1,1,,,,
1555,0,0,.,,,,
1556,0,0,.,,,,
1557,2,2,1,,,,
1558,0,0,.,,,,
1559,0,0,.,,,,
1560,1,0,0,,,,
1561,1,1,1,,,,
1562,1,1,1,,,,
1563,2,0,0,,,,
1564,1,1,1,,,,
1565,1,0,0,,,,
1566,0,0,.,,,,
1567,0,0,.,,,,
1568,1,1,1,,,,
1569,1,1,1,,,,
1570,0,0,.,,,,
1571,1,1,1,,,,
1572,1,1,1,,,,
1573,1,1,1,,,,
1574,0,0,.,,,,
1575,1,1,1,,,,
1576,1,0,0,,,,
1577,1,0,0,,,,
1578,1,1,1,,,,
1579,0,0,.,,,,
1580,1,1,1,,,,
1581,0,0,.,,,,
1582,1,0,0,,,,
1583,0,0,.,,,,
1584,1,0,0,,,,
1585,0,0,.,,,,
1586,1,1,1,,,,
1587,1,1,1,,,,
1588,0,0,.,,,,
1589,0,0,.,,,,
1590,0,0,.,,,,
1591,2,2,1,,,,
1592,0,0,.,,,,
1593,1,1,1,,,,
1594,1,0,0,,,,
1595,1,1,1,,,,
1596,2,1,0.5,,,,
1597,0,0,.,,,,
1598,0,0,.,,,,
1599,1,1,1,,,,
1600,1,1,1,,,,
1601,0,0,.,,,,
1602,4,1,0.25,,,,
1603,0,0,.,,,,
1604,0,0,.,,,,
1605,0,0,.,,,,
1606,0,0,.,,,,
1607,2,1,0.5,,,,
1608,0,0,.,,,,
1609,0,0,.,,,,
1610,1,1,1,,,,
1611,0,0,.,,,,
1612,0,0,.,,,,
,863,511,0.592894462,,,,
