v001,currentlymarried,fp_cruse_mod,
1,13,12,0.923076923
2,11,6,0.545454545
3,7,3,0.428571429
4,13,8,0.615384615
5,13,9,0.692307692
6,13,6,0.461538462
7,5,3,0.6
8,12,4,0.333333333
9,11,5,0.454545455
10,9,6,0.666666667
11,16,13,0.8125
12,20,13,0.65
13,14,9,0.642857143
14,6,3,0.5
15,13,7,0.538461538
16,16,5,0.3125
17,10,6,0.6
18,10,5,0.5
19,15,6,0.4
20,11,4,0.363636364
21,10,6,0.6
22,8,2,0.25
23,12,4,0.333333333
24,8,3,0.375
25,13,9,0.692307692
26,5,1,0.2
27,10,6,0.6
28,18,9,0.5
29,15,1,0.066666667
30,11,4,0.363636364
31,3,1,0.333333333
32,9,3,0.333333333
33,11,4,0.363636364
34,9,5,0.555555556
35,9,3,0.333333333
36,16,7,0.4375
37,11,4,0.363636364
38,13,10,0.769230769
39,10,5,0.5
40,16,9,0.5625
41,16,10,0.625
42,13,7,0.538461538
43,18,4,0.222222222
44,17,8,0.470588235
45,8,4,0.5
46,17,3,0.176470588
47,12,1,0.083333333
48,18,6,0.333333333
49,5,2,0.4
50,15,3,0.2
51,12,6,0.5
52,14,4,0.285714286
53,16,9,0.5625
54,14,4,0.285714286
55,14,3,0.214285714
56,17,9,0.529411765
57,6,5,0.833333333
58,8,1,0.125
59,10,6,0.6
60,11,5,0.454545455
61,7,3,0.428571429
62,11,6,0.545454545
63,14,9,0.642857143
64,9,2,0.222222222
65,15,7,0.466666667
66,12,3,0.25
67,5,1,0.2
68,15,3,0.2
69,19,9,0.473684211
70,9,1,0.111111111
71,10,6,0.6
72,19,4,0.210526316
73,6,2,0.333333333
74,10,4,0.4
75,12,5,0.416666667
76,14,5,0.357142857
77,11,3,0.272727273
78,11,7,0.636363636
79,12,7,0.583333333
80,6,4,0.666666667
81,7,1,0.142857143
82,15,10,0.666666667
83,7,2,0.285714286
84,12,7,0.583333333
85,13,10,0.769230769
86,4,0,0
87,8,3,0.375
88,10,2,0.2
89,13,5,0.384615385
90,8,3,0.375
91,16,10,0.625
92,10,6,0.6
93,7,6,0.857142857
94,8,4,0.5
95,5,4,0.8
96,11,3,0.272727273
97,16,5,0.3125
98,14,10,0.714285714
99,9,4,0.444444444
100,11,3,0.272727273
101,15,9,0.6
102,11,6,0.545454545
103,8,8,1
104,12,9,0.75
105,13,5,0.384615385
106,5,2,0.4
107,11,7,0.636363636
108,6,2,0.333333333
109,13,6,0.461538462
110,9,4,0.444444444
111,13,6,0.461538462
112,17,2,0.117647059
113,15,0,0
114,10,5,0.5
115,12,1,0.083333333
116,15,1,0.066666667
117,11,0,0
118,16,0,0
119,10,3,0.3
120,15,3,0.2
121,13,2,0.153846154
122,17,2,0.117647059
123,11,5,0.454545455
124,16,0,0
125,18,1,0.055555556
126,12,7,0.583333333
127,17,5,0.294117647
128,13,4,0.307692308
129,11,7,0.636363636
130,10,4,0.4
131,10,5,0.5
132,14,1,0.071428571
133,15,1,0.066666667
134,13,3,0.230769231
135,21,0,0
136,17,0,0
137,16,7,0.4375
138,11,5,0.454545455
139,16,6,0.375
140,8,4,0.5
141,17,9,0.529411765
142,9,6,0.666666667
143,17,1,0.058823529
144,14,6,0.428571429
145,16,4,0.25
146,12,5,0.416666667
147,24,15,0.625
148,10,5,0.5
149,14,5,0.357142857
150,10,2,0.2
151,16,6,0.375
152,11,5,0.454545455
153,8,2,0.25
154,14,9,0.642857143
155,10,3,0.3
156,7,4,0.571428571
157,19,3,0.157894737
158,9,5,0.555555556
159,10,6,0.6
160,16,6,0.375
161,14,2,0.142857143
162,17,0,0
163,12,7,0.583333333
164,9,2,0.222222222
165,18,3,0.166666667
166,9,6,0.666666667
167,10,7,0.7
168,9,4,0.444444444
169,13,7,0.538461538
170,8,4,0.5
171,11,8,0.727272727
172,8,6,0.75
173,17,3,0.176470588
174,6,3,0.5
175,13,3,0.230769231
176,11,9,0.818181818
177,6,5,0.833333333
178,6,3,0.5
179,10,7,0.7
180,7,7,1
181,11,7,0.636363636
182,5,3,0.6
183,7,4,0.571428571
184,4,3,0.75
185,12,8,0.666666667
186,8,8,1
187,3,1,0.333333333
188,9,3,0.333333333
189,8,6,0.75
190,8,7,0.875
191,9,6,0.666666667
192,5,5,1
193,15,10,0.666666667
194,11,10,0.909090909
195,8,7,0.875
196,11,10,0.909090909
197,6,2,0.333333333
198,9,4,0.444444444
199,3,3,1
200,9,7,0.777777778
201,7,5,0.714285714
202,11,6,0.545454545
203,8,5,0.625
204,7,5,0.714285714
205,8,3,0.375
206,9,7,0.777777778
207,8,6,0.75
208,12,8,0.666666667
209,17,1,0.058823529
210,13,0,0
211,14,0,0
212,12,1,0.083333333
213,6,0,0
214,15,0,0
215,13,0,0
216,11,1,0.090909091
217,14,0,0
218,9,1,0.111111111
219,2,0,0
220,16,2,0.125
221,13,4,0.307692308
222,6,1,0.166666667
223,16,4,0.25
224,16,1,0.0625
225,14,1,0.071428571
226,12,5,0.416666667
227,15,1,0.066666667
228,17,2,0.117647059
229,18,0,0
230,5,0,0
231,8,0,0
232,4,0,0
233,8,0,0
234,14,0,0
235,18,0,0
236,4,1,0.25
237,17,0,0
238,10,0,0
239,13,1,0.076923077
240,7,0,0
241,8,0,0
242,6,0,0
243,14,0,0
244,9,0,0
245,13,0,0
246,17,1,0.058823529
247,7,0,0
248,6,0,0
249,4,0,0
250,12,0,0
251,9,0,0
252,14,1,0.071428571
253,6,4,0.666666667
254,15,1,0.066666667
255,12,0,0
256,11,0,0
257,15,0,0
258,12,0,0
259,6,2,0.333333333
260,21,1,0.047619048
261,23,1,0.043478261
262,18,2,0.111111111
263,11,0,0
264,20,0,0
265,12,0,0
266,17,0,0
267,21,1,0.047619048
268,7,0,0
269,11,1,0.090909091
270,7,0,0
271,4,0,0
272,8,0,0
273,15,1,0.066666667
274,15,0,0
275,13,0,0
276,15,0,0
277,18,0,0
278,15,0,0
279,11,0,0
280,13,0,0
281,14,0,0
282,15,0,0
283,12,0,0
284,13,0,0
285,17,0,0
286,16,0,0
287,16,0,0
288,6,0,0
289,16,0,0
290,19,0,0
291,14,0,0
292,20,1,0.05
293,8,0,0
294,16,1,0.0625
295,19,0,0
296,18,0,0
297,16,0,0
298,16,0,0
299,13,0,0
300,21,1,0.047619048
301,15,1,0.066666667
302,15,2,0.133333333
303,12,1,0.083333333
304,14,0,0
305,12,0,0
307,9,0,0
308,20,0,0
309,18,0,0
310,11,0,0
311,10,0,0
312,13,0,0
313,4,1,0.25
314,17,2,0.117647059
315,10,1,0.1
316,6,2,0.333333333
317,14,2,0.142857143
318,8,1,0.125
319,7,2,0.285714286
320,8,0,0
321,8,4,0.5
322,15,0,0
323,16,1,0.0625
324,14,0,0
325,15,0,0
326,10,0,0
327,11,0,0
328,8,0,0
329,13,2,0.153846154
330,16,0,0
331,13,2,0.153846154
332,10,2,0.2
333,15,1,0.066666667
334,8,0,0
335,12,0,0
336,15,1,0.066666667
337,14,0,0
338,7,0,0
339,14,0,0
340,18,0,0
341,11,0,0
342,9,2,0.222222222
343,8,0,0
344,16,2,0.125
345,10,2,0.2
346,9,5,0.555555556
347,12,4,0.333333333
348,18,5,0.277777778
349,12,6,0.5
350,16,2,0.125
351,14,2,0.142857143
352,7,1,0.142857143
353,18,2,0.111111111
354,18,10,0.555555556
355,13,1,0.076923077
356,14,5,0.357142857
357,6,5,0.833333333
358,6,2,0.333333333
359,4,1,0.25
360,7,3,0.428571429
361,8,6,0.75
362,14,5,0.357142857
363,7,6,0.857142857
364,2,0,0
365,15,6,0.4
366,16,3,0.1875
367,15,6,0.4
368,12,4,0.333333333
369,4,0,0
370,5,0,0
371,5,0,0
372,12,1,0.083333333
373,10,1,0.1
374,13,3,0.230769231
375,11,3,0.272727273
376,15,0,0
377,6,4,0.666666667
378,9,7,0.777777778
379,12,10,0.833333333
380,6,4,0.666666667
381,10,8,0.8
382,13,12,0.923076923
383,11,11,1
384,11,6,0.545454545
385,9,8,0.888888889
386,6,5,0.833333333
387,7,3,0.428571429
388,10,10,1
389,19,18,0.947368421
390,8,7,0.875
391,10,10,1
392,9,5,0.555555556
393,13,7,0.538461538
394,6,5,0.833333333
395,4,1,0.25
396,5,2,0.4
397,6,5,0.833333333
398,7,6,0.857142857
399,7,5,0.714285714
400,10,8,0.8
401,8,6,0.75
402,5,5,1
403,9,7,0.777777778
404,6,3,0.5
405,10,9,0.9
406,12,8,0.666666667
407,7,6,0.857142857
408,9,8,0.888888889
409,11,10,0.909090909
410,11,10,0.909090909
411,11,10,0.909090909
412,10,5,0.5
413,8,7,0.875
414,10,8,0.8
415,12,8,0.666666667
416,16,11,0.6875
417,8,5,0.625
418,8,7,0.875
419,10,5,0.5
420,6,5,0.833333333
421,14,11,0.785714286
422,11,8,0.727272727
423,15,11,0.733333333
424,11,9,0.818181818
425,9,8,0.888888889
426,6,4,0.666666667
427,12,8,0.666666667
428,11,8,0.727272727
429,12,4,0.333333333
430,4,2,0.5
431,3,2,0.666666667
432,13,9,0.692307692
433,8,5,0.625
434,11,8,0.727272727
435,4,3,0.75
436,10,8,0.8
437,7,5,0.714285714
438,11,7,0.636363636
439,14,8,0.571428571
440,7,5,0.714285714
441,10,8,0.8
442,13,9,0.692307692
443,8,8,1
444,6,4,0.666666667
445,12,8,0.666666667
446,18,12,0.666666667
447,10,6,0.6
448,8,7,0.875
449,10,8,0.8
450,13,12,0.923076923
451,7,5,0.714285714
452,6,6,1
453,10,8,0.8
454,11,9,0.818181818
455,9,7,0.777777778
456,14,14,1
457,7,6,0.857142857
458,8,8,1
459,8,7,0.875
460,7,5,0.714285714
461,13,9,0.692307692
462,11,7,0.636363636
463,10,7,0.7
464,10,8,0.8
465,10,9,0.9
466,4,3,0.75
467,9,8,0.888888889
468,12,6,0.5
469,9,9,1
470,10,8,0.8
471,11,9,0.818181818
472,8,5,0.625
473,10,10,1
474,9,7,0.777777778
475,11,10,0.909090909
476,10,9,0.9
477,17,15,0.882352941
478,11,6,0.545454545
479,11,8,0.727272727
480,6,4,0.666666667
481,9,6,0.666666667
482,9,9,1
483,8,6,0.75
484,12,11,0.916666667
485,11,8,0.727272727
486,7,6,0.857142857
487,9,6,0.666666667
488,14,9,0.642857143
489,5,2,0.4
490,10,5,0.5
491,7,6,0.857142857
492,8,5,0.625
493,8,5,0.625
494,4,2,0.5
495,10,7,0.7
496,16,12,0.75
497,11,8,0.727272727
498,11,10,0.909090909
499,5,4,0.8
500,11,8,0.727272727
501,10,8,0.8
502,13,11,0.846153846
503,13,10,0.769230769
504,17,13,0.764705882
505,10,7,0.7
506,14,11,0.785714286
507,14,9,0.642857143
508,9,9,1
509,14,7,0.5
510,4,4,1
511,13,12,0.923076923
512,7,5,0.714285714
513,12,4,0.333333333
514,13,12,0.923076923
515,15,8,0.533333333
516,14,7,0.5
517,12,9,0.75
518,16,12,0.75
519,14,10,0.714285714
520,11,8,0.727272727
521,8,6,0.75
522,15,9,0.6
523,11,9,0.818181818
524,13,8,0.615384615
525,9,4,0.444444444
526,10,6,0.6
527,5,5,1
528,10,7,0.7
529,12,7,0.583333333
530,11,6,0.545454545
531,10,7,0.7
532,3,3,1
533,8,4,0.5
534,9,5,0.555555556
535,14,14,1
536,9,7,0.777777778
537,12,9,0.75
538,5,3,0.6
539,10,5,0.5
540,10,6,0.6
541,9,8,0.888888889
542,7,3,0.428571429
543,13,10,0.769230769
544,13,9,0.692307692
545,10,6,0.6
546,7,5,0.714285714
547,18,13,0.722222222
548,14,9,0.642857143
549,9,5,0.555555556
550,12,10,0.833333333
551,10,6,0.6
552,9,6,0.666666667
553,10,5,0.5
554,8,6,0.75
555,9,6,0.666666667
556,10,5,0.5
557,15,10,0.666666667
558,4,3,0.75
559,12,8,0.666666667
560,6,3,0.5
561,17,13,0.764705882
562,9,5,0.555555556
563,14,6,0.428571429
564,15,9,0.6
565,6,4,0.666666667
566,13,9,0.692307692
567,9,6,0.666666667
568,11,4,0.363636364
569,14,9,0.642857143
570,15,9,0.6
571,9,8,0.888888889
572,10,6,0.6
573,10,6,0.6
574,8,8,1
575,10,7,0.7
576,13,7,0.538461538
577,7,4,0.571428571
578,9,7,0.777777778
579,8,3,0.375
580,9,7,0.777777778
581,10,6,0.6
582,17,13,0.764705882
583,8,6,0.75
584,6,5,0.833333333
585,7,3,0.428571429
586,10,5,0.5
587,6,3,0.5
588,7,6,0.857142857
589,13,11,0.846153846
590,16,9,0.5625
591,8,6,0.75
592,14,11,0.785714286
593,12,10,0.833333333
594,11,9,0.818181818
595,6,1,0.166666667
596,13,10,0.769230769
597,9,8,0.888888889
598,10,6,0.6
599,8,6,0.75
600,10,7,0.7
601,7,7,1
602,8,6,0.75
603,13,8,0.615384615
604,12,4,0.333333333
605,8,5,0.625
606,8,6,0.75
607,8,4,0.5
608,7,4,0.571428571
609,10,6,0.6
610,11,8,0.727272727
611,13,10,0.769230769
612,6,4,0.666666667
613,10,5,0.5
614,8,6,0.75
615,5,5,1
616,11,8,0.727272727
617,11,5,0.454545455
618,12,7,0.583333333
619,13,11,0.846153846
620,6,4,0.666666667
621,14,11,0.785714286
622,6,3,0.5
623,10,7,0.7
624,7,7,1
625,9,6,0.666666667
626,5,2,0.4
627,8,4,0.5
628,2,1,0.5
629,12,10,0.833333333
630,9,6,0.666666667
631,3,3,1
632,7,4,0.571428571
633,8,8,1
634,6,4,0.666666667
635,7,6,0.857142857
636,8,6,0.75
637,7,4,0.571428571
638,3,3,1
639,5,4,0.8
640,7,5,0.714285714
641,10,9,0.9
642,9,9,1
643,9,7,0.777777778
644,4,4,1
645,5,5,1
646,5,5,1
647,15,9,0.6
648,10,8,0.8
649,15,11,0.733333333
650,10,8,0.8
651,8,5,0.625
652,9,6,0.666666667
653,5,4,0.8
654,4,3,0.75
655,9,8,0.888888889
656,4,4,1
657,8,8,1
658,4,4,1
659,5,2,0.4
660,3,2,0.666666667
661,13,12,0.923076923
662,6,3,0.5
663,13,9,0.692307692
664,10,8,0.8
665,11,7,0.636363636
666,8,5,0.625
667,10,8,0.8
668,9,6,0.666666667
669,9,7,0.777777778
670,8,7,0.875
671,9,6,0.666666667
672,9,8,0.888888889
673,13,7,0.538461538
674,10,10,1
675,8,7,0.875
676,5,4,0.8
677,9,7,0.777777778
678,8,5,0.625
679,7,5,0.714285714
680,4,3,0.75
681,4,3,0.75
682,12,8,0.666666667
683,6,6,1
684,6,3,0.5
685,11,6,0.545454545
686,10,9,0.9
687,6,5,0.833333333
688,11,6,0.545454545
689,11,5,0.454545455
690,11,7,0.636363636
691,4,2,0.5
692,10,6,0.6
693,12,11,0.916666667
694,11,8,0.727272727
695,11,9,0.818181818
696,12,6,0.5
697,11,10,0.909090909
698,15,9,0.6
699,7,6,0.857142857
700,9,7,0.777777778
701,10,6,0.6
702,11,4,0.363636364
703,5,3,0.6
704,8,5,0.625
705,11,7,0.636363636
706,10,9,0.9
707,2,1,0.5
708,9,6,0.666666667
709,10,7,0.7
710,10,8,0.8
711,11,9,0.818181818
712,9,7,0.777777778
713,8,6,0.75
714,6,5,0.833333333
715,7,7,1
716,10,9,0.9
717,4,3,0.75
718,8,5,0.625
719,5,5,1
720,8,7,0.875
721,8,5,0.625
722,7,5,0.714285714
723,6,5,0.833333333
724,6,5,0.833333333
725,3,2,0.666666667
726,8,4,0.5
727,6,5,0.833333333
728,7,3,0.428571429
729,5,2,0.4
730,11,10,0.909090909
731,5,4,0.8
732,8,8,1
733,5,4,0.8
734,7,6,0.857142857
735,8,3,0.375
736,7,5,0.714285714
737,12,9,0.75
738,8,5,0.625
739,13,12,0.923076923
740,9,8,0.888888889
741,9,6,0.666666667
742,11,8,0.727272727
743,11,7,0.636363636
744,7,6,0.857142857
745,10,9,0.9
746,7,4,0.571428571
747,10,10,1
748,6,5,0.833333333
749,10,6,0.6
750,12,9,0.75
751,6,4,0.666666667
752,9,8,0.888888889
753,10,7,0.7
754,7,6,0.857142857
755,4,3,0.75
756,7,4,0.571428571
757,7,3,0.428571429
758,8,8,1
759,16,14,0.875
760,9,6,0.666666667
761,7,6,0.857142857
762,6,5,0.833333333
763,6,5,0.833333333
764,5,4,0.8
765,9,8,0.888888889
766,7,7,1
767,9,7,0.777777778
768,7,7,1
769,7,6,0.857142857
770,16,11,0.6875
771,5,4,0.8
772,4,2,0.5
773,6,5,0.833333333
774,9,9,1
775,14,12,0.857142857
776,8,7,0.875
777,9,4,0.444444444
778,12,3,0.25
779,16,3,0.1875
780,15,1,0.066666667
781,9,5,0.555555556
782,19,3,0.157894737
783,12,9,0.75
784,13,10,0.769230769
785,11,9,0.818181818
786,9,5,0.555555556
787,11,10,0.909090909
788,7,5,0.714285714
789,8,1,0.125
790,5,4,0.8
791,15,7,0.466666667
792,12,10,0.833333333
793,17,9,0.529411765
794,14,9,0.642857143
795,8,5,0.625
796,6,4,0.666666667
797,10,5,0.5
798,14,8,0.571428571
799,14,12,0.857142857
800,9,8,0.888888889
801,11,10,0.909090909
802,13,8,0.615384615
803,4,2,0.5
804,14,12,0.857142857
805,15,9,0.6
806,12,10,0.833333333
807,10,6,0.6
808,12,7,0.583333333
809,6,3,0.5
810,9,3,0.333333333
811,12,6,0.5
812,12,3,0.25
813,10,7,0.7
814,21,6,0.285714286
815,17,1,0.058823529
816,18,7,0.388888889
817,12,4,0.333333333
818,16,3,0.1875
819,16,0,0
820,15,2,0.133333333
821,14,1,0.071428571
822,18,3,0.166666667
823,16,1,0.0625
824,18,0,0
825,14,1,0.071428571
826,14,2,0.142857143
827,18,0,0
828,16,1,0.0625
829,14,6,0.428571429
830,13,9,0.692307692
831,15,2,0.133333333
832,16,4,0.25
833,11,1,0.090909091
834,20,0,0
835,12,5,0.416666667
836,13,5,0.384615385
837,14,9,0.642857143
838,16,9,0.5625
839,9,4,0.444444444
840,14,9,0.642857143
841,16,3,0.1875
842,11,7,0.636363636
843,14,7,0.5
844,14,9,0.642857143
845,16,7,0.4375
846,17,12,0.705882353
847,20,2,0.1
848,4,3,0.75
849,12,8,0.666666667
850,8,5,0.625
851,7,5,0.714285714
852,12,8,0.666666667
853,16,3,0.1875
854,8,5,0.625
855,14,6,0.428571429
856,12,9,0.75
857,17,3,0.176470588
858,17,7,0.411764706
859,22,2,0.090909091
860,8,5,0.625
861,9,2,0.222222222
862,10,0,0
863,11,7,0.636363636
864,13,5,0.384615385
865,18,11,0.611111111
866,15,4,0.266666667
867,13,3,0.230769231
868,12,0,0
869,17,1,0.058823529
870,7,1,0.142857143
871,12,7,0.583333333
872,9,7,0.777777778
873,6,5,0.833333333
874,9,1,0.111111111
875,13,2,0.153846154
876,12,0,0
877,14,4,0.285714286
878,21,1,0.047619048
879,17,3,0.176470588
880,13,10,0.769230769
881,12,7,0.583333333
882,13,10,0.769230769
883,9,6,0.666666667
884,10,6,0.6
885,11,8,0.727272727
886,3,3,1
887,11,11,1
888,14,9,0.642857143
889,12,8,0.666666667
890,8,5,0.625
891,10,8,0.8
892,17,11,0.647058824
893,7,4,0.571428571
894,12,9,0.75
895,11,11,1
896,11,10,0.909090909
