Definition,Percentage of women who were first married by exact age 15,,,,,,
Denominator,All women of reproductive age,,,,,,
,,,,,,,
Average,0.073197001,,Weighted natioal estimate,,,StatCompiler,7
,,,,,,,
,,,,,,,
v001,Womenofreproductiveage,marriedby15,,,,,
1,14,0,0,,,,
2,17,0,0,,,,
3,16,0,0,,,,
4,11,1,0.090909091,,,,
5,11,1,0.090909091,,,,
6,17,0,0,,,,
7,9,0,0,,,,
8,15,2,0.133333333,,,,
9,13,0,0,,,,
10,19,0,0,,,,
11,22,2,0.090909091,,,,
12,15,1,0.066666667,,,,
13,13,0,0,,,,
14,10,0,0,,,,
15,15,0,0,,,,
16,16,0,0,,,,
17,20,1,0.05,,,,
18,26,0,0,,,,
19,13,0,0,,,,
20,22,2,0.090909091,,,,
21,16,1,0.0625,,,,
22,22,0,0,,,,
23,13,0,0,,,,
24,20,0,0,,,,
25,25,2,0.08,,,,
26,15,0,0,,,,
27,17,1,0.058823529,,,,
28,28,0,0,,,,
29,20,0,0,,,,
30,19,1,0.052631579,,,,
31,19,3,0.157894737,,,,
32,20,0,0,,,,
33,10,0,0,,,,
34,14,0,0,,,,
35,7,0,0,,,,
36,13,0,0,,,,
37,15,0,0,,,,
38,24,1,0.041666667,,,,
39,13,2,0.153846154,,,,
40,20,1,0.05,,,,
41,19,2,0.105263158,,,,
42,21,0,0,,,,
43,19,0,0,,,,
44,24,1,0.041666667,,,,
45,14,0,0,,,,
46,25,0,0,,,,
47,37,2,0.054054054,,,,
48,23,2,0.086956522,,,,
49,14,2,0.142857143,,,,
50,20,0,0,,,,
51,24,1,0.041666667,,,,
52,20,2,0.1,,,,
53,24,1,0.041666667,,,,
54,20,0,0,,,,
55,15,0,0,,,,
56,16,1,0.0625,,,,
57,18,0,0,,,,
58,19,0,0,,,,
59,20,1,0.05,,,,
60,16,0,0,,,,
61,14,1,0.071428571,,,,
62,14,0,0,,,,
63,15,0,0,,,,
64,18,0,0,,,,
65,16,1,0.0625,,,,
66,13,0,0,,,,
67,16,0,0,,,,
68,18,2,0.111111111,,,,
69,16,0,0,,,,
70,23,0,0,,,,
71,14,0,0,,,,
72,18,0,0,,,,
73,17,0,0,,,,
74,20,0,0,,,,
75,18,0,0,,,,
76,18,1,0.055555556,,,,
77,19,2,0.105263158,,,,
78,8,0,0,,,,
79,16,1,0.0625,,,,
80,19,1,0.052631579,,,,
81,16,0,0,,,,
82,18,1,0.055555556,,,,
83,16,1,0.0625,,,,
84,17,1,0.058823529,,,,
85,17,0,0,,,,
86,22,0,0,,,,
87,13,0,0,,,,
88,24,3,0.125,,,,
89,16,1,0.0625,,,,
90,26,1,0.038461538,,,,
91,19,0,0,,,,
92,22,1,0.045454545,,,,
93,18,0,0,,,,
94,21,3,0.142857143,,,,
95,21,1,0.047619048,,,,
96,26,1,0.038461538,,,,
97,22,2,0.090909091,,,,
98,20,1,0.05,,,,
99,26,0,0,,,,
100,13,0,0,,,,
101,22,0,0,,,,
102,25,0,0,,,,
103,13,0,0,,,,
104,23,0,0,,,,
105,17,0,0,,,,
106,19,2,0.105263158,,,,
107,20,0,0,,,,
108,17,0,0,,,,
109,16,0,0,,,,
110,18,2,0.111111111,,,,
111,21,1,0.047619048,,,,
112,20,0,0,,,,
113,13,0,0,,,,
114,17,0,0,,,,
115,25,0,0,,,,
116,18,0,0,,,,
117,24,1,0.041666667,,,,
118,28,0,0,,,,
119,17,0,0,,,,
120,22,0,0,,,,
121,13,0,0,,,,
122,24,0,0,,,,
123,23,0,0,,,,
124,19,1,0.052631579,,,,
125,17,0,0,,,,
126,18,1,0.055555556,,,,
127,13,1,0.076923077,,,,
128,21,1,0.047619048,,,,
129,18,0,0,,,,
130,7,0,0,,,,
131,16,1,0.0625,,,,
132,17,0,0,,,,
133,21,3,0.142857143,,,,
134,6,1,0.166666667,,,,
135,16,3,0.1875,,,,
136,17,0,0,,,,
137,19,0,0,,,,
138,13,1,0.076923077,,,,
139,23,1,0.043478261,,,,
140,11,0,0,,,,
141,19,0,0,,,,
142,19,0,0,,,,
143,16,1,0.0625,,,,
144,21,0,0,,,,
145,17,0,0,,,,
146,13,0,0,,,,
147,15,0,0,,,,
148,21,2,0.095238095,,,,
149,16,0,0,,,,
150,23,0,0,,,,
151,18,0,0,,,,
152,17,0,0,,,,
153,19,1,0.052631579,,,,
154,17,0,0,,,,
155,13,0,0,,,,
156,22,1,0.045454545,,,,
157,21,0,0,,,,
158,12,0,0,,,,
159,18,1,0.055555556,,,,
160,22,0,0,,,,
161,15,0,0,,,,
162,14,0,0,,,,
163,13,0,0,,,,
164,17,0,0,,,,
165,15,0,0,,,,
166,25,0,0,,,,
167,17,1,0.058823529,,,,
168,16,0,0,,,,
169,18,0,0,,,,
170,13,1,0.076923077,,,,
171,20,1,0.05,,,,
172,16,1,0.0625,,,,
173,19,0,0,,,,
174,18,1,0.055555556,,,,
175,20,0,0,,,,
176,24,1,0.041666667,,,,
177,13,0,0,,,,
178,12,0,0,,,,
179,21,1,0.047619048,,,,
180,17,1,0.058823529,,,,
181,15,2,0.133333333,,,,
182,19,0,0,,,,
183,24,0,0,,,,
184,15,0,0,,,,
185,17,0,0,,,,
186,16,1,0.0625,,,,
187,21,0,0,,,,
188,18,1,0.055555556,,,,
189,19,1,0.052631579,,,,
190,14,0,0,,,,
191,15,0,0,,,,
192,28,1,0.035714286,,,,
193,17,1,0.058823529,,,,
194,23,0,0,,,,
195,17,1,0.058823529,,,,
196,9,0,0,,,,
197,18,0,0,,,,
198,10,2,0.2,,,,
199,30,0,0,,,,
200,21,0,0,,,,
201,30,1,0.033333333,,,,
202,19,0,0,,,,
203,12,1,0.083333333,,,,
204,11,0,0,,,,
205,12,0,0,,,,
206,14,1,0.071428571,,,,
207,11,1,0.090909091,,,,
208,23,0,0,,,,
209,11,0,0,,,,
210,13,0,0,,,,
211,12,0,0,,,,
212,23,0,0,,,,
213,19,0,0,,,,
214,15,0,0,,,,
215,16,0,0,,,,
216,16,0,0,,,,
217,13,1,0.076923077,,,,
218,17,1,0.058823529,,,,
219,6,0,0,,,,
220,16,1,0.0625,,,,
221,32,1,0.03125,,,,
222,17,0,0,,,,
223,10,1,0.1,,,,
224,23,1,0.043478261,,,,
225,18,2,0.111111111,,,,
226,12,1,0.083333333,,,,
227,19,1,0.052631579,,,,
228,18,1,0.055555556,,,,
229,16,0,0,,,,
230,18,0,0,,,,
231,16,0,0,,,,
232,15,0,0,,,,
233,15,1,0.066666667,,,,
234,15,1,0.066666667,,,,
235,22,2,0.090909091,,,,
236,19,0,0,,,,
237,40,1,0.025,,,,
238,12,0,0,,,,
239,14,0,0,,,,
240,21,1,0.047619048,,,,
241,14,0,0,,,,
242,12,2,0.166666667,,,,
243,17,0,0,,,,
244,19,2,0.105263158,,,,
245,24,1,0.041666667,,,,
246,16,2,0.125,,,,
247,15,0,0,,,,
248,21,5,0.238095238,,,,
249,22,0,0,,,,
250,10,1,0.1,,,,
251,11,1,0.090909091,,,,
252,17,0,0,,,,
253,14,0,0,,,,
254,11,0,0,,,,
255,15,0,0,,,,
256,18,0,0,,,,
257,18,1,0.055555556,,,,
258,16,1,0.0625,,,,
259,17,2,0.117647059,,,,
260,14,2,0.142857143,,,,
261,14,3,0.214285714,,,,
262,10,0,0,,,,
263,15,2,0.133333333,,,,
264,14,2,0.142857143,,,,
265,19,1,0.052631579,,,,
266,12,0,0,,,,
267,16,2,0.125,,,,
268,19,1,0.052631579,,,,
269,24,2,0.083333333,,,,
270,16,0,0,,,,
271,24,3,0.125,,,,
272,24,3,0.125,,,,
273,19,1,0.052631579,,,,
274,26,3,0.115384615,,,,
275,20,1,0.05,,,,
276,23,4,0.173913043,,,,
277,21,4,0.19047619,,,,
278,28,5,0.178571429,,,,
279,23,1,0.043478261,,,,
280,24,7,0.291666667,,,,
281,26,6,0.230769231,,,,
282,23,5,0.217391304,,,,
283,17,4,0.235294118,,,,
284,24,1,0.041666667,,,,
285,18,2,0.111111111,,,,
286,20,1,0.05,,,,
287,16,0,0,,,,
288,14,2,0.142857143,,,,
289,15,1,0.066666667,,,,
290,11,1,0.090909091,,,,
291,20,1,0.05,,,,
292,27,1,0.037037037,,,,
293,21,1,0.047619048,,,,
294,24,0,0,,,,
295,13,1,0.076923077,,,,
296,17,2,0.117647059,,,,
297,27,4,0.148148148,,,,
298,11,0,0,,,,
299,27,2,0.074074074,,,,
300,28,1,0.035714286,,,,
301,20,2,0.1,,,,
302,18,7,0.388888889,,,,
303,16,5,0.3125,,,,
304,17,1,0.058823529,,,,
305,16,0,0,,,,
306,23,0,0,,,,
307,18,0,0,,,,
308,30,5,0.166666667,,,,
309,10,1,0.1,,,,
310,29,3,0.103448276,,,,
311,25,2,0.08,,,,
312,25,4,0.16,,,,
313,26,2,0.076923077,,,,
314,14,2,0.142857143,,,,
315,16,0,0,,,,
316,32,0,0,,,,
317,34,2,0.058823529,,,,
318,28,3,0.107142857,,,,
319,24,3,0.125,,,,
320,12,2,0.166666667,,,,
321,26,4,0.153846154,,,,
322,38,4,0.105263158,,,,
323,24,1,0.041666667,,,,
324,27,0,0,,,,
325,18,0,0,,,,
326,13,2,0.153846154,,,,
327,28,1,0.035714286,,,,
328,26,3,0.115384615,,,,
329,23,2,0.086956522,,,,
330,38,5,0.131578947,,,,
331,38,9,0.236842105,,,,
332,43,7,0.162790698,,,,
333,18,4,0.222222222,,,,
334,31,7,0.225806452,,,,
335,17,4,0.235294118,,,,
336,23,4,0.173913043,,,,
338,29,2,0.068965517,,,,
339,19,1,0.052631579,,,,
340,21,4,0.19047619,,,,
341,21,4,0.19047619,,,,
342,21,1,0.047619048,,,,
343,27,5,0.185185185,,,,
344,30,7,0.233333333,,,,
345,22,5,0.227272727,,,,
346,22,1,0.045454545,,,,
347,18,3,0.166666667,,,,
348,19,7,0.368421053,,,,
349,24,4,0.166666667,,,,
350,26,2,0.076923077,,,,
351,12,2,0.166666667,,,,
352,18,3,0.166666667,,,,
353,21,3,0.142857143,,,,
354,27,5,0.185185185,,,,
355,22,1,0.045454545,,,,
356,26,5,0.192307692,,,,
357,26,5,0.192307692,,,,
358,22,2,0.090909091,,,,
359,20,0,0,,,,
360,21,3,0.142857143,,,,
361,25,3,0.12,,,,
362,28,5,0.178571429,,,,
363,17,1,0.058823529,,,,
364,23,3,0.130434783,,,,
365,22,5,0.227272727,,,,
366,17,1,0.058823529,,,,
367,21,3,0.142857143,,,,
368,20,1,0.05,,,,
369,22,3,0.136363636,,,,
370,22,5,0.227272727,,,,
371,23,1,0.043478261,,,,
372,18,1,0.055555556,,,,
373,22,5,0.227272727,,,,
374,15,1,0.066666667,,,,
375,23,2,0.086956522,,,,
376,19,0,0,,,,
377,15,2,0.133333333,,,,
378,11,0,0,,,,
379,13,0,0,,,,
380,18,1,0.055555556,,,,
381,20,1,0.05,,,,
382,26,2,0.076923077,,,,
383,21,0,0,,,,
384,22,1,0.045454545,,,,
385,10,0,0,,,,
386,8,0,0,,,,
387,21,2,0.095238095,,,,
388,18,0,0,,,,
389,14,0,0,,,,
390,20,0,0,,,,
391,19,0,0,,,,
392,18,1,0.055555556,,,,
393,24,0,0,,,,
394,26,4,0.153846154,,,,
395,20,0,0,,,,
396,18,1,0.055555556,,,,
397,21,3,0.142857143,,,,
398,12,3,0.25,,,,
399,21,2,0.095238095,,,,
400,13,1,0.076923077,,,,
401,17,1,0.058823529,,,,
402,12,1,0.083333333,,,,
403,16,0,0,,,,
404,11,2,0.181818182,,,,
405,11,0,0,,,,
406,22,0,0,,,,
407,24,1,0.041666667,,,,
408,18,1,0.055555556,,,,
409,21,3,0.142857143,,,,
410,11,0,0,,,,
411,19,4,0.210526316,,,,
412,21,0,0,,,,
413,18,0,0,,,,
414,14,0,0,,,,
415,17,0,0,,,,
416,16,0,0,,,,
417,22,0,0,,,,
418,20,1,0.05,,,,
419,18,0,0,,,,
420,21,0,0,,,,
421,13,0,0,,,,
422,4,0,0,,,,
424,15,0,0,,,,
425,25,1,0.04,,,,
426,15,2,0.133333333,,,,
427,17,1,0.058823529,,,,
428,15,0,0,,,,
429,13,1,0.076923077,,,,
430,23,3,0.130434783,,,,
431,22,4,0.181818182,,,,
432,23,0,0,,,,
433,17,1,0.058823529,,,,
434,34,4,0.117647059,,,,
435,11,1,0.090909091,,,,
436,23,3,0.130434783,,,,
437,22,1,0.045454545,,,,
438,17,2,0.117647059,,,,
439,13,2,0.153846154,,,,
440,13,3,0.230769231,,,,
441,11,0,0,,,,
442,8,4,0.5,,,,
443,21,2,0.095238095,,,,
444,11,1,0.090909091,,,,
445,16,3,0.1875,,,,
446,19,4,0.210526316,,,,
447,25,6,0.24,,,,
448,20,1,0.05,,,,
449,12,2,0.166666667,,,,
450,16,1,0.0625,,,,
451,18,4,0.222222222,,,,
452,11,1,0.090909091,,,,
453,19,2,0.105263158,,,,
454,29,4,0.137931034,,,,
455,27,4,0.148148148,,,,
456,15,2,0.133333333,,,,
457,19,4,0.210526316,,,,
458,18,2,0.111111111,,,,
459,15,8,0.533333333,,,,
460,10,2,0.2,,,,
461,20,4,0.2,,,,
462,20,4,0.2,,,,
463,20,5,0.25,,,,
464,25,4,0.16,,,,
465,22,4,0.181818182,,,,
466,22,0,0,,,,
467,17,0,0,,,,
468,21,1,0.047619048,,,,
469,20,6,0.3,,,,
470,21,2,0.095238095,,,,
471,19,3,0.157894737,,,,
472,17,2,0.117647059,,,,
473,16,2,0.125,,,,
474,13,1,0.076923077,,,,
475,18,1,0.055555556,,,,
476,29,4,0.137931034,,,,
477,21,5,0.238095238,,,,
478,25,4,0.16,,,,
479,18,4,0.222222222,,,,
480,14,0,0,,,,
481,17,2,0.117647059,,,,
482,16,4,0.25,,,,
483,21,2,0.095238095,,,,
484,19,2,0.105263158,,,,
485,19,4,0.210526316,,,,
486,20,5,0.25,,,,
487,18,4,0.222222222,,,,
489,22,4,0.181818182,,,,
490,20,4,0.2,,,,
491,17,2,0.117647059,,,,
492,23,2,0.086956522,,,,
493,19,4,0.210526316,,,,
494,17,4,0.235294118,,,,
495,17,0,0,,,,
496,15,1,0.066666667,,,,
497,16,0,0,,,,
498,16,1,0.0625,,,,
499,20,1,0.05,,,,
500,17,1,0.058823529,,,,
501,17,0,0,,,,
502,21,0,0,,,,
503,15,0,0,,,,
504,15,2,0.133333333,,,,
505,22,0,0,,,,
506,20,0,0,,,,
507,14,0,0,,,,
508,16,0,0,,,,
509,16,0,0,,,,
510,27,0,0,,,,
511,11,0,0,,,,
512,15,1,0.066666667,,,,
513,14,0,0,,,,
514,17,0,0,,,,
515,24,0,0,,,,
516,22,3,0.136363636,,,,
517,27,2,0.074074074,,,,
518,20,3,0.15,,,,
519,26,2,0.076923077,,,,
520,14,0,0,,,,
521,18,2,0.111111111,,,,
522,11,1,0.090909091,,,,
523,23,2,0.086956522,,,,
524,28,2,0.071428571,,,,
525,13,1,0.076923077,,,,
526,29,4,0.137931034,,,,
527,16,1,0.0625,,,,
528,14,0,0,,,,
529,17,2,0.117647059,,,,
530,19,2,0.105263158,,,,
531,20,0,0,,,,
532,10,0,0,,,,
533,13,0,0,,,,
534,8,0,0,,,,
535,9,0,0,,,,
536,10,1,0.1,,,,
537,23,0,0,,,,
538,14,1,0.071428571,,,,
539,15,2,0.133333333,,,,
540,14,2,0.142857143,,,,
541,16,0,0,,,,
542,23,1,0.043478261,,,,
543,17,2,0.117647059,,,,
544,21,1,0.047619048,,,,
545,19,0,0,,,,
546,21,1,0.047619048,,,,
547,22,2,0.090909091,,,,
548,11,0,0,,,,
549,16,0,0,,,,
550,9,1,0.111111111,,,,
551,16,0,0,,,,
552,18,0,0,,,,
553,17,3,0.176470588,,,,
554,17,0,0,,,,
555,16,0,0,,,,
556,19,1,0.052631579,,,,
557,19,1,0.052631579,,,,
558,21,1,0.047619048,,,,
559,22,1,0.045454545,,,,
560,17,0,0,,,,
561,19,3,0.157894737,,,,
562,17,2,0.117647059,,,,
563,19,0,0,,,,
564,14,1,0.071428571,,,,
565,12,1,0.083333333,,,,
566,26,1,0.038461538,,,,
567,25,1,0.04,,,,
568,18,0,0,,,,
569,11,0,0,,,,
570,15,0,0,,,,
571,24,1,0.041666667,,,,
572,23,0,0,,,,
573,20,0,0,,,,
574,13,0,0,,,,
575,25,0,0,,,,
576,17,0,0,,,,
577,18,0,0,,,,
578,18,0,0,,,,
579,16,0,0,,,,
580,25,0,0,,,,
581,19,0,0,,,,
582,18,1,0.055555556,,,,
583,21,1,0.047619048,,,,
584,15,1,0.066666667,,,,
585,16,1,0.0625,,,,
586,19,0,0,,,,
587,19,0,0,,,,
588,30,2,0.066666667,,,,
589,22,0,0,,,,
590,27,1,0.037037037,,,,
591,22,0,0,,,,
592,25,0,0,,,,
593,29,0,0,,,,
594,17,0,0,,,,
595,26,1,0.038461538,,,,
596,14,0,0,,,,
597,26,0,0,,,,
598,25,0,0,,,,
599,25,0,0,,,,
600,14,0,0,,,,
601,21,1,0.047619048,,,,
602,21,2,0.095238095,,,,
603,24,2,0.083333333,,,,
604,19,1,0.052631579,,,,
605,27,0,0,,,,
606,23,2,0.086956522,,,,
607,24,0,0,,,,
608,28,1,0.035714286,,,,
609,20,3,0.15,,,,
610,17,2,0.117647059,,,,
611,16,0,0,,,,
612,20,0,0,,,,
613,18,0,0,,,,
614,24,0,0,,,,
615,21,2,0.095238095,,,,
616,28,3,0.107142857,,,,
617,22,4,0.181818182,,,,
618,18,1,0.055555556,,,,
619,17,1,0.058823529,,,,
620,26,3,0.115384615,,,,
621,27,2,0.074074074,,,,
622,17,1,0.058823529,,,,
623,21,0,0,,,,
624,22,1,0.045454545,,,,
625,29,2,0.068965517,,,,
626,19,0,0,,,,
627,24,1,0.041666667,,,,
628,22,0,0,,,,
629,28,2,0.071428571,,,,
630,8,1,0.125,,,,
631,16,1,0.0625,,,,
632,20,1,0.05,,,,
633,13,0,0,,,,
634,21,0,0,,,,
635,19,0,0,,,,
636,21,0,0,,,,
637,19,1,0.052631579,,,,
638,18,0,0,,,,
639,19,0,0,,,,
640,12,2,0.166666667,,,,
641,9,0,0,,,,
642,25,2,0.08,,,,
643,22,0,0,,,,
644,21,2,0.095238095,,,,
645,23,4,0.173913043,,,,
646,25,0,0,,,,
647,21,0,0,,,,
648,20,0,0,,,,
649,22,1,0.045454545,,,,
650,23,1,0.043478261,,,,
651,17,0,0,,,,
652,27,0,0,,,,
653,26,1,0.038461538,,,,
654,20,1,0.05,,,,
655,22,0,0,,,,
656,25,0,0,,,,
657,23,0,0,,,,
658,22,0,0,,,,
659,18,0,0,,,,
660,15,0,0,,,,
661,18,1,0.055555556,,,,
662,25,1,0.04,,,,
663,20,0,0,,,,
664,21,0,0,,,,
665,22,1,0.045454545,,,,
666,16,0,0,,,,
667,22,0,0,,,,
668,28,1,0.035714286,,,,
669,25,0,0,,,,
670,15,0,0,,,,
671,16,0,0,,,,
672,16,1,0.0625,,,,
673,30,1,0.033333333,,,,
674,24,0,0,,,,
675,16,0,0,,,,
676,30,0,0,,,,
677,33,0,0,,,,
678,28,0,0,,,,
679,24,1,0.041666667,,,,
680,17,1,0.058823529,,,,
681,26,0,0,,,,
682,31,1,0.032258065,,,,
683,20,2,0.1,,,,
684,15,1,0.066666667,,,,
685,20,2,0.1,,,,
686,19,1,0.052631579,,,,
687,18,1,0.055555556,,,,
688,24,0,0,,,,
689,16,0,0,,,,
690,20,1,0.05,,,,
691,25,0,0,,,,
692,17,0,0,,,,
693,32,1,0.03125,,,,
694,24,0,0,,,,
695,7,0,0,,,,
696,30,0,0,,,,
697,32,2,0.0625,,,,
698,15,2,0.133333333,,,,
699,15,1,0.066666667,,,,
700,24,1,0.041666667,,,,
701,25,0,0,,,,
702,28,3,0.107142857,,,,
703,25,0,0,,,,
704,22,4,0.181818182,,,,
705,33,3,0.090909091,,,,
706,24,2,0.083333333,,,,
707,25,4,0.16,,,,
708,30,2,0.066666667,,,,
709,14,2,0.142857143,,,,
710,17,7,0.411764706,,,,
712,10,4,0.4,,,,
713,11,2,0.181818182,,,,
714,12,2,0.166666667,,,,
715,15,2,0.133333333,,,,
716,16,4,0.25,,,,
717,20,5,0.25,,,,
718,21,2,0.095238095,,,,
719,25,3,0.12,,,,
720,20,2,0.1,,,,
721,20,0,0,,,,
722,17,3,0.176470588,,,,
724,20,3,0.15,,,,
726,18,1,0.055555556,,,,
727,14,0,0,,,,
728,17,1,0.058823529,,,,
729,23,3,0.130434783,,,,
730,17,3,0.176470588,,,,
731,22,2,0.090909091,,,,
732,16,3,0.1875,,,,
733,8,3,0.375,,,,
734,20,1,0.05,,,,
735,17,1,0.058823529,,,,
736,21,2,0.095238095,,,,
737,23,3,0.130434783,,,,
738,24,1,0.041666667,,,,
739,18,1,0.055555556,,,,
741,12,2,0.166666667,,,,
742,23,2,0.086956522,,,,
743,11,1,0.090909091,,,,
744,16,1,0.0625,,,,
745,19,5,0.263157895,,,,
746,10,2,0.2,,,,
747,20,2,0.1,,,,
748,16,2,0.125,,,,
749,22,7,0.318181818,,,,
750,28,2,0.071428571,,,,
751,24,0,0,,,,
752,20,0,0,,,,
753,22,1,0.045454545,,,,
754,17,1,0.058823529,,,,
755,37,3,0.081081081,,,,
756,21,2,0.095238095,,,,
757,18,1,0.055555556,,,,
760,9,3,0.333333333,,,,
761,18,2,0.111111111,,,,
762,16,5,0.3125,,,,
764,17,1,0.058823529,,,,
766,13,2,0.153846154,,,,
768,9,4,0.444444444,,,,
769,13,1,0.076923077,,,,
770,13,1,0.076923077,,,,
771,13,2,0.153846154,,,,
772,15,2,0.133333333,,,,
773,8,0,0,,,,
774,18,3,0.166666667,,,,
775,19,1,0.052631579,,,,
776,17,1,0.058823529,,,,
777,3,0,0,,,,
778,12,1,0.083333333,,,,
779,17,0,0,,,,
780,4,0,0,,,,
781,16,1,0.0625,,,,
782,3,1,0.333333333,,,,
783,18,4,0.222222222,,,,
784,18,3,0.166666667,,,,
785,16,2,0.125,,,,
786,5,0,0,,,,
787,7,0,0,,,,
788,18,2,0.111111111,,,,
789,25,0,0,,,,
790,28,0,0,,,,
791,29,4,0.137931034,,,,
792,35,3,0.085714286,,,,
793,20,1,0.05,,,,
794,15,1,0.066666667,,,,
795,17,2,0.117647059,,,,
796,18,2,0.111111111,,,,
797,18,3,0.166666667,,,,
798,11,1,0.090909091,,,,
799,23,4,0.173913043,,,,
801,22,0,0,,,,
802,16,3,0.1875,,,,
803,13,0,0,,,,
804,17,0,0,,,,
805,29,3,0.103448276,,,,
806,18,1,0.055555556,,,,
807,16,1,0.0625,,,,
808,16,0,0,,,,
809,22,0,0,,,,
810,25,1,0.04,,,,
811,19,2,0.105263158,,,,
812,26,2,0.076923077,,,,
813,17,0,0,,,,
814,16,0,0,,,,
815,21,1,0.047619048,,,,
816,21,1,0.047619048,,,,
817,20,0,0,,,,
818,16,2,0.125,,,,
819,20,0,0,,,,
820,25,3,0.12,,,,
821,18,1,0.055555556,,,,
822,23,2,0.086956522,,,,
823,20,1,0.05,,,,
824,17,0,0,,,,
825,19,2,0.105263158,,,,
826,19,0,0,,,,
827,20,2,0.1,,,,
828,14,5,0.357142857,,,,
829,13,1,0.076923077,,,,
830,21,1,0.047619048,,,,
831,17,2,0.117647059,,,,
832,19,1,0.052631579,,,,
833,27,3,0.111111111,,,,
834,21,0,0,,,,
