Definition,Percentage of women who were first married by exact age 15,,,,,,
835,13,1,0.076923077,,,,
836,33,0,0,,,,
837,19,1,0.052631579,,,,
838,26,0,0,,,,
839,18,1,0.055555556,,,,
840,22,1,0.045454545,,,,
841,18,2,0.111111111,,,,
842,18,0,0,,,,
843,24,0,0,,,,
844,17,1,0.058823529,,,,
845,9,0,0,,,,
846,26,2,0.076923077,,,,
847,16,2,0.125,,,,
848,20,0,0,,,,
849,17,0,0,,,,
850,18,2,0.111111111,,,,
851,17,4,0.235294118,,,,
852,23,1,0.043478261,,,,
853,26,6,0.230769231,,,,
854,21,1,0.047619048,,,,
855,23,1,0.043478261,,,,
856,22,2,0.090909091,,,,
857,19,2,0.105263158,,,,
858,17,1,0.058823529,,,,
859,24,3,0.125,,,,
860,30,2,0.066666667,,,,
861,18,2,0.111111111,,,,
862,18,1,0.055555556,,,,
863,12,1,0.083333333,,,,
864,17,2,0.117647059,,,,
865,23,1,0.043478261,,,,
866,14,1,0.071428571,,,,
867,19,3,0.157894737,,,,
868,14,3,0.214285714,,,,
869,21,2,0.095238095,,,,
870,17,3,0.176470588,,,,
871,21,0,0,,,,
872,17,3,0.176470588,,,,
873,22,7,0.318181818,,,,
874,17,3,0.176470588,,,,
875,15,2,0.133333333,,,,
876,19,2,0.105263158,,,,
877,27,5,0.185185185,,,,
878,24,3,0.125,,,,
879,24,5,0.208333333,,,,
880,19,3,0.157894737,,,,
881,29,3,0.103448276,,,,
882,16,3,0.1875,,,,
883,22,3,0.136363636,,,,
884,21,4,0.19047619,,,,
885,19,3,0.157894737,,,,
886,20,3,0.15,,,,
887,21,5,0.238095238,,,,
888,25,4,0.16,,,,
889,16,1,0.0625,,,,
890,21,5,0.238095238,,,,
891,27,3,0.111111111,,,,
892,27,3,0.111111111,,,,
893,19,2,0.105263158,,,,
894,24,5,0.208333333,,,,
895,18,3,0.166666667,,,,
896,27,4,0.148148148,,,,
897,18,4,0.222222222,,,,
898,20,4,0.2,,,,
899,29,8,0.275862069,,,,
900,21,4,0.19047619,,,,
901,25,4,0.16,,,,
902,29,6,0.206896552,,,,
903,25,5,0.2,,,,
904,22,3,0.136363636,,,,
905,24,1,0.041666667,,,,
906,15,3,0.2,,,,
907,20,1,0.05,,,,
908,33,1,0.03030303,,,,
909,19,1,0.052631579,,,,
910,18,1,0.055555556,,,,
911,27,4,0.148148148,,,,
912,18,5,0.277777778,,,,
913,11,2,0.181818182,,,,
914,32,5,0.15625,,,,
915,22,2,0.090909091,,,,
916,20,4,0.2,,,,
917,21,4,0.19047619,,,,
918,22,6,0.272727273,,,,
919,20,3,0.15,,,,
920,23,0,0,,,,
921,14,1,0.071428571,,,,
922,17,2,0.117647059,,,,
923,24,2,0.083333333,,,,
924,27,5,0.185185185,,,,
925,16,4,0.25,,,,
926,23,5,0.217391304,,,,
927,19,7,0.368421053,,,,
928,22,0,0,,,,
929,19,4,0.210526316,,,,
930,20,4,0.2,,,,
931,24,3,0.125,,,,
932,18,1,0.055555556,,,,
933,27,4,0.148148148,,,,
934,22,0,0,,,,
935,21,3,0.142857143,,,,
936,21,1,0.047619048,,,,
937,25,1,0.04,,,,
938,19,2,0.105263158,,,,
939,17,2,0.117647059,,,,
940,20,1,0.05,,,,
941,12,0,0,,,,
942,16,0,0,,,,
943,21,2,0.095238095,,,,
944,24,1,0.041666667,,,,
945,21,0,0,,,,
946,27,2,0.074074074,,,,
947,24,0,0,,,,
948,26,1,0.038461538,,,,
949,26,2,0.076923077,,,,
950,23,0,0,,,,
951,14,0,0,,,,
952,17,2,0.117647059,,,,
953,26,3,0.115384615,,,,
954,22,2,0.090909091,,,,
955,24,1,0.041666667,,,,
956,33,2,0.060606061,,,,
957,21,1,0.047619048,,,,
958,11,1,0.090909091,,,,
959,24,3,0.125,,,,
960,13,1,0.076923077,,,,
961,24,0,0,,,,
962,32,2,0.0625,,,,
963,23,1,0.043478261,,,,
964,26,2,0.076923077,,,,
965,22,1,0.045454545,,,,
966,19,2,0.105263158,,,,
967,24,0,0,,,,
968,20,3,0.15,,,,
969,18,5,0.277777778,,,,
970,27,3,0.111111111,,,,
971,20,1,0.05,,,,
972,18,1,0.055555556,,,,
973,27,0,0,,,,
974,19,2,0.105263158,,,,
975,30,2,0.066666667,,,,
976,26,1,0.038461538,,,,
977,25,0,0,,,,
978,10,0,0,,,,
979,22,1,0.045454545,,,,
980,18,1,0.055555556,,,,
981,20,0,0,,,,
982,28,0,0,,,,
983,14,0,0,,,,
984,17,1,0.058823529,,,,
985,21,3,0.142857143,,,,
986,19,3,0.157894737,,,,
987,20,2,0.1,,,,
988,23,8,0.347826087,,,,
989,15,0,0,,,,
990,17,1,0.058823529,,,,
991,21,3,0.142857143,,,,
992,21,1,0.047619048,,,,
993,14,2,0.142857143,,,,
994,12,0,0,,,,
995,19,1,0.052631579,,,,
996,15,3,0.2,,,,
997,18,2,0.111111111,,,,
998,25,2,0.08,,,,
999,24,1,0.041666667,,,,
1000,24,2,0.083333333,,,,
1001,16,0,0,,,,
1002,22,0,0,,,,
1003,14,0,0,,,,
1004,16,1,0.0625,,,,
1005,11,0,0,,,,
1006,23,3,0.130434783,,,,
1007,12,0,0,,,,
1008,22,1,0.045454545,,,,
1009,19,1,0.052631579,,,,
1010,25,1,0.04,,,,
1011,15,1,0.066666667,,,,
1012,20,2,0.1,,,,
1013,16,3,0.1875,,,,
1014,19,1,0.052631579,,,,
1015,12,1,0.083333333,,,,
1016,13,4,0.307692308,,,,
1017,13,3,0.230769231,,,,
1018,14,2,0.142857143,,,,
1019,16,3,0.1875,,,,
1020,17,4,0.235294118,,,,
1021,9,3,0.333333333,,,,
1022,13,4,0.307692308,,,,
1023,13,4,0.307692308,,,,
1024,16,3,0.1875,,,,
1025,14,6,0.428571429,,,,
1026,8,0,0,,,,
1027,30,2,0.066666667,,,,
1028,13,3,0.230769231,,,,
1029,23,2,0.086956522,,,,
1030,17,7,0.411764706,,,,
1031,15,1,0.066666667,,,,
1032,17,6,0.352941176,,,,
1034,22,4,0.181818182,,,,
1035,17,4,0.235294118,,,,
1036,8,1,0.125,,,,
1037,23,3,0.130434783,,,,
1038,23,1,0.043478261,,,,
1039,20,4,0.2,,,,
1040,14,1,0.071428571,,,,
1041,17,1,0.058823529,,,,
1042,16,2,0.125,,,,
1043,19,1,0.052631579,,,,
1044,19,1,0.052631579,,,,
1045,14,0,0,,,,
1046,18,2,0.111111111,,,,
1047,13,4,0.307692308,,,,
1048,19,1,0.052631579,,,,
1049,16,2,0.125,,,,
1050,24,0,0,,,,
1051,19,1,0.052631579,,,,
1052,17,4,0.235294118,,,,
1053,15,3,0.2,,,,
1054,16,1,0.0625,,,,
1055,22,3,0.136363636,,,,
1056,21,4,0.19047619,,,,
1058,15,0,0,,,,
1059,24,5,0.208333333,,,,
1060,17,1,0.058823529,,,,
1061,9,3,0.333333333,,,,
1062,23,1,0.043478261,,,,
1063,17,0,0,,,,
1064,19,2,0.105263158,,,,
1065,22,1,0.045454545,,,,
1067,18,1,0.055555556,,,,
1068,20,6,0.3,,,,
1069,14,1,0.071428571,,,,
1070,21,1,0.047619048,,,,
1071,19,1,0.052631579,,,,
1072,11,0,0,,,,
1073,12,5,0.416666667,,,,
1074,18,1,0.055555556,,,,
1075,16,0,0,,,,
1076,26,7,0.269230769,,,,
1077,21,2,0.095238095,,,,
1078,23,3,0.130434783,,,,
1079,23,2,0.086956522,,,,
1080,26,2,0.076923077,,,,
1081,21,5,0.238095238,,,,
1082,21,4,0.19047619,,,,
1083,21,3,0.142857143,,,,
1084,20,5,0.25,,,,
1085,17,4,0.235294118,,,,
1086,22,5,0.227272727,,,,
1087,22,3,0.136363636,,,,
1088,13,1,0.076923077,,,,
1089,15,0,0,,,,
1090,15,6,0.4,,,,
1091,16,5,0.3125,,,,
1092,18,8,0.444444444,,,,
1093,14,7,0.5,,,,
1094,18,3,0.166666667,,,,
1095,16,4,0.25,,,,
1096,14,0,0,,,,
1097,19,4,0.210526316,,,,
1098,5,0,0,,,,
1099,27,3,0.111111111,,,,
1100,21,2,0.095238095,,,,
1101,14,1,0.071428571,,,,
1103,22,4,0.181818182,,,,
1104,23,4,0.173913043,,,,
1105,22,0,0,,,,
1106,20,2,0.1,,,,
1107,23,0,0,,,,
1108,17,0,0,,,,
1109,20,0,0,,,,
1110,15,2,0.133333333,,,,
1111,15,1,0.066666667,,,,
1112,23,1,0.043478261,,,,
1113,16,1,0.0625,,,,
1114,15,1,0.066666667,,,,
1115,16,0,0,,,,
1116,22,0,0,,,,
1117,26,3,0.115384615,,,,
1118,25,0,0,,,,
1119,19,0,0,,,,
1120,18,1,0.055555556,,,,
1121,23,0,0,,,,
1122,30,2,0.066666667,,,,
1123,13,1,0.076923077,,,,
1124,25,0,0,,,,
1125,18,1,0.055555556,,,,
1126,16,0,0,,,,
1127,18,0,0,,,,
1128,21,0,0,,,,
1129,17,0,0,,,,
1130,21,2,0.095238095,,,,
1131,16,1,0.0625,,,,
1132,30,2,0.066666667,,,,
1133,29,1,0.034482759,,,,
1134,17,0,0,,,,
1135,16,3,0.1875,,,,
1136,28,2,0.071428571,,,,
1137,27,0,0,,,,
1138,18,1,0.055555556,,,,
1139,18,1,0.055555556,,,,
1140,9,0,0,,,,
1141,17,0,0,,,,
1142,23,1,0.043478261,,,,
1143,17,0,0,,,,
1144,25,2,0.08,,,,
1145,13,0,0,,,,
1146,17,0,0,,,,
1147,23,2,0.086956522,,,,
1148,18,1,0.055555556,,,,
1149,25,5,0.2,,,,
1150,18,3,0.166666667,,,,
1151,22,1,0.045454545,,,,
1152,5,0,0,,,,
1153,23,0,0,,,,
1154,21,1,0.047619048,,,,
1155,19,5,0.263157895,,,,
1156,8,3,0.375,,,,
1157,20,1,0.05,,,,
1158,16,1,0.0625,,,,
1159,16,2,0.125,,,,
1160,12,2,0.166666667,,,,
1161,24,0,0,,,,
1162,18,0,0,,,,
1163,16,0,0,,,,
1164,22,1,0.045454545,,,,
1165,15,0,0,,,,
1166,19,1,0.052631579,,,,
1167,24,2,0.083333333,,,,
1168,27,0,0,,,,
1169,23,0,0,,,,
1170,25,0,0,,,,
1171,24,1,0.041666667,,,,
1172,27,0,0,,,,
1173,13,1,0.076923077,,,,
1174,27,2,0.074074074,,,,
1175,21,2,0.095238095,,,,
1176,21,1,0.047619048,,,,
1177,17,0,0,,,,
1178,22,0,0,,,,
1179,18,0,0,,,,
1180,13,0,0,,,,
1181,27,1,0.037037037,,,,
1182,22,3,0.136363636,,,,
1183,21,0,0,,,,
1184,24,1,0.041666667,,,,
1185,19,2,0.105263158,,,,
1186,10,0,0,,,,
1187,19,0,0,,,,
1188,24,0,0,,,,
1189,13,1,0.076923077,,,,
1190,21,1,0.047619048,,,,
1191,23,0,0,,,,
1192,25,1,0.04,,,,
1193,10,0,0,,,,
1194,18,0,0,,,,
1195,35,0,0,,,,
1196,19,0,0,,,,
1197,19,0,0,,,,
1198,22,0,0,,,,
1199,25,0,0,,,,
1200,16,0,0,,,,
1201,15,0,0,,,,
1202,7,0,0,,,,
1203,19,3,0.157894737,,,,
1204,21,0,0,,,,
1205,12,0,0,,,,
1206,20,1,0.05,,,,
1207,1,1,1,,,,
1208,19,1,0.052631579,,,,
1209,23,0,0,,,,
1210,23,0,0,,,,
1212,21,1,0.047619048,,,,
1213,36,2,0.055555556,,,,
1214,30,0,0,,,,
1215,22,0,0,,,,
1216,15,0,0,,,,
1217,33,0,0,,,,
1218,16,0,0,,,,
1219,11,1,0.090909091,,,,
1220,14,0,0,,,,
1221,20,0,0,,,,
1222,18,0,0,,,,
1223,20,0,0,,,,
1224,15,0,0,,,,
1225,22,0,0,,,,
1226,24,0,0,,,,
1227,21,0,0,,,,
1228,27,0,0,,,,
1229,22,0,0,,,,
1230,16,1,0.0625,,,,
1231,19,0,0,,,,
1232,14,0,0,,,,
1233,30,0,0,,,,
1234,20,1,0.05,,,,
1235,17,0,0,,,,
1236,22,0,0,,,,
1237,19,0,0,,,,
1238,28,0,0,,,,
1239,30,1,0.033333333,,,,
1240,15,1,0.066666667,,,,
1241,15,1,0.066666667,,,,
1242,25,2,0.08,,,,
1243,22,1,0.045454545,,,,
1244,20,1,0.05,,,,
1245,20,0,0,,,,
1246,17,0,0,,,,
1247,12,0,0,,,,
1248,20,0,0,,,,
1249,15,1,0.066666667,,,,
1250,27,0,0,,,,
1251,15,0,0,,,,
1252,21,1,0.047619048,,,,
1253,18,0,0,,,,
1254,20,1,0.05,,,,
1255,26,0,0,,,,
1256,16,0,0,,,,
1257,13,0,0,,,,
1258,24,2,0.083333333,,,,
1259,29,2,0.068965517,,,,
1260,23,0,0,,,,
1261,29,2,0.068965517,,,,
1262,19,0,0,,,,
1263,23,1,0.043478261,,,,
1264,20,1,0.05,,,,
1265,23,1,0.043478261,,,,
1266,28,2,0.071428571,,,,
1267,22,1,0.045454545,,,,
1268,28,1,0.035714286,,,,
1269,44,1,0.022727273,,,,
1270,35,2,0.057142857,,,,
1272,18,2,0.111111111,,,,
1273,16,0,0,,,,
1274,19,0,0,,,,
1275,14,0,0,,,,
1276,19,0,0,,,,
1277,14,0,0,,,,
1278,19,2,0.105263158,,,,
1279,21,2,0.095238095,,,,
1280,26,4,0.153846154,,,,
1281,12,1,0.083333333,,,,
1282,22,0,0,,,,
1283,23,0,0,,,,
1284,16,1,0.0625,,,,
1285,17,0,0,,,,
1286,20,3,0.15,,,,
1287,18,0,0,,,,
1288,10,1,0.1,,,,
1289,18,0,0,,,,
1290,27,1,0.037037037,,,,
1291,21,0,0,,,,
1292,30,6,0.2,,,,
1293,20,3,0.15,,,,
1294,27,2,0.074074074,,,,
1295,20,0,0,,,,
1296,23,1,0.043478261,,,,
1297,25,7,0.28,,,,
1298,19,7,0.368421053,,,,
1299,21,1,0.047619048,,,,
1300,26,4,0.153846154,,,,
1301,23,1,0.043478261,,,,
1302,27,0,0,,,,
1303,15,0,0,,,,
1304,19,0,0,,,,
1305,26,1,0.038461538,,,,
1306,22,0,0,,,,
1307,18,0,0,,,,
1308,21,0,0,,,,
1309,28,0,0,,,,
1310,15,0,0,,,,
1311,12,0,0,,,,
1312,18,0,0,,,,
1313,14,1,0.071428571,,,,
1314,24,0,0,,,,
1315,21,0,0,,,,
1316,26,0,0,,,,
1317,18,1,0.055555556,,,,
1318,19,1,0.052631579,,,,
1319,21,0,0,,,,
1320,21,0,0,,,,
1321,25,0,0,,,,
1322,21,1,0.047619048,,,,
1323,21,1,0.047619048,,,,
1324,22,4,0.181818182,,,,
1325,23,1,0.043478261,,,,
1326,17,1,0.058823529,,,,
1327,18,4,0.222222222,,,,
1328,11,0,0,,,,
1329,21,1,0.047619048,,,,
1330,17,1,0.058823529,,,,
1331,20,1,0.05,,,,
1332,16,2,0.125,,,,
1333,17,1,0.058823529,,,,
1334,16,0,0,,,,
1335,19,0,0,,,,
1336,21,1,0.047619048,,,,
1337,22,1,0.045454545,,,,
1338,13,0,0,,,,
1339,21,0,0,,,,
1340,22,2,0.090909091,,,,
1341,26,5,0.192307692,,,,
1342,19,1,0.052631579,,,,
1343,22,3,0.136363636,,,,
1344,16,1,0.0625,,,,
1345,17,0,0,,,,
1346,20,1,0.05,,,,
1347,17,1,0.058823529,,,,
1348,23,8,0.347826087,,,,
1349,24,4,0.166666667,,,,
1350,26,3,0.115384615,,,,
1351,13,2,0.153846154,,,,
1352,17,5,0.294117647,,,,
1353,22,12,0.545454545,,,,
1354,27,4,0.148148148,,,,
1355,19,1,0.052631579,,,,
1356,15,2,0.133333333,,,,
1357,20,1,0.05,,,,
1358,18,0,0,,,,
1359,17,1,0.058823529,,,,
1360,25,4,0.16,,,,
1361,18,5,0.277777778,,,,
1362,22,1,0.045454545,,,,
1363,21,1,0.047619048,,,,
1364,28,1,0.035714286,,,,
1365,25,2,0.08,,,,
1366,22,0,0,,,,
1367,17,1,0.058823529,,,,
1368,18,3,0.166666667,,,,
1369,21,2,0.095238095,,,,
1370,22,0,0,,,,
1371,19,1,0.052631579,,,,
1372,23,2,0.086956522,,,,
1373,21,3,0.142857143,,,,
1374,22,3,0.136363636,,,,
1375,30,2,0.066666667,,,,
1376,23,2,0.086956522,,,,
1377,36,1,0.027777778,,,,
1378,21,4,0.19047619,,,,
1379,14,1,0.071428571,,,,
1380,13,1,0.076923077,,,,
1381,19,5,0.263157895,,,,
1382,22,6,0.272727273,,,,
1383,22,3,0.136363636,,,,
1384,16,3,0.1875,,,,
1385,15,1,0.066666667,,,,
1386,15,2,0.133333333,,,,
1387,18,2,0.111111111,,,,
1388,17,3,0.176470588,,,,
1389,16,0,0,,,,
1390,20,1,0.05,,,,
1391,17,0,0,,,,
1392,15,0,0,,,,
1393,19,0,0,,,,
1394,16,1,0.0625,,,,
1395,16,5,0.3125,,,,
1396,24,2,0.083333333,,,,
1397,18,0,0,,,,
1398,16,1,0.0625,,,,
1399,19,2,0.105263158,,,,
1400,16,1,0.0625,,,,
1401,21,1,0.047619048,,,,
1402,19,0,0,,,,
1403,9,0,0,,,,
1404,17,0,0,,,,
1405,15,0,0,,,,
1406,24,0,0,,,,
1407,23,0,0,,,,
1408,21,1,0.047619048,,,,
1409,19,2,0.105263158,,,,
1410,16,1,0.0625,,,,
1411,25,5,0.2,,,,
1412,19,1,0.052631579,,,,
1413,23,2,0.086956522,,,,
1414,20,0,0,,,,
1415,24,3,0.125,,,,
1416,17,2,0.117647059,,,,
1417,24,2,0.083333333,,,,
1418,15,3,0.2,,,,
1419,18,1,0.055555556,,,,
1420,18,0,0,,,,
1421,25,6,0.24,,,,
1422,16,0,0,,,,
1423,29,2,0.068965517,,,,
1424,20,2,0.1,,,,
1425,26,0,0,,,,
1426,16,0,0,,,,
1427,19,1,0.052631579,,,,
1428,16,1,0.0625,,,,
1429,20,1,0.05,,,,
1430,15,1,0.066666667,,,,
1431,21,3,0.142857143,,,,
1432,17,4,0.235294118,,,,
1433,29,1,0.034482759,,,,
1434,16,0,0,,,,
1435,16,3,0.1875,,,,
1436,23,2,0.086956522,,,,
1437,21,2,0.095238095,,,,
1438,25,3,0.12,,,,
1439,19,2,0.105263158,,,,
1440,27,1,0.037037037,,,,
1441,15,1,0.066666667,,,,
1442,15,2,0.133333333,,,,
1443,23,1,0.043478261,,,,
1444,10,1,0.1,,,,
1445,28,0,0,,,,
1446,21,1,0.047619048,,,,
1447,25,2,0.08,,,,
1448,24,1,0.041666667,,,,
1449,17,1,0.058823529,,,,
1450,22,1,0.045454545,,,,
1451,12,2,0.166666667,,,,
1452,16,0,0,,,,
1453,24,2,0.083333333,,,,
1454,26,4,0.153846154,,,,
1455,27,0,0,,,,
1456,29,4,0.137931034,,,,
1457,21,3,0.142857143,,,,
1458,24,1,0.041666667,,,,
1459,20,4,0.2,,,,
1460,23,4,0.173913043,,,,
1461,23,3,0.130434783,,,,
1462,18,1,0.055555556,,,,
1463,18,0,0,,,,
1464,24,2,0.083333333,,,,
1465,25,2,0.08,,,,
1466,25,1,0.04,,,,
1467,16,1,0.0625,,,,
1468,24,2,0.083333333,,,,
1469,23,0,0,,,,
1470,24,1,0.041666667,,,,
1471,16,2,0.125,,,,
1472,24,0,0,,,,
1473,26,2,0.076923077,,,,
1474,18,0,0,,,,
1475,22,2,0.090909091,,,,
1476,16,2,0.125,,,,
1477,21,3,0.142857143,,,,
1478,14,0,0,,,,
1479,24,0,0,,,,
1480,12,0,0,,,,
1481,13,0,0,,,,
1482,17,1,0.058823529,,,,
1483,18,1,0.055555556,,,,
1484,28,1,0.035714286,,,,
1485,26,1,0.038461538,,,,
1486,12,1,0.083333333,,,,
1487,21,1,0.047619048,,,,
1488,20,3,0.15,,,,
1489,24,0,0,,,,
1490,20,2,0.1,,,,
1491,25,0,0,,,,
1492,18,0,0,,,,
1493,24,1,0.041666667,,,,
1494,20,0,0,,,,
1495,19,0,0,,,,
1496,20,2,0.1,,,,
1497,18,1,0.055555556,,,,
1498,14,1,0.071428571,,,,
1499,21,3,0.142857143,,,,
1500,23,2,0.086956522,,,,
1501,15,3,0.2,,,,
1502,15,1,0.066666667,,,,
1503,15,1,0.066666667,,,,
1504,15,1,0.066666667,,,,
1505,17,2,0.117647059,,,,
1506,23,1,0.043478261,,,,
1507,17,0,0,,,,
1508,20,2,0.1,,,,
1509,22,2,0.090909091,,,,
1510,18,2,0.111111111,,,,
1511,20,3,0.15,,,,
1512,16,0,0,,,,
1513,18,0,0,,,,
1514,24,1,0.041666667,,,,
1515,14,1,0.071428571,,,,
1516,22,0,0,,,,
1517,28,2,0.071428571,,,,
1518,17,0,0,,,,
1519,20,1,0.05,,,,
1520,19,0,0,,,,
1521,17,1,0.058823529,,,,
1522,20,0,0,,,,
1523,26,0,0,,,,
1524,17,2,0.117647059,,,,
1525,21,0,0,,,,
1526,15,0,0,,,,
1527,16,1,0.0625,,,,
1528,25,0,0,,,,
1529,22,3,0.136363636,,,,
1530,18,0,0,,,,
1531,16,0,0,,,,
1532,20,1,0.05,,,,
1533,25,0,0,,,,
1534,15,1,0.066666667,,,,
1535,18,0,0,,,,
1536,18,1,0.055555556,,,,
1537,26,0,0,,,,
1538,19,1,0.052631579,,,,
1539,20,2,0.1,,,,
1540,19,1,0.052631579,,,,
1541,27,1,0.037037037,,,,
1542,20,0,0,,,,
1543,16,1,0.0625,,,,
1544,19,1,0.052631579,,,,
1545,31,0,0,,,,
1546,17,0,0,,,,
1547,22,3,0.136363636,,,,
1548,18,3,0.166666667,,,,
1549,31,3,0.096774194,,,,
1550,22,1,0.045454545,,,,
1551,26,1,0.038461538,,,,
1552,21,0,0,,,,
1553,27,2,0.074074074,,,,
1554,28,1,0.035714286,,,,
1555,29,0,0,,,,
1556,10,1,0.1,,,,
1557,22,1,0.045454545,,,,
1558,19,0,0,,,,
1559,26,1,0.038461538,,,,
1560,20,0,0,,,,
1561,15,3,0.2,,,,
1562,27,0,0,,,,
1563,16,2,0.125,,,,
1564,18,0,0,,,,
1565,18,0,0,,,,
1566,16,1,0.0625,,,,
1567,25,1,0.04,,,,
1568,27,0,0,,,,
1569,20,2,0.1,,,,
1570,17,2,0.117647059,,,,
1571,24,2,0.083333333,,,,
1572,27,0,0,,,,
1573,25,2,0.08,,,,
1574,23,0,0,,,,
1575,26,0,0,,,,
1576,29,0,0,,,,
1577,23,0,0,,,,
1578,19,1,0.052631579,,,,
1579,22,0,0,,,,
1580,21,1,0.047619048,,,,
1581,11,2,0.181818182,,,,
1582,25,1,0.04,,,,
1583,22,3,0.136363636,,,,
1584,27,4,0.148148148,,,,
1585,21,3,0.142857143,,,,
1586,23,0,0,,,,
1587,18,1,0.055555556,,,,
1588,15,0,0,,,,
1589,22,2,0.090909091,,,,
1590,19,0,0,,,,
1591,25,1,0.04,,,,
1592,15,0,0,,,,
1593,23,1,0.043478261,,,,
1594,21,1,0.047619048,,,,
1595,19,2,0.105263158,,,,
1596,20,1,0.05,,,,
1597,21,2,0.095238095,,,,
1598,28,0,0,,,,
1599,20,3,0.15,,,,
1600,17,0,0,,,,
1601,24,0,0,,,,
1602,24,1,0.041666667,,,,
1603,10,2,0.2,,,,
1604,22,1,0.045454545,,,,
1605,19,4,0.210526316,,,,
1606,11,2,0.181818182,,,,
1607,25,1,0.04,,,,
1608,19,5,0.263157895,,,,
1609,34,2,0.058823529,,,,
1610,23,1,0.043478261,,,,
1611,17,1,0.058823529,,,,
1612,15,1,0.066666667,,,,
,31079,2237,0.073197001,,,,
