Definition,Percent distribution of live births and current pregnancies to women in the 3 years preceding the survey by planning status of the pregnancy and percent distribution of all pregnancy outcomes to women in the 3 years preceding the survey by planning status of the pregnancy,,,,,,
863,3,2,0.666666667,,,,
864,13,7,0.538461538,,,,
865,9,4,0.444444444,,,,
866,10,5,0.5,,,,
867,8,2,0.25,,,,
868,12,2,0.166666667,,,,
869,17,4,0.235294118,,,,
870,10,4,0.4,,,,
871,10,5,0.5,,,,
872,2,0,0,,,,
873,6,2,0.333333333,,,,
874,8,2,0.25,,,,
875,10,2,0.2,,,,
876,12,3,0.25,,,,
877,13,5,0.384615385,,,,
878,17,2,0.117647059,,,,
879,16,3,0.1875,,,,
880,8,7,0.875,,,,
881,8,6,0.75,,,,
882,8,6,0.75,,,,
883,8,2,0.25,,,,
884,4,2,0.5,,,,
885,8,2,0.25,,,,
886,1,0,0,,,,
887,4,0,0,,,,
888,8,3,0.375,,,,
889,6,3,0.5,,,,
890,5,2,0.4,,,,
891,6,6,1,,,,
892,8,6,0.75,,,,
893,7,4,0.571428571,,,,
894,5,2,0.4,,,,
895,4,1,0.25,,,,
896,6,3,0.5,,,,
897,8,4,0.5,,,,
898,4,3,0.75,,,,
899,5,3,0.6,,,,
900,4,1,0.25,,,,
901,8,5,0.625,,,,
902,12,8,0.666666667,,,,
903,12,8,0.666666667,,,,
904,7,5,0.714285714,,,,
905,5,2,0.4,,,,
906,4,0,0,,,,
907,5,4,0.8,,,,
908,6,2,0.333333333,,,,
909,10,4,0.4,,,,
910,9,4,0.444444444,,,,
911,5,3,0.6,,,,
912,5,2,0.4,,,,
913,8,4,0.5,,,,
914,5,1,0.2,,,,
915,9,3,0.333333333,,,,
916,8,6,0.75,,,,
917,1,0,0,,,,
918,7,2,0.285714286,,,,
919,6,3,0.5,,,,
920,5,1,0.2,,,,
921,10,3,0.3,,,,
922,5,4,0.8,,,,
923,12,6,0.5,,,,
924,5,2,0.4,,,,
925,7,6,0.857142857,,,,
926,3,2,0.666666667,,,,
927,7,2,0.285714286,,,,
928,5,5,1,,,,
929,5,4,0.8,,,,
930,4,2,0.5,,,,
931,11,7,0.636363636,,,,
932,12,5,0.416666667,,,,
933,5,3,0.6,,,,
934,5,3,0.6,,,,
935,8,5,0.625,,,,
936,8,5,0.625,,,,
937,10,7,0.7,,,,
938,7,4,0.571428571,,,,
939,7,5,0.714285714,,,,
940,11,4,0.363636364,,,,
941,8,4,0.5,,,,
942,6,4,0.666666667,,,,
943,7,2,0.285714286,,,,
944,9,6,0.666666667,,,,
945,12,6,0.5,,,,
946,6,3,0.5,,,,
947,6,5,0.833333333,,,,
948,8,2,0.25,,,,
949,3,2,0.666666667,,,,
950,6,1,0.166666667,,,,
951,6,3,0.5,,,,
952,3,2,0.666666667,,,,
953,5,0,0,,,,
954,2,0,0,,,,
955,6,2,0.333333333,,,,
956,2,1,0.5,,,,
957,4,0,0,,,,
958,5,4,0.8,,,,
959,9,4,0.444444444,,,,
960,4,3,0.75,,,,
961,10,4,0.4,,,,
962,4,1,0.25,,,,
963,10,3,0.3,,,,
964,8,4,0.5,,,,
965,10,4,0.4,,,,
966,6,2,0.333333333,,,,
967,3,1,0.333333333,,,,
968,6,2,0.333333333,,,,
969,9,7,0.777777778,,,,
970,10,7,0.7,,,,
971,7,5,0.714285714,,,,
972,6,2,0.333333333,,,,
973,7,4,0.571428571,,,,
974,8,4,0.5,,,,
975,6,5,0.833333333,,,,
976,5,3,0.6,,,,
977,4,3,0.75,,,,
978,8,3,0.375,,,,
979,10,4,0.4,,,,
980,2,2,1,,,,
981,10,3,0.3,,,,
982,7,3,0.428571429,,,,
983,7,6,0.857142857,,,,
984,7,3,0.428571429,,,,
985,12,8,0.666666667,,,,
986,4,0,0,,,,
987,5,4,0.8,,,,
988,3,2,0.666666667,,,,
989,13,8,0.615384615,,,,
990,5,2,0.4,,,,
991,7,3,0.428571429,,,,
992,10,2,0.2,,,,
993,9,3,0.333333333,,,,
994,4,1,0.25,,,,
995,5,3,0.6,,,,
996,5,3,0.6,,,,
997,8,3,0.375,,,,
998,8,6,0.75,,,,
999,5,2,0.4,,,,
1000,7,2,0.285714286,,,,
1001,4,2,0.5,,,,
1002,6,2,0.333333333,,,,
1003,7,2,0.285714286,,,,
1004,4,3,0.75,,,,
1005,2,1,0.5,,,,
1006,3,0,0,,,,
1007,4,2,0.5,,,,
1008,3,2,0.666666667,,,,
1009,9,4,0.444444444,,,,
1010,7,4,0.571428571,,,,
1011,9,2,0.222222222,,,,
1012,9,3,0.333333333,,,,
1013,4,3,0.75,,,,
1014,5,5,1,,,,
1015,9,5,0.555555556,,,,
1016,1,1,1,,,,
1017,8,3,0.375,,,,
1018,8,2,0.25,,,,
1019,7,2,0.285714286,,,,
1020,6,3,0.5,,,,
1021,6,3,0.5,,,,
1022,6,3,0.5,,,,
1023,5,0,0,,,,
1024,2,0,0,,,,
1025,8,3,0.375,,,,
1026,4,1,0.25,,,,
1027,8,5,0.625,,,,
1028,12,8,0.666666667,,,,
1029,6,3,0.5,,,,
1030,4,2,0.5,,,,
1031,9,3,0.333333333,,,,
1032,7,3,0.428571429,,,,
1033,8,4,0.5,,,,
1034,6,4,0.666666667,,,,
1035,5,2,0.4,,,,
1036,4,2,0.5,,,,
1037,7,7,1,,,,
1038,7,3,0.428571429,,,,
1039,2,1,0.5,,,,
1040,6,2,0.333333333,,,,
1041,7,2,0.285714286,,,,
1042,7,4,0.571428571,,,,
1043,6,3,0.5,,,,
1044,8,6,0.75,,,,
1045,8,4,0.5,,,,
1046,4,0,0,,,,
1047,10,7,0.7,,,,
1048,13,8,0.615384615,,,,
1049,8,5,0.625,,,,
1050,4,4,1,,,,
1051,6,4,0.666666667,,,,
1052,12,9,0.75,,,,
1053,10,0,0,,,,
1054,18,9,0.5,,,,
1055,7,0,0,,,,
1056,3,1,0.333333333,,,,
1057,4,0,0,,,,
1058,5,4,0.8,,,,
1059,7,1,0.142857143,,,,
1060,6,2,0.333333333,,,,
1061,2,0,0,,,,
1062,5,3,0.6,,,,
1063,4,0,0,,,,
1064,8,3,0.375,,,,
1065,4,0,0,,,,
1066,5,2,0.4,,,,
1067,7,1,0.142857143,,,,
1068,0,0,.,,,,
1069,5,3,0.6,,,,
1070,4,1,0.25,,,,
1071,10,3,0.3,,,,
1072,4,2,0.5,,,,
1073,5,1,0.2,,,,
1074,3,1,0.333333333,,,,
1075,5,3,0.6,,,,
1076,8,1,0.125,,,,
1077,5,2,0.4,,,,
1078,3,3,1,,,,
1079,2,1,0.5,,,,
1080,7,1,0.142857143,,,,
1081,4,1,0.25,,,,
1082,2,0,0,,,,
1083,3,0,0,,,,
1084,3,1,0.333333333,,,,
1085,6,3,0.5,,,,
1086,3,0,0,,,,
1087,7,2,0.285714286,,,,
1088,6,0,0,,,,
1089,7,1,0.142857143,,,,
1090,10,6,0.6,,,,
1091,5,2,0.4,,,,
1092,10,7,0.7,,,,
1093,7,2,0.285714286,,,,
1094,5,2,0.4,,,,
1095,4,3,0.75,,,,
1096,5,2,0.4,,,,
1097,9,5,0.555555556,,,,
1098,5,0,0,,,,
1099,6,4,0.666666667,,,,
1100,7,2,0.285714286,,,,
1101,2,1,0.5,,,,
1102,5,0,0,,,,
1103,5,1,0.2,,,,
1104,9,2,0.222222222,,,,
1105,11,6,0.545454545,,,,
1106,12,4,0.333333333,,,,
1107,6,2,0.333333333,,,,
1108,6,3,0.5,,,,
1109,10,3,0.3,,,,
1110,8,2,0.25,,,,
1111,8,1,0.125,,,,
1112,5,4,0.8,,,,
1113,10,5,0.5,,,,
1114,8,2,0.25,,,,
1115,3,0,0,,,,
1116,7,4,0.571428571,,,,
1117,3,2,0.666666667,,,,
1118,5,2,0.4,,,,
1119,5,1,0.2,,,,
1120,6,4,0.666666667,,,,
1121,4,3,0.75,,,,
1122,10,3,0.3,,,,
1123,8,7,0.875,,,,
1124,6,2,0.333333333,,,,
1125,5,1,0.2,,,,
1126,7,2,0.285714286,,,,
1127,3,2,0.666666667,,,,
1128,6,5,0.833333333,,,,
1129,11,7,0.636363636,,,,
1130,16,9,0.5625,,,,
1131,6,4,0.666666667,,,,
1132,6,3,0.5,,,,
1133,11,8,0.727272727,,,,
1134,8,3,0.375,,,,
1135,7,2,0.285714286,,,,
1136,11,6,0.545454545,,,,
1137,3,2,0.666666667,,,,
1138,5,1,0.2,,,,
1139,4,1,0.25,,,,
1140,2,1,0.5,,,,
1141,5,1,0.2,,,,
1142,13,6,0.461538462,,,,
1143,10,5,0.5,,,,
1144,10,4,0.4,,,,
1145,11,4,0.363636364,,,,
1146,7,2,0.285714286,,,,
1147,12,4,0.333333333,,,,
1148,7,2,0.285714286,,,,
1149,6,3,0.5,,,,
1150,7,4,0.571428571,,,,
1151,11,8,0.727272727,,,,
1152,8,5,0.625,,,,
1153,8,3,0.375,,,,
1154,14,10,0.714285714,,,,
1155,9,2,0.222222222,,,,
1156,10,7,0.7,,,,
1157,11,6,0.545454545,,,,
1158,7,4,0.571428571,,,,
1159,11,2,0.181818182,,,,
1160,15,6,0.4,,,,
1161,9,4,0.444444444,,,,
1162,9,3,0.333333333,,,,
1163,6,5,0.833333333,,,,
1164,16,6,0.375,,,,
1165,8,2,0.25,,,,
1166,2,0,0,,,,
1167,6,2,0.333333333,,,,
1168,4,2,0.5,,,,
1169,6,3,0.5,,,,
1170,5,0,0,,,,
1171,6,2,0.333333333,,,,
1172,5,1,0.2,,,,
1173,5,0,0,,,,
1174,3,1,0.333333333,,,,
1175,11,4,0.363636364,,,,
1176,4,3,0.75,,,,
1177,8,2,0.25,,,,
1178,7,4,0.571428571,,,,
1179,5,2,0.4,,,,
1180,8,1,0.125,,,,
1181,7,2,0.285714286,,,,
1182,8,3,0.375,,,,
1183,5,3,0.6,,,,
1184,3,0,0,,,,
1185,3,1,0.333333333,,,,
1186,3,2,0.666666667,,,,
1187,7,3,0.428571429,,,,
1188,7,3,0.428571429,,,,
1189,10,1,0.1,,,,
1190,6,3,0.5,,,,
1191,12,3,0.25,,,,
1192,14,6,0.428571429,,,,
1193,18,3,0.166666667,,,,
1194,6,0,0,,,,
1195,5,2,0.4,,,,
1196,4,1,0.25,,,,
1197,4,1,0.25,,,,
1198,11,3,0.272727273,,,,
1199,9,3,0.333333333,,,,
1200,2,1,0.5,,,,
1201,9,2,0.222222222,,,,
1202,6,3,0.5,,,,
1203,6,2,0.333333333,,,,
1204,4,2,0.5,,,,
1205,7,2,0.285714286,,,,
1206,11,3,0.272727273,,,,
1207,3,1,0.333333333,,,,
1208,9,4,0.444444444,,,,
1209,6,3,0.5,,,,
1210,3,2,0.666666667,,,,
1211,7,0,0,,,,
1212,5,0,0,,,,
1213,12,4,0.333333333,,,,
1214,11,3,0.272727273,,,,
1215,5,1,0.2,,,,
1216,2,2,1,,,,
1217,12,1,0.083333333,,,,
1218,5,2,0.4,,,,
1219,12,4,0.333333333,,,,
1220,4,1,0.25,,,,
1221,5,3,0.6,,,,
1222,2,0,0,,,,
1223,5,1,0.2,,,,
1224,1,0,0,,,,
1225,5,2,0.4,,,,
1226,8,2,0.25,,,,
1227,9,4,0.444444444,,,,
1228,8,3,0.375,,,,
1229,3,0,0,,,,
1230,5,0,0,,,,
1231,6,3,0.5,,,,
1232,6,0,0,,,,
1233,11,6,0.545454545,,,,
1234,4,1,0.25,,,,
1235,5,0,0,,,,
1236,8,2,0.25,,,,
1237,10,2,0.2,,,,
1238,5,3,0.6,,,,
1239,7,3,0.428571429,,,,
1240,5,1,0.2,,,,
1241,11,8,0.727272727,,,,
1242,4,2,0.5,,,,
1243,6,4,0.666666667,,,,
1244,6,5,0.833333333,,,,
1245,4,3,0.75,,,,
1246,11,6,0.545454545,,,,
1247,9,5,0.555555556,,,,
1248,5,4,0.8,,,,
1249,10,3,0.3,,,,
1250,8,3,0.375,,,,
1251,7,3,0.428571429,,,,
1252,3,0,0,,,,
1253,3,2,0.666666667,,,,
1254,2,1,0.5,,,,
1255,5,2,0.4,,,,
1256,5,3,0.6,,,,
1257,8,2,0.25,,,,
1258,8,5,0.625,,,,
1259,5,5,1,,,,
1260,9,7,0.777777778,,,,
1261,9,5,0.555555556,,,,
1262,9,6,0.666666667,,,,
1263,10,7,0.7,,,,
1264,4,2,0.5,,,,
1265,10,9,0.9,,,,
1266,4,4,1,,,,
1267,8,3,0.375,,,,
1268,7,3,0.428571429,,,,
1269,7,3,0.428571429,,,,
1270,3,2,0.666666667,,,,
1271,4,2,0.5,,,,
1272,8,3,0.375,,,,
1273,4,1,0.25,,,,
1274,5,3,0.6,,,,
1275,7,3,0.428571429,,,,
1276,4,3,0.75,,,,
1277,3,2,0.666666667,,,,
1278,9,6,0.666666667,,,,
1279,4,1,0.25,,,,
1280,4,2,0.5,,,,
1281,7,3,0.428571429,,,,
1282,9,7,0.777777778,,,,
1283,5,3,0.6,,,,
1284,6,3,0.5,,,,
1285,2,0,0,,,,
1286,7,3,0.428571429,,,,
1287,6,4,0.666666667,,,,
1288,8,6,0.75,,,,
1289,9,8,0.888888889,,,,
1290,4,2,0.5,,,,
1291,5,3,0.6,,,,
1292,7,4,0.571428571,,,,
1293,5,4,0.8,,,,
1294,9,5,0.555555556,,,,
1295,7,3,0.428571429,,,,
1296,11,7,0.636363636,,,,
1297,14,4,0.285714286,,,,
1298,4,2,0.5,,,,
1299,6,2,0.333333333,,,,
1300,5,4,0.8,,,,
1301,8,6,0.75,,,,
1302,5,4,0.8,,,,
1303,7,4,0.571428571,,,,
1304,8,7,0.875,,,,
1305,9,7,0.777777778,,,,
1306,5,2,0.4,,,,
1307,8,5,0.625,,,,
1308,4,2,0.5,,,,
1309,12,8,0.666666667,,,,
1310,4,2,0.5,,,,
1311,10,8,0.8,,,,
1312,5,1,0.2,,,,
1313,4,2,0.5,,,,
1314,3,0,0,,,,
1315,5,3,0.6,,,,
1316,2,2,1,,,,
1317,4,2,0.5,,,,
1318,9,4,0.444444444,,,,
1319,5,2,0.4,,,,
1320,5,4,0.8,,,,
1321,9,3,0.333333333,,,,
1322,5,2,0.4,,,,
1323,5,3,0.6,,,,
1324,3,1,0.333333333,,,,
1325,5,0,0,,,,
1326,9,7,0.777777778,,,,
1327,5,0,0,,,,
1328,6,1,0.166666667,,,,
1329,5,1,0.2,,,,
1330,4,3,0.75,,,,
1331,6,2,0.333333333,,,,
1332,4,0,0,,,,
1333,7,4,0.571428571,,,,
1334,6,2,0.333333333,,,,
1335,6,2,0.333333333,,,,
1336,11,6,0.545454545,,,,
1337,6,3,0.5,,,,
1338,5,2,0.4,,,,
1339,7,3,0.428571429,,,,
1340,8,4,0.5,,,,
1341,12,5,0.416666667,,,,
1342,5,3,0.6,,,,
1343,3,0,0,,,,
1344,5,2,0.4,,,,
1345,6,1,0.166666667,,,,
1346,7,3,0.428571429,,,,
1347,6,5,0.833333333,,,,
1348,4,3,0.75,,,,
1349,10,6,0.6,,,,
1350,7,5,0.714285714,,,,
1351,7,4,0.571428571,,,,
1352,9,4,0.444444444,,,,
1353,8,6,0.75,,,,
1354,7,3,0.428571429,,,,
1355,9,3,0.333333333,,,,
1356,5,3,0.6,,,,
1357,8,4,0.5,,,,
1358,8,6,0.75,,,,
1359,6,4,0.666666667,,,,
1360,7,6,0.857142857,,,,
1361,6,1,0.166666667,,,,
1362,8,2,0.25,,,,
1363,9,5,0.555555556,,,,
1364,10,4,0.4,,,,
1365,9,8,0.888888889,,,,
1366,6,3,0.5,,,,
1367,6,3,0.5,,,,
1368,3,1,0.333333333,,,,
1369,9,6,0.666666667,,,,
1370,8,3,0.375,,,,
1371,7,6,0.857142857,,,,
1372,8,7,0.875,,,,
1373,6,4,0.666666667,,,,
1374,7,4,0.571428571,,,,
1375,8,5,0.625,,,,
1376,11,7,0.636363636,,,,
1377,11,6,0.545454545,,,,
1378,7,6,0.857142857,,,,
1379,5,3,0.6,,,,
1380,6,4,0.666666667,,,,
1381,7,3,0.428571429,,,,
1382,8,4,0.5,,,,
1383,9,4,0.444444444,,,,
1384,4,2,0.5,,,,
1385,8,5,0.625,,,,
1386,7,2,0.285714286,,,,
1387,12,6,0.5,,,,
1388,8,5,0.625,,,,
1389,3,1,0.333333333,,,,
1390,9,5,0.555555556,,,,
1391,7,3,0.428571429,,,,
1392,7,4,0.571428571,,,,
1393,7,2,0.285714286,,,,
1394,6,3,0.5,,,,
1395,6,4,0.666666667,,,,
1396,10,4,0.4,,,,
1397,5,5,1,,,,
1398,4,3,0.75,,,,
1399,14,12,0.857142857,,,,
1400,3,0,0,,,,
1401,10,4,0.4,,,,
1402,8,3,0.375,,,,
1403,8,4,0.5,,,,
1404,3,1,0.333333333,,,,
1405,5,2,0.4,,,,
1406,7,3,0.428571429,,,,
1407,5,3,0.6,,,,
1408,8,2,0.25,,,,
1409,11,5,0.454545455,,,,
1410,4,2,0.5,,,,
1411,7,3,0.428571429,,,,
1412,11,7,0.636363636,,,,
1413,6,6,1,,,,
1414,12,6,0.5,,,,
1415,13,6,0.461538462,,,,
1416,8,5,0.625,,,,
1417,7,3,0.428571429,,,,
1418,6,3,0.5,,,,
1419,8,5,0.625,,,,
1420,9,4,0.444444444,,,,
1421,11,6,0.545454545,,,,
1422,5,3,0.6,,,,
1423,8,4,0.5,,,,
1424,5,3,0.6,,,,
1425,10,4,0.4,,,,
1426,3,1,0.333333333,,,,
1427,7,3,0.428571429,,,,
1428,7,4,0.571428571,,,,
1429,7,5,0.714285714,,,,
1430,3,2,0.666666667,,,,
1431,10,6,0.6,,,,
1432,9,3,0.333333333,,,,
1433,5,2,0.4,,,,
1434,4,1,0.25,,,,
1435,8,5,0.625,,,,
1436,5,3,0.6,,,,
1437,4,0,0,,,,
1438,5,1,0.2,,,,
1439,6,2,0.333333333,,,,
1440,4,1,0.25,,,,
1441,6,5,0.833333333,,,,
1442,5,1,0.2,,,,
1443,7,5,0.714285714,,,,
1444,8,4,0.5,,,,
1445,5,1,0.2,,,,
1446,6,3,0.5,,,,
1447,6,1,0.166666667,,,,
1448,7,3,0.428571429,,,,
1449,4,2,0.5,,,,
1450,7,5,0.714285714,,,,
1451,6,6,1,,,,
1452,8,7,0.875,,,,
1453,6,4,0.666666667,,,,
1454,8,4,0.5,,,,
1455,1,1,1,,,,
1456,4,3,0.75,,,,
1457,6,4,0.666666667,,,,
1458,17,4,0.235294118,,,,
1459,8,2,0.25,,,,
1460,5,3,0.6,,,,
1461,7,2,0.285714286,,,,
1462,6,0,0,,,,
1463,5,2,0.4,,,,
1464,9,5,0.555555556,,,,
1465,5,1,0.2,,,,
1466,10,3,0.3,,,,
1467,6,1,0.166666667,,,,
1468,7,3,0.428571429,,,,
1469,7,3,0.428571429,,,,
1470,5,3,0.6,,,,
1471,11,3,0.272727273,,,,
1472,5,0,0,,,,
1473,8,1,0.125,,,,
1474,8,3,0.375,,,,
1475,1,0,0,,,,
1476,11,6,0.545454545,,,,
1477,5,4,0.8,,,,
1478,8,5,0.625,,,,
1479,9,2,0.222222222,,,,
1480,0,0,.,,,,
1481,6,1,0.166666667,,,,
1482,8,5,0.625,,,,
1483,13,5,0.384615385,,,,
1484,11,5,0.454545455,,,,
1485,11,4,0.363636364,,,,
1486,6,3,0.5,,,,
1487,7,4,0.571428571,,,,
1488,3,2,0.666666667,,,,
1489,10,7,0.7,,,,
1490,4,3,0.75,,,,
1491,7,2,0.285714286,,,,
1492,10,7,0.7,,,,
1493,4,1,0.25,,,,
1494,1,1,1,,,,
1495,9,1,0.111111111,,,,
1496,5,3,0.6,,,,
1497,8,8,1,,,,
1498,5,3,0.6,,,,
1499,5,1,0.2,,,,
1500,11,9,0.818181818,,,,
1501,9,5,0.555555556,,,,
1502,3,3,1,,,,
1503,6,3,0.5,,,,
1504,7,3,0.428571429,,,,
1505,7,4,0.571428571,,,,
1506,3,1,0.333333333,,,,
1507,6,2,0.333333333,,,,
1508,9,7,0.777777778,,,,
1509,5,4,0.8,,,,
1510,8,5,0.625,,,,
1511,8,3,0.375,,,,
1512,12,8,0.666666667,,,,
1513,9,3,0.333333333,,,,
1514,11,4,0.363636364,,,,
1515,5,4,0.8,,,,
1516,3,1,0.333333333,,,,
1517,5,4,0.8,,,,
1518,6,3,0.5,,,,
1519,5,4,0.8,,,,
1520,5,4,0.8,,,,
1521,7,6,0.857142857,,,,
1522,5,3,0.6,,,,
1523,5,3,0.6,,,,
1524,5,1,0.2,,,,
1525,6,4,0.666666667,,,,
1526,15,9,0.6,,,,
1527,6,3,0.5,,,,
1528,5,3,0.6,,,,
1529,6,6,1,,,,
1530,7,6,0.857142857,,,,
1531,9,6,0.666666667,,,,
1532,13,5,0.384615385,,,,
1533,9,3,0.333333333,,,,
1534,8,4,0.5,,,,
1535,10,6,0.6,,,,
1536,8,4,0.5,,,,
1537,14,12,0.857142857,,,,
1538,12,8,0.666666667,,,,
1539,15,9,0.6,,,,
1540,6,4,0.666666667,,,,
1541,8,7,0.875,,,,
1542,6,4,0.666666667,,,,
1543,12,9,0.75,,,,
1544,7,6,0.857142857,,,,
1545,8,7,0.875,,,,
1546,6,2,0.333333333,,,,
1547,9,6,0.666666667,,,,
1548,8,5,0.625,,,,
1549,9,6,0.666666667,,,,
1550,8,1,0.125,,,,
1551,4,3,0.75,,,,
1552,9,6,0.666666667,,,,
1553,9,5,0.555555556,,,,
1554,7,5,0.714285714,,,,
1555,8,3,0.375,,,,
1556,6,4,0.666666667,,,,
1557,7,3,0.428571429,,,,
1558,8,6,0.75,,,,
1559,9,7,0.777777778,,,,
1560,7,2,0.285714286,,,,
1561,5,3,0.6,,,,
1562,3,3,1,,,,
1563,5,3,0.6,,,,
1564,8,2,0.25,,,,
1565,4,1,0.25,,,,
1566,7,3,0.428571429,,,,
1567,7,5,0.714285714,,,,
1568,7,5,0.714285714,,,,
1569,4,1,0.25,,,,
1570,5,2,0.4,,,,
1571,4,1,0.25,,,,
1572,2,2,1,,,,
1573,2,0,0,,,,
1574,8,6,0.75,,,,
1575,7,3,0.428571429,,,,
1576,2,2,1,,,,
1577,3,2,0.666666667,,,,
1578,4,1,0.25,,,,
1579,5,3,0.6,,,,
1580,6,1,0.166666667,,,,
1581,4,1,0.25,,,,
1582,9,5,0.555555556,,,,
1583,7,3,0.428571429,,,,
1584,5,1,0.2,,,,
1585,5,2,0.4,,,,
1586,8,3,0.375,,,,
1587,0,0,.,,,,
1588,4,1,0.25,,,,
1589,7,5,0.714285714,,,,
1590,7,5,0.714285714,,,,
1591,5,3,0.6,,,,
1592,5,2,0.4,,,,
1593,7,2,0.285714286,,,,
1594,6,5,0.833333333,,,,
1595,2,1,0.5,,,,
1596,7,3,0.428571429,,,,
1597,6,3,0.5,,,,
1598,5,2,0.4,,,,
1599,5,2,0.4,,,,
1600,4,2,0.5,,,,
1601,3,2,0.666666667,,,,
1602,2,2,1,,,,
1603,5,2,0.4,,,,
1604,6,4,0.666666667,,,,
1605,7,3,0.428571429,,,,
1606,2,1,0.5,,,,
1607,1,0,0,,,,
1608,4,2,0.5,,,,
1609,3,0,0,,,,
1610,4,3,0.75,,,,
1611,5,3,0.6,,,,
1612,4,1,0.25,,,,
1613,5,2,0.4,,,,
1614,3,2,0.666666667,,,,
1615,9,4,0.444444444,,,,
1616,2,1,0.5,,,,
1617,3,2,0.666666667,,,,
1618,3,2,0.666666667,,,,
1619,3,2,0.666666667,,,,
1620,6,4,0.666666667,,,,
1621,1,0,0,,,,
1622,2,2,1,,,,
1623,8,3,0.375,,,,
1624,1,1,1,,,,
1625,6,3,0.5,,,,
1626,1,0,0,,,,
1627,8,2,0.25,,,,
1628,9,4,0.444444444,,,,
1629,4,2,0.5,,,,
1630,4,0,0,,,,
1631,11,7,0.636363636,,,,
1632,4,3,0.75,,,,
1633,4,1,0.25,,,,
1634,6,4,0.666666667,,,,
1635,12,3,0.25,,,,
1636,6,4,0.666666667,,,,
1637,4,1,0.25,,,,
1638,5,2,0.4,,,,
1639,4,3,0.75,,,,
1640,4,1,0.25,,,,
1641,8,1,0.125,,,,
1642,6,4,0.666666667,,,,
1643,4,0,0,,,,
1644,3,2,0.666666667,,,,
1645,4,2,0.5,,,,
1646,7,3,0.428571429,,,,
1647,2,2,1,,,,
1648,3,2,0.666666667,,,,
1649,6,0,0,,,,
1650,8,4,0.5,,,,
1651,5,2,0.4,,,,
1652,2,0,0,,,,
1653,4,2,0.5,,,,
1654,3,0,0,,,,
1655,3,0,0,,,,
1656,6,4,0.666666667,,,,
1657,3,2,0.666666667,,,,
1658,8,2,0.25,,,,
1659,1,0,0,,,,
1660,4,0,0,,,,
1661,9,4,0.444444444,,,,
1662,8,2,0.25,,,,
1663,2,1,0.5,,,,
1664,6,1,0.166666667,,,,
1665,3,0,0,,,,
1666,3,1,0.333333333,,,,
1667,8,6,0.75,,,,
1668,5,4,0.8,,,,
1669,2,1,0.5,,,,
1670,0,0,.,,,,
1671,6,3,0.5,,,,
1672,2,0,0,,,,
1673,6,5,0.833333333,,,,
1674,9,4,0.444444444,,,,
1675,5,1,0.2,,,,
1676,4,1,0.25,,,,
1677,6,5,0.833333333,,,,
1678,4,3,0.75,,,,
1679,1,1,1,,,,
1680,5,1,0.2,,,,
1681,3,2,0.666666667,,,,
1682,3,1,0.333333333,,,,
1683,11,4,0.363636364,,,,
1684,10,5,0.5,,,,
1685,3,0,0,,,,
1686,0,0,.,,,,
1687,2,0,0,,,,
1688,6,4,0.666666667,,,,
1689,8,3,0.375,,,,
1690,8,3,0.375,,,,
1691,2,1,0.5,,,,
1692,2,0,0,,,,
,11195,4170,0.386261466,,,,
